代稱	名稱	字尾	增益種類	增益屬性	技能加成種類	對象	數值	持續時間(s)
[加成-全部]鳴鐘之龜	鳴鐘之龜		加成			全部	0.1	15
[加成-下一位]無常凶鷺	無常凶鷺		加成			下一位	0.12	15
[冷凝-自己]輝螢軍勢	輝螢軍勢		加成	冷凝		自己	0.04	15
[共鳴技能-自己]輝螢軍勢	輝螢軍勢		加成		共鳴技能	自己	0.04	15
[攻擊百分比-自己]聚械機偶	聚械機偶		攻擊百分比			自己	0.12	15
[導電-自己]雲閃之鱗	雲閃之鱗		加成	導電		自己	0.12	15
[共鳴解放-自己]雲閃之鱗	雲閃之鱗		加成		共鳴解放	自己	0.12	15
[熱熔-自己]燎照之騎	燎照之騎		加成	熱熔		自己	0.12	15
[普攻-自己]燎照之騎	燎照之騎		加成		普攻	自己	0.12	15
[共鳴技能-自己]角	角		加成		共鳴技能	自己	0.16	15
[氣動-自己]飛廉之猩	飛廉之猩		加成	氣動		自己	0.12	15
[重擊-自己]飛廉之猩	飛廉之猩		加成		重擊	自己	0.12	15
[衍射-自己]哀聲鷙	哀聲鷙		加成	衍射		自己	0.12	15
[共鳴解放-自己]哀聲鷙	哀聲鷙		加成		共鳴解放	自己	0.12	15
[攻擊百分比-全部]無歸的謬誤	無歸的謬誤		攻擊百分比			全部	0.1	20
