技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	湮滅	Damage	攻擊	28.80%	31.17%	33.53%	36.83%	39.20%	41.91%	45.69%	49.47%	53.25%	57.26%	0.90	1.08	1.00	0.3000		Basic						1.08		0.90						
普攻		第二段傷害-1	常態攻擊	2	湮滅	Damage	攻擊	29.60%	32.03%	34.46%	37.86%	40.28%	43.08%	46.96%	50.84%	54.73%	58.85%	0.92	1.11	1.00	0.3700		Basic						1.11		0.92						
普攻		第三段傷害-1	常態攻擊	3	湮滅	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.25	1.50	1.00	0.5000		Basic						1.50		1.25						
重擊		重擊傷害-1	常態攻擊	4	湮滅	Damage	攻擊	18.67%	20.20%	21.73%	23.88%	25.41%	27.17%	29.62%	32.06%	34.51%	37.12%	0.58	0.70	1.00	0.2334		Heavy						0.70		0.58						
普攻		閃避反擊傷害-1	常態攻擊	5	湮滅	Damage	攻擊	32.00%	34.63%	37.25%	40.93%	43.55%	46.57%	50.77%	54.96%	59.16%	63.62%	1.00	0.60	1.00	0.4000		Basic						0.60		1.00						
普攻			常態攻擊	6	湮滅	Damage	攻擊	32.00%	34.63%	37.25%	40.93%	43.55%	46.57%	50.77%	54.96%	59.16%	63.62%	1.00	0.60	1.00	0.4000		Basic						0.60		1.00						
普攻			常態攻擊	7	湮滅	Damage	攻擊	32.00%	34.63%	37.25%	40.93%	43.55%	46.57%	50.77%	54.96%	59.16%	63.62%	1.00	0.60	1.00	0.4000		Basic						0.60		1.00						
普攻		空中攻擊傷害-1	常態攻擊	8	湮滅	Damage	攻擊	49.60%	53.67%	57.74%	63.43%	67.50%	72.18%	78.69%	85.19%	91.70%	98.61%	0.51	1.00	1.00	0.6200		Basic						1.00		0.51						
普攻		第一段傷害	常態攻擊		湮滅	Damage	攻擊	28.80%	31.17%	33.53%	36.83%	39.20%	41.91%	45.69%	49.47%	53.25%	57.26%	0.90	1.08	1.00	0.3000		Basic						1.08		0.90						
普攻		第二段傷害	常態攻擊		湮滅	Damage	攻擊	29.60%	32.03%	34.46%	37.86%	40.28%	43.08%	46.96%	50.84%	54.73%	58.85%	0.92	1.11	1.00	0.3700		Basic						1.11		0.92						
普攻		第三段傷害	常態攻擊		湮滅	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.25	1.50	1.00	0.5000		Basic						1.50		1.25						
重擊		重擊傷害	常態攻擊		湮滅	Damage	攻擊	56.01%	60.60%	65.19%	71.64%	76.23%	81.51%	88.86%	96.18%	103.53%	111.36%	1.74	2.10	3.00	0.7002		Heavy						2.10		1.74						
普攻		空中攻擊傷害	常態攻擊		湮滅	Damage	攻擊	49.60%	53.67%	57.74%	63.43%	67.50%	72.18%	78.69%	85.19%	91.70%	98.61%	0.51	1.00	1.00	0.6200		Basic						1.00		0.51						
普攻		閃避反擊傷害	常態攻擊		湮滅	Damage	攻擊	96.00%	103.89%	111.75%	122.79%	130.65%	139.71%	152.31%	164.88%	177.48%	190.86%	3.00	1.80	3.00	1.2000		Basic						1.80		3.00						
共鳴技能		赤華傷害-1	共鳴技能	1	湮滅	Damage	攻擊	19.20%	20.78%	22.35%	24.56%	26.13%	27.94%	30.46%	32.98%	35.50%	38.18%	0.60	0.00	1.00	0.2400		Skill						0.00		0.60						
共鳴技能			共鳴技能	2	湮滅	Damage	攻擊	19.20%	20.78%	22.35%	24.56%	26.13%	27.94%	30.46%	32.98%	35.50%	38.18%	0.60	0.00	1.00	0.2400		Skill						0.00		0.60						
共鳴技能		朱蝕一段傷害-1	共鳴技能	3	湮滅	Damage	攻擊	32.40%	35.06%	37.72%	41.44%	44.09%	47.15%	51.40%	55.65%	59.90%	64.42%	1.25	0.00	1.00	0.3240		Skill						0.00		1.25						
共鳴技能			共鳴技能	4	湮滅	Damage	攻擊	32.40%	35.06%	37.72%	41.44%	44.09%	47.15%	51.40%	55.65%	59.90%	64.42%	1.25	0.00	1.00	0.3240		Skill						0.00		1.25						
共鳴技能		朱蝕二段傷害-1	共鳴技能	5	湮滅	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	1.25	0.00	1.00	0.3000		Skill						0.00		1.25						
共鳴技能		燼滅第一段傷害-1	共鳴技能	6	湮滅	Damage	攻擊	28.20%	30.52%	32.83%	36.07%	38.38%	41.04%	44.74%	48.44%	52.14%	56.07%	1.50	0.00	1.00	0.2820		Skill						0.00		1.50						
共鳴技能			共鳴技能	7	湮滅	Damage	攻擊	28.20%	30.52%	32.83%	36.07%	38.38%	41.04%	44.74%	48.44%	52.14%	56.07%	1.50	0.00	1.00	0.2820		Skill						0.00		1.50						
共鳴技能		燼滅第二段傷害-1	共鳴技能	8	湮滅	Damage	攻擊	21.60%	23.38%	25.15%	27.63%	29.40%	31.44%	34.27%	37.10%	39.94%	42.95%	1.00	0.00	1.00	0.2160		Skill						0.00		1.00						
共鳴技能			共鳴技能	9	湮滅	Damage	攻擊	21.60%	23.38%	25.15%	27.63%	29.40%	31.44%	34.27%	37.10%	39.94%	42.95%	1.00	0.00	1.00	0.2160		Skill						0.00		1.00						
共鳴技能			共鳴技能	10	湮滅	Damage	攻擊	21.60%	23.38%	25.15%	27.63%	29.40%	31.44%	34.27%	37.10%	39.94%	42.95%	1.00	0.00	1.00	0.2160		Skill						0.00		1.00						
共鳴技能		燼滅第三段傷害-1	共鳴技能	11	湮滅	Damage	攻擊	32.40%	35.06%	37.72%	41.44%	44.09%	47.15%	51.40%	55.65%	59.90%	64.42%	1.33	0.00	1.00	0.3240		Skill						0.00		1.33						
共鳴技能			共鳴技能	12	湮滅	Damage	攻擊	32.40%	35.06%	37.72%	41.44%	44.09%	47.15%	51.40%	55.65%	59.90%	64.42%	1.33	0.00	1.00	0.3240		Skill						0.00		1.33						
共鳴技能			共鳴技能	13	湮滅	Damage	攻擊	32.40%	35.06%	37.72%	41.44%	44.09%	47.15%	51.40%	55.65%	59.90%	64.42%	1.33	0.00	1.00	0.3240		Skill						0.00		1.33						
共鳴技能		赤華傷害	共鳴技能		湮滅	Damage	攻擊	38.40%	41.56%	44.70%	49.12%	52.26%	55.88%	60.92%	65.96%	71.00%	76.36%	1.20	0.00	2.00	0.4800		Skill						0.00		1.20						
共鳴技能		朱蝕一段傷害	共鳴技能		湮滅	Damage	攻擊	64.80%	70.12%	75.44%	82.88%	88.18%	94.30%	102.80%	111.30%	119.80%	128.84%	2.50	0.00	2.00	0.6480		Skill						0.00		2.50						
共鳴技能		朱蝕二段傷害	共鳴技能		湮滅	Damage	攻擊	60.00%	64.92%	69.84%	76.74%	81.66%	87.32%	95.18%	103.06%	110.94%	119.30%	2.50	0.00	2.00	0.6000		Skill						0.00		2.50						
共鳴技能		燼滅第一段傷害	共鳴技能		湮滅	Damage	攻擊	56.40%	61.04%	65.66%	72.14%	76.76%	82.08%	89.48%	96.88%	104.28%	112.14%	3.00	0.00	2.00	0.5640		Skill						0.00		3.00						
共鳴技能		燼滅第二段傷害	共鳴技能		湮滅	Damage	攻擊	64.80%	70.14%	75.45%	82.89%	88.20%	94.32%	102.81%	111.30%	119.82%	128.85%	3.00	0.00	3.00	0.6480		Skill						0.00		3.00						
共鳴技能		燼滅第三段傷害	共鳴技能		湮滅	Damage	攻擊	97.20%	105.18%	113.16%	124.32%	132.27%	141.45%	154.20%	166.95%	179.70%	193.26%	3.99	0.00	3.00	0.9720		Skill						0.00		3.99						
		朱蝕之刻	共鳴技能																															12			
共鳴解放		緋紅綻放-連續攻擊傷害-1	共鳴解放	1	湮滅	Damage	攻擊	24.69%	26.72%	28.74%	31.58%	33.60%	35.93%	39.17%	42.41%	45.64%	49.09%	0.00	0.00	1.00	0.4000		Liberation						0.00		0.00						
共鳴解放		緋剎爆發傷害-1	共鳴解放	2	湮滅	Damage	攻擊	197.50%	213.70%	229.89%	252.57%	268.76%	287.39%	313.30%	339.21%	365.12%	392.65%	0.00	0.00	1.00	1.2000		Liberation						0.00		0.00						
共鳴解放		緋紅綻放-連續攻擊傷害	共鳴解放		湮滅	Damage	攻擊	197.52%	213.76%	229.92%	252.64%	268.80%	287.44%	313.36%	339.28%	365.12%	392.72%	0.00	0.00	8.00	3.2000		Liberation						0.00		0.00						
共鳴解放		緋剎爆發傷害	共鳴解放		湮滅	Damage	攻擊	197.50%	213.70%	229.89%	252.57%	268.76%	287.39%	313.30%	339.21%	365.12%	392.65%	0.00	0.00	1.00	1.2000		Liberation						0.00		0.00						
變奏		擊讎-1	變奏技能	1	湮滅	Damage	攻擊	25.00%	27.05%	29.10%	31.97%	34.02%	36.38%	39.66%	42.94%	46.22%	49.71%	2.50	0.00	1.00	0.2750		Intro						0.00		2.50						
變奏			變奏技能	2	湮滅	Damage	攻擊	25.00%	27.05%	29.10%	31.97%	34.02%	36.38%	39.66%	42.94%	46.22%	49.71%	2.50	0.00	1.00	0.2750		Intro						0.00		2.50						
變奏		擊讎	變奏技能		湮滅	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.52%	158.64%	171.76%	184.88%	198.84%	10.00	0.00	4.00	1.1000		Intro						0.00		10.00						
		明晦	延奏技能																																		
重擊		繚亂傷害-1	共鳴回路	1	湮滅	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.1772		Heavy						0.00		2.00						
重擊			共鳴回路	2	湮滅	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	2.00	0.00	1.00	0.1772		Heavy						0.00		2.00						
重擊		紛落傷害-1	共鳴回路	3	湮滅	Damage	攻擊	90.00%	97.38%	104.76%	115.10%	122.48%	130.96%	142.77%	154.58%	166.39%	178.93%	6.00	0.00	1.00	0.6400		Heavy						0.00		6.00						
重擊		滿能繚亂傷害-1	共鳴回路	4	湮滅	Damage	攻擊	72.00%	77.91%	83.81%	92.08%	97.98%	104.77%	114.22%	123.66%	133.11%	143.15%	2.00	0.00	1.00	0.1772		Heavy						0.00		2.00						
重擊			共鳴回路	5	湮滅	Damage	攻擊	72.00%	77.91%	83.81%	92.08%	97.98%	104.77%	114.22%	123.66%	133.11%	143.15%	2.00	0.00	1.00	0.1772		Heavy						0.00		2.00						
重擊		滿能紛落傷害-1	共鳴回路	6	湮滅	Damage	攻擊	216.00%	233.72%	251.43%	276.23%	293.94%	314.31%	342.65%	370.98%	399.32%	429.43%	6.00	0.00	1.00	0.6400		Heavy						0.00		6.00						
重擊		繚亂傷害	共鳴回路		湮滅	Damage	攻擊	210.00%	227.22%	244.44%	268.59%	285.81%	305.62%	333.13%	360.71%	388.29%	417.55%	14.00	0.00	7.00	1.2404		Heavy						50.00		14.00				36		
重擊		紛落傷害	共鳴回路		湮滅	Damage	攻擊	90.00%	97.38%	104.76%	115.10%	122.48%	130.96%	142.77%	154.58%	166.39%	178.93%	6.00	0.00	1.00	0.6400		Heavy						0.00		6.00						
重擊		滿能繚亂傷害	共鳴回路		湮滅	Damage	攻擊	504.00%	545.37%	586.67%	644.56%	685.86%	733.39%	799.54%	865.62%	931.77%	1002.05%	14.00	0.00	7.00	1.2404		Heavy						0.00		14.00						
重擊		滿能紛落傷害	共鳴回路		湮滅	Damage	攻擊	216.00%	233.72%	251.43%	276.23%	293.94%	314.31%	342.65%	370.98%	399.32%	429.43%	6.00	0.00	1.00	0.6400		Heavy						0.00		6.00						
