技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻			常態攻擊	1	衍射	Damage	攻擊	10.72%	11.60%	12.48%	13.70%	14.58%	15.60%	17.00%	18.40%	19.80%	21.30%	0.20	0.40	1.00	0.0952		Basic						0.40		0.20						
普攻			常態攻擊	2	衍射	Damage	攻擊	32.14%	34.78%	37.40%	41.10%	43.72%	46.76%	50.98%	55.18%	59.40%	63.88%	0.60	1.19	1.00	0.2856		Basic						1.19		0.60						
普攻			常態攻擊	3	衍射	Damage	攻擊	158.68%	171.70%	184.70%	202.90%	215.94%	230.88%	251.70%	272.50%	293.34%	315.44%	2.95	5.89	1.00	1.4104		Basic						5.89		2.95						
普攻		第一段傷害-1	常態攻擊	4	衍射	Damage	攻擊	33.43%	36.18%	38.92%	42.75%	45.50%	48.65%	53.03%	57.42%	61.81%	66.47%	1.24	2.48	1.00	0.5943		Basic						2.48		1.24						
普攻		第二段傷害-1	常態攻擊	5	衍射	Damage	攻擊	19.61%	21.22%	22.83%	25.08%	26.69%	28.54%	31.11%	33.68%	36.26%	38.99%	0.73	1.46	1.00	0.3486		Basic						1.46		0.73						
普攻		第二段傷害-2	常態攻擊	6	衍射	Damage	攻擊	9.81%	10.61%	11.42%	12.54%	13.35%	14.27%	15.56%	16.84%	18.13%	19.50%	0.37	0.73	1.00	0.1743		Basic						0.73		0.37						
普攻		第三段傷害-1	常態攻擊	7	衍射	Damage	攻擊	5.36%	5.80%	6.24%	6.85%	7.29%	7.80%	8.50%	9.20%	9.90%	10.65%	0.20	0.40	1.00	0.0952		Basic						0.40		0.20						
普攻		第三段傷害-2	常態攻擊	8	衍射	Damage	攻擊	16.07%	17.39%	18.70%	20.55%	21.86%	23.38%	25.49%	27.59%	29.70%	31.94%	0.60	1.19	1.00	0.2856		Basic						1.19		0.60						
普攻		第四段傷害-1	常態攻擊	9	衍射	Damage	攻擊	31.74%	34.34%	36.94%	40.58%	43.19%	46.18%	50.34%	54.50%	58.67%	63.09%	1.18	2.36	1.00	0.5642		Basic						2.36		1.18						
普攻		第四段傷害-2	常態攻擊	10	衍射	Damage	攻擊	47.60%	51.51%	55.41%	60.87%	64.78%	69.26%	75.51%	81.75%	88.00%	94.63%	1.77	3.53	1.00	0.8462		Basic						3.53		1.77						
重擊		重擊傷害-1	常態攻擊	11	衍射	Damage	攻擊	12.00%	12.99%	13.97%	15.35%	16.33%	17.47%	19.04%	20.61%	22.19%	23.86%	0.40	0.80	1.00	0.1920		Heavy						0.80		0.40						
重擊		重擊傷害-2	常態攻擊	12	衍射	Damage	攻擊	18.00%	19.48%	20.96%	23.02%	24.50%	26.20%	28.56%	30.92%	33.28%	35.79%	0.60	1.20	1.00	0.2880		Heavy						1.20		0.60						
重擊		重擊傷害-3	常態攻擊	13	衍射	Damage	攻擊	42.00%	45.45%	48.89%	53.71%	57.16%	61.12%	66.63%	72.14%	77.65%	83.51%	1.40	2.80	1.00	0.6720		Heavy						2.80		1.40						
普攻		空中攻擊傷害-1	常態攻擊	14	衍射	Damage	攻擊	6.20%	6.71%	7.22%	7.93%	8.44%	9.03%	9.84%	10.65%	11.47%	12.33%	0.06	0.10	1.00	0.0620		Basic						0.10		0.06						
普攻		空中攻擊傷害-2	常態攻擊	15	衍射	Damage	攻擊	12.40%	13.42%	14.44%	15.86%	16.88%	18.05%	19.68%	21.30%	22.93%	24.66%	0.11	0.20	1.00	0.1240		Basic						0.20		0.11						
普攻		空中攻擊傷害-3	常態攻擊	16	衍射	Damage	攻擊	43.40%	46.96%	50.52%	55.50%	59.06%	63.16%	68.85%	74.54%	80.24%	86.29%	0.37	0.70	1.00	0.4340		Basic						0.70		0.37						
普攻		閃避反擊傷害-1	常態攻擊	17	衍射	Damage	攻擊	7.38%	7.99%	8.59%	9.44%	10.05%	10.74%	11.71%	12.68%	13.65%	14.68%	0.28	0.55	1.00	0.1500		Basic						0.55		0.28						
普攻		閃避反擊傷害-2	常態攻擊	18	衍射	Damage	攻擊	22.14%	23.96%	25.77%	28.32%	30.13%	32.22%	35.12%	38.03%	40.93%	44.02%	0.82	1.64	1.00	0.4500		Basic						1.64		0.82						
普攻		第一段傷害	常態攻擊		衍射	Damage	攻擊	33.43%	36.18%	38.92%	42.75%	45.50%	48.65%	53.03%	57.42%	61.81%	66.47%	1.24	2.48	1.00	0.5943		Basic						2.48		1.24						
普攻		第二段傷害	常態攻擊		衍射	Damage	攻擊	49.04%	53.05%	57.09%	62.70%	66.74%	71.35%	77.79%	84.20%	90.65%	97.49%	1.84	3.65	4.00	0.8715		Basic						3.65		1.84						
普攻		第三段傷害	常態攻擊		衍射	Damage	攻擊	53.59%	57.99%	62.38%	68.50%	72.89%	77.98%	84.99%	91.99%	99.00%	106.49%	2.00	3.99	8.00	0.9520		Basic						3.99		2.00						
普攻		第四段傷害	常態攻擊		衍射	Damage	攻擊	79.34%	85.85%	92.35%	101.45%	107.97%	115.44%	125.85%	136.25%	146.67%	157.72%	2.95	5.89	2.00	1.4104		Basic						5.89		2.95						
重擊		重擊傷害	常態攻擊		衍射	Damage	攻擊	120.00%	129.88%	139.70%	153.48%	163.31%	174.67%	190.39%	206.11%	221.88%	238.60%	4.00	8.00	7.00	1.9200		Heavy			25.00			8.00		4.00						
普攻		空中攻擊傷害	常態攻擊		衍射	Damage	攻擊	62.00%	67.09%	72.18%	79.29%	84.38%	90.24%	98.37%	106.49%	114.64%	123.28%	0.54	1.00	3.00	0.6200		Basic			30.00			1.00		0.54						
普攻		閃避反擊傷害	常態攻擊		衍射	Damage	攻擊	73.80%	79.89%	85.90%	94.40%	100.48%	107.40%	117.09%	126.79%	136.48%	146.78%	2.78	5.49	8.00	1.5000		Basic						5.49		2.78						
共鳴技能		流光夕影-1	共鳴技能	1	衍射	Damage	攻擊	9.79%	10.60%	11.40%	12.52%	13.32%	14.25%	15.53%	16.82%	18.10%	19.46%	0.28	0.55	1.00	0.2500		Skill						0.55		0.28						
共鳴技能		流光夕影-2	共鳴技能	2	衍射	Damage	攻擊	9.79%	10.60%	11.40%	12.52%	13.32%	14.25%	15.53%	16.82%	18.10%	19.46%	0.28	0.55	1.00	0.2500		Skill						0.55		0.28						
共鳴技能		流光夕影-3	共鳴技能	3	衍射	Damage	攻擊	9.79%	10.60%	11.40%	12.52%	13.32%	14.25%	15.53%	16.82%	18.10%	19.46%	0.28	0.55	1.00	0.2500		Skill						0.55		0.28						
共鳴技能		流光夕影-4	共鳴技能	4	衍射	Damage	攻擊	9.79%	10.60%	11.40%	12.52%	13.32%	14.25%	15.53%	16.82%	18.10%	19.46%	0.28	0.55	1.00	0.2500		Skill						0.55		0.28						
