技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	冷凝	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	0.75	1.50	1.00	0.3000		Basic						1.50		0.75						
普攻	第二段傷害-1	常態攻擊	2	冷凝	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.00	2.00	1.00	0.4000		Basic						2.00		1.00						
普攻	第三段傷害-1	常態攻擊	3	冷凝	Damage	攻擊	36.65%	39.66%	42.67%	46.87%	49.88%	53.33%	58.14%	62.95%	67.76%	72.87%	0.91	1.83	1.00	0.3665		Basic						1.83		0.91						
普攻	第三段傷害-2	常態攻擊	4	冷凝	Damage	攻擊	36.65%	39.66%	42.67%	46.87%	49.88%	53.33%	58.14%	62.95%	67.76%	72.87%	0.91	1.83	1.00	0.3665		Basic						1.83		0.91						
普攻	第四段傷害-1	常態攻擊	5	冷凝	Damage	攻擊	10.27%	11.11%	11.95%	13.13%	13.97%	14.94%	16.28%	17.63%	18.98%	20.41%	0.25	0.51	1.00	0.1027		Basic						0.51		0.25						
普攻	第四段傷害-2	常態攻擊	6	冷凝	Damage	攻擊	21.99%	23.80%	25.60%	28.13%	29.93%	32.00%	34.89%	37.77%	40.66%	43.72%	0.54	1.09	1.00	0.2199		Basic						1.09		0.54						
普攻	第五段傷害-1	常態攻擊	7	冷凝	Damage	攻擊	76.70%	82.99%	89.28%	98.09%	104.38%	111.61%	121.67%	131.74%	141.80%	152.49%	1.91	3.83	1.00	0.7670		Basic						3.83		1.91						
重擊	重擊傷害-1	常態攻擊	8	冷凝	Damage	攻擊	73.30%	79.32%	85.33%	93.74%	99.75%	106.66%	116.28%	125.90%	135.51%	145.73%	1.83	3.66	1.00	0.7330		Heavy						3.66		1.83						
普攻	閃避反擊傷害-1	常態攻擊	9	冷凝	Damage	攻擊	63.40%	68.60%	73.80%	81.08%	86.28%	92.26%	100.58%	108.89%	117.21%	126.05%	1.58	1.67	1.00	0.7500		Basic						1.67		1.58						
普攻	閃避反擊傷害-2	常態攻擊	10	冷凝	Damage	攻擊	63.40%	68.60%	73.80%	81.08%	86.28%	92.26%	100.58%	108.89%	117.21%	126.05%	1.58	1.67	1.00	0.7500		Basic						1.67		1.58						
普攻	空中攻擊傷害-1	常態攻擊	11	冷凝	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.51	1.00	1.00	0.6200		Basic						1.00		0.51						
普攻	崩拳·當頭咆哮傷害-1	常態攻擊	12	冷凝	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.00	2.00	1.00	0.4000		Basic						2.00		1.00						
普攻	崩拳·當頭咆哮傷害-2	常態攻擊	13	冷凝	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.00	2.00	1.00	0.4000		Basic						2.00		1.00						
普攻	第一段傷害	常態攻擊		冷凝	Damage	攻擊	30.00%	32.46%	34.92%	38.37%	40.83%	43.66%	47.59%	51.53%	55.47%	59.65%	0.75	1.50	1.00	0.3000		Basic						1.50		0.75						
普攻	第二段傷害	常態攻擊		冷凝	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.00	2.00	1.00	0.4000		Basic						2.00		1.00						
普攻	第三段傷害	常態攻擊		冷凝	Damage	攻擊	73.30%	79.32%	85.34%	93.74%	99.76%	106.66%	116.28%	125.90%	135.52%	145.74%	1.82	3.66	2.00	0.7330		Basic						3.66		1.82						
普攻	第四段傷害	常態攻擊		冷凝	Damage	攻擊	73.34%	79.35%	85.35%	93.78%	99.78%	106.70%	116.29%	125.92%	135.56%	145.77%	1.79	3.64	6.00	0.7334		Basic						3.64		1.79						
普攻	第五段傷害	常態攻擊		冷凝	Damage	攻擊	76.70%	82.99%	89.28%	98.09%	104.38%	111.61%	121.67%	131.74%	141.80%	152.49%	1.91	3.83	1.00	0.7670		Basic						3.83		1.91						
普攻	崩拳·當頭咆哮傷害	常態攻擊		冷凝	Damage	攻擊	80.00%	86.56%	93.12%	102.32%	108.88%	116.42%	126.92%	137.40%	147.90%	159.06%	2.00	4.00	2.00	0.8000		Basic						4.00		2.00						
重擊	重擊傷害	常態攻擊		冷凝	Damage	攻擊	73.30%	79.32%	85.33%	93.74%	99.75%	106.66%	116.28%	125.90%	135.51%	145.73%	1.83	3.66	1.00	0.7330		Heavy			25.00			3.66		1.83						
普攻	空中攻擊傷害	常態攻擊		冷凝	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.51	1.00	1.00	0.6200		Basic			30.00			1.00		0.51						
普攻	閃避反擊傷害	常態攻擊		冷凝	Damage	攻擊	126.80%	137.20%	147.60%	162.16%	172.56%	184.52%	201.16%	217.78%	234.42%	252.10%	3.16	3.34	2.00	1.5000		Basic						3.34		3.16						
