技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	氣動	Damage	生命	2.41%	2.60%	2.80%	3.08%	3.27%	3.50%	3.82%	4.13%	4.45%	4.78%	0.70	0.98	1.00	0.2800		Basic						0.98		0.70						
普攻		第二段傷害-1	常態攻擊	2	氣動	Damage	生命	1.98%	2.14%	2.31%	2.53%	2.70%	2.88%	3.14%	3.40%	3.66%	3.94%	0.58	0.81	1.00	0.2304		Basic						0.81		0.58						
普攻			常態攻擊	3	氣動	Damage	生命	1.98%	2.14%	2.31%	2.53%	2.70%	2.88%	3.14%	3.40%	3.66%	3.94%	0.58	0.81	1.00	0.2304		Basic						0.81		0.58						
普攻		第二段傷害-2	常態攻擊	4	氣動	Damage	生命	2.64%	2.86%	3.07%	3.38%	3.59%	3.84%	4.19%	4.53%	4.88%	5.25%	0.77	1.08	1.00	0.3072		Basic						1.08		0.77						
普攻		第三段傷害-1	常態攻擊	5	氣動	Damage	生命	2.15%	2.33%	2.51%	2.75%	2.93%	3.13%	3.41%	3.70%	3.98%	4.28%	0.63	0.88	1.00	0.4000		Basic						0.88		0.63						
普攻			常態攻擊	6	氣動	Damage	生命	2.15%	2.33%	2.51%	2.75%	2.93%	3.13%	3.41%	3.70%	3.98%	4.28%	0.63	0.88	1.00	0.2505		Basic						0.88		0.63						
普攻			常態攻擊	7	氣動	Damage	生命	2.15%	2.33%	2.51%	2.75%	2.93%	3.13%	3.41%	3.70%	3.98%	4.28%	0.63	0.88	1.00	0.2505		Basic						0.88		0.63						
普攻			常態攻擊	8	氣動	Damage	生命	2.15%	2.33%	2.51%	2.75%	2.93%	3.13%	3.41%	3.70%	3.98%	4.28%	0.63	0.88	1.00	0.2505		Basic						0.88		0.63						
普攻		閃避反擊傷害-1	常態攻擊	9	氣動	Damage	生命	3.45%	3.73%	4.01%	4.41%	4.69%	5.02%	5.47%	5.92%	6.37%	6.85%	0.63	1.41	1.00	0.2505		Basic						1.41		0.63						
普攻			常態攻擊	10	氣動	Damage	生命	3.45%	3.73%	4.01%	4.41%	4.69%	5.02%	5.47%	5.92%	6.37%	6.85%	0.63	1.41	1.00	0.2505		Basic						1.41		0.63						
普攻			常態攻擊	11	氣動	Damage	生命	3.45%	3.73%	4.01%	4.41%	4.69%	5.02%	5.47%	5.92%	6.37%	6.85%	0.63	1.41	1.00	0.2505		Basic						1.41		0.63						
普攻			常態攻擊	12	氣動	Damage	生命	3.45%	3.73%	4.01%	4.41%	4.69%	5.02%	5.47%	5.92%	6.37%	6.85%	0.63	1.41	1.00	0.2505		Basic						1.41		0.63						
普攻		第四段傷害-1	常態攻擊	13	氣動	Damage	生命	1.27%	1.37%	1.48%	1.62%	1.73%	1.84%	2.01%	2.18%	2.34%	2.52%	0.37	0.52	1.00	0.1474		Basic						0.52		0.37						
普攻		第四段傷害-2	常態攻擊	14	氣動	Damage	生命	3.80%	4.11%	4.42%	4.85%	5.17%	5.52%	6.02%	6.52%	7.02%	7.54%	1.11	1.55	1.00	0.4420		Basic						1.55		1.11						
普攻			常態攻擊	15	氣動	Damage	生命	1.27%	1.37%	1.48%	1.62%	1.73%	1.84%	2.01%	2.18%	2.34%	2.52%	0.37	0.52	1.00	0.1474		Basic						0.52		0.37						
普攻			常態攻擊	16	氣動	Damage	生命	3.80%	4.11%	4.42%	4.85%	5.17%	5.52%	6.02%	6.52%	7.02%	7.54%	1.11	1.55	1.00	0.4420		Basic						1.55		1.11						
普攻	風蝕效應	空中攻擊-1	常態攻擊	17	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應	空中攻擊回收一劍-1	常態攻擊	18	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	19	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	20	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	21	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	22	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	23	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	24	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應	空中攻擊回收二劍-1	常態攻擊	25	氣動	Damage	生命	1.66%	1.80%	1.93%	2.12%	2.26%	2.41%	2.63%	2.85%	3.07%	3.30%	0.45	0.62	1.00	0.5310		Basic						0.62		0.45						
普攻	風蝕效應		常態攻擊	26	氣動	Damage	生命	1.66%	1.80%	1.93%	2.12%	2.26%	2.41%	2.63%	2.85%	3.07%	3.30%	0.45	0.62	1.00	0.5310		Basic						0.62		0.45						
普攻	風蝕效應	空中攻擊回收三劍-1	常態攻擊	27	氣動	Damage	生命	5.68%	6.15%	6.61%	7.27%	7.73%	8.27%	9.01%	9.76%	10.50%	11.29%	0.45	0.62	1.00	0.5310		Basic						0.62		0.45						
普攻	風蝕效應		常態攻擊	28	氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	0.45	0.62	1.00	0.5310		Basic						0.62		0.45						
普攻			常態攻擊	29	氣動	Damage	生命	3.61%	3.90%	4.20%	4.61%	4.91%	5.25%	5.72%	6.19%	6.67%	7.17%	0.70	0.98	1.00	0.2800		Basic						0.98		0.70						
普攻			常態攻擊	30	氣動	Damage	生命	2.97%	3.21%	3.46%	3.80%	4.04%	4.32%	4.71%	5.10%	5.49%	5.90%	0.58	0.81	1.00	0.2304		Basic						0.81		0.58						
普攻			常態攻擊	31	氣動	Damage	生命	2.97%	3.21%	3.46%	3.80%	4.04%	4.32%	4.71%	5.10%	5.49%	5.90%	0.58	0.81	1.00	0.2304		Basic						0.81		0.58						
普攻			常態攻擊	32	氣動	Damage	生命	3.96%	4.28%	4.61%	5.06%	5.39%	5.76%	6.28%	6.80%	7.31%	7.87%	0.77	1.08	1.00	0.3072		Basic						1.08		0.77						
普攻			常態攻擊	33	氣動	Damage	生命	3.23%	3.49%	3.76%	4.13%	4.39%	4.70%	5.12%	5.54%	5.97%	6.41%	0.63	0.88	1.00	0.4000		Basic						0.88		0.63						
普攻			常態攻擊	34	氣動	Damage	生命	3.23%	3.49%	3.76%	4.13%	4.39%	4.70%	5.12%	5.54%	5.97%	6.41%	0.63	0.88	1.00	0.2505		Basic						0.88		0.63						
普攻			常態攻擊	35	氣動	Damage	生命	3.23%	3.49%	3.76%	4.13%	4.39%	4.70%	5.12%	5.54%	5.97%	6.41%	0.63	0.88	1.00	0.2505		Basic						0.88		0.63						
普攻			常態攻擊	36	氣動	Damage	生命	3.23%	3.49%	3.76%	4.13%	4.39%	4.70%	5.12%	5.54%	5.97%	6.41%	0.63	0.88	1.00	0.2505		Basic						0.88		0.63						
普攻			常態攻擊	37	氣動	Damage	生命	5.16%	5.58%	6.00%	6.60%	7.02%	7.51%	8.18%	8.86%	9.53%	10.25%	0.63	1.41	1.00	0.2505		Basic						1.41		0.63						
普攻			常態攻擊	38	氣動	Damage	生命	5.16%	5.58%	6.00%	6.60%	7.02%	7.51%	8.18%	8.86%	9.53%	10.25%	0.63	1.41	1.00	0.2505		Basic						1.41		0.63						
普攻			常態攻擊	39	氣動	Damage	生命	5.16%	5.58%	6.00%	6.60%	7.02%	7.51%	8.18%	8.86%	9.53%	10.25%	0.63	1.41	1.00	0.2505		Basic						1.41		0.63						
普攻			常態攻擊	40	氣動	Damage	生命	5.16%	5.58%	6.00%	6.60%	7.02%	7.51%	8.18%	8.86%	9.53%	10.25%	0.63	1.41	1.00	0.2505		Basic						1.41		0.63						
普攻			常態攻擊	41	氣動	Damage	生命	1.90%	2.06%	2.21%	2.43%	2.59%	2.76%	3.01%	3.26%	3.51%	3.77%	0.37	0.52	1.00	0.1474		Basic						0.52		0.37						
普攻			常態攻擊	42	氣動	Damage	生命	5.69%	6.16%	6.63%	7.28%	7.75%	8.28%	9.03%	9.78%	10.52%	11.31%	1.11	1.55	1.00	0.4420		Basic						1.55		1.11						
普攻			常態攻擊	43	氣動	Damage	生命	3.14%	3.40%	3.65%	4.01%	4.27%	4.57%	4.98%	5.39%	5.80%	6.24%	0.42	0.59	1.00	0.1667		Basic						0.59		0.42						
普攻			常態攻擊	44	氣動	Damage	生命	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00	0.00	1.00	0.0000		Basic						0.00		0.00						
普攻			常態攻擊	45	氣動	Damage	生命	9.41%	10.18%	10.95%	12.03%	12.80%	13.69%	14.92%	16.16%	17.39%	18.70%	1.25	1.75	1.00	0.5000		Basic						1.75		1.25						
普攻	風蝕效應		常態攻擊	46	氣動	Damage	生命	8.52%	9.22%	9.92%	10.90%	11.59%	12.40%	13.51%	14.63%	15.75%	16.94%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	47	氣動	Damage	生命	8.52%	9.22%	9.92%	10.90%	11.59%	12.40%	13.51%	14.63%	15.75%	16.94%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	48	氣動	Damage	生命	8.52%	9.22%	9.92%	10.90%	11.59%	12.40%	13.51%	14.63%	15.75%	16.94%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	49	氣動	Damage	生命	8.52%	9.22%	9.92%	10.90%	11.59%	12.40%	13.51%	14.63%	15.75%	16.94%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應		常態攻擊	50	氣動	Damage	生命	4.97%	5.38%	5.79%	6.36%	6.77%	7.23%	7.89%	8.54%	9.19%	9.88%	0.45	0.62	1.00	0.5310		Basic						0.62		0.45						
普攻	風蝕效應		常態攻擊	51	氣動	Damage	生命	17.04%	18.43%	19.83%	21.79%	23.18%	24.79%	27.02%	29.26%	31.49%	33.87%	0.45	0.62	1.00	0.5310		Basic						0.62		0.45						
普攻		重擊傷害-1	常態攻擊	52	氣動	Damage	生命	1.05%	1.14%	1.22%	1.34%	1.43%	1.53%	1.66%	1.80%	1.94%	2.08%	0.42	0.59	1.00	0.1667		Basic						0.59		0.42						
普攻		重擊傷害-2	常態攻擊	53	氣動	Damage	生命	3.14%	3.40%	3.65%	4.01%	4.27%	4.57%	4.98%	5.39%	5.80%	6.24%	1.25	1.75	1.00	0.5000		Basic						1.75		1.25						
普攻		第一段傷害	常態攻擊		氣動	Damage	生命	2.41%	2.60%	2.80%	3.08%	3.27%	3.50%	3.82%	4.13%	4.45%	4.78%	0.70	0.98	1.00	0.2800		Basic						0.98		0.70						
普攻		第二段傷害	常態攻擊		氣動	Damage	生命	6.60%	7.14%	7.69%	8.44%	8.99%	9.60%	10.47%	11.33%	12.20%	13.13%	1.93	2.70	3.00	0.7680		Basic						2.70		1.93						
普攻		第三段傷害	常態攻擊		氣動	Damage	生命	8.60%	9.32%	10.04%	11.00%	11.72%	12.52%	13.64%	14.80%	15.92%	17.12%	2.52	3.52	4.00	1.6000		Basic						3.52		2.52						
普攻		第四段傷害	常態攻擊		氣動	Damage	生命	7.61%	8.22%	8.86%	9.71%	10.36%	11.04%	12.05%	13.06%	14.04%	15.10%	2.22	3.11	4.00	0.8842		Basic						3.11		2.22						
普攻		閃避反擊傷害	常態攻擊		氣動	Damage	生命	13.80%	14.92%	16.04%	17.64%	18.76%	20.08%	21.88%	23.68%	25.48%	27.40%	2.52	5.64	4.00	1.0020		Basic						5.64		2.52						
普攻		重擊傷害	常態攻擊		氣動	Damage	生命	6.29%	6.82%	7.31%	8.03%	8.56%	9.16%	9.96%	10.79%	11.62%	12.48%	2.51	3.52	4.00	1.0001		Basic			20.00			3.52		2.51						
普攻	風蝕效應	空中攻擊	常態攻擊		氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic			30.00			1.86		1.33						
普攻	風蝕效應	空中攻擊回收一劍	常態攻擊		氣動	Damage	生命	2.84%	3.08%	3.31%	3.64%	3.87%	4.14%	4.51%	4.88%	5.25%	5.65%	1.33	1.86	1.00	0.5310		Basic						1.86		1.33						
普攻	風蝕效應	空中攻擊回收二劍	常態攻擊		氣動	Damage	生命	4.98%	5.40%	5.79%	6.36%	6.78%	7.23%	7.89%	8.55%	9.21%	9.90%	1.35	1.86	3.00	1.5930		Basic						1.86		1.35						
普攻	風蝕效應	空中攻擊回收三劍	常態攻擊		氣動	Damage	生命	17.04%	18.45%	19.83%	21.81%	23.19%	24.81%	27.03%	29.28%	31.50%	33.87%	1.35	1.86	3.00	1.5930		Basic						1.86		1.35						
普攻		此劍以人之名-1	共鳴技能	1	氣動	Damage	生命	3.47%	3.75%	4.04%	4.44%	4.72%	5.05%	5.50%	5.96%	6.41%	6.89%	3.80	0.00	1.00	0.4000		Basic						0.00		3.80						
普攻			共鳴技能	2	氣動	Damage	生命	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00	0.00	1.00	0.4000		Basic						0.00		0.00						
普攻		此劍以人之名-2	共鳴技能	3	氣動	Damage	生命	4.46%	4.83%	5.19%	5.70%	6.07%	6.49%	7.07%	7.66%	8.24%	8.86%	4.88	0.00	1.00	0.3000		Basic						0.00		4.88						
普攻		此劍以人之名	共鳴技能		氣動	Damage	生命	14.87%	16.08%	17.31%	19.02%	20.23%	21.64%	23.57%	25.54%	27.47%	29.53%	16.28	0.00	4.00	1.5000		Basic						10.00		16.28		14				
