種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	導電	Damage	攻擊	14.49%	15.68%	16.87%	18.53%	19.72%	21.09%	22.99%	24.89%	26.79%	28.81%	0.60	2.00	1.00	0.1840	Basic						2.00		0.60						
普攻	第二段傷害-1	常態攻擊	2	導電	Damage	攻擊	17.01%	18.41%	19.80%	21.76%	23.15%	24.76%	26.99%	29.22%	31.45%	33.82%	0.75	2.50	1.00	0.2160	Basic						2.50		0.75						
普攻		常態攻擊	3	導電	Damage	攻擊	17.01%	18.41%	19.80%	21.76%	23.15%	24.76%	26.99%	29.22%	31.45%	33.82%	0.75	2.50	1.00	0.2160	Basic						2.50		0.75						
普攻	第三段傷害-1	常態攻擊	4	導電	Damage	攻擊	7.04%	7.62%	8.19%	9.00%	9.58%	10.24%	11.16%	12.09%	13.01%	13.99%	0.35	1.00	1.00	0.0766	Basic						1.00		0.35						
普攻		常態攻擊	5	導電	Damage	攻擊	7.04%	7.62%	8.19%	9.00%	9.58%	10.24%	11.16%	12.09%	13.01%	13.99%	0.35	1.00	1.00	0.0766	Basic						1.00		0.35						
普攻		常態攻擊	6	導電	Damage	攻擊	7.04%	7.62%	8.19%	9.00%	9.58%	10.24%	11.16%	12.09%	13.01%	13.99%	0.35	1.00	1.00	0.0766	Basic						1.00		0.35						
普攻		常態攻擊	7	導電	Damage	攻擊	7.04%	7.62%	8.19%	9.00%	9.58%	10.24%	11.16%	12.09%	13.01%	13.99%	0.35	1.00	1.00	0.0766	Basic						1.00		0.35						
普攻		常態攻擊	8	導電	Damage	攻擊	7.04%	7.62%	8.19%	9.00%	9.58%	10.24%	11.16%	12.09%	13.01%	13.99%	0.35	1.00	1.00	0.0766	Basic						1.00		0.35						
普攻		常態攻擊	9	導電	Damage	攻擊	7.04%	7.62%	8.19%	9.00%	9.58%	10.24%	11.16%	12.09%	13.01%	13.99%	0.35	1.00	1.00	0.0766	Basic						1.00		0.35						
普攻		常態攻擊	10	導電	Damage	攻擊	7.04%	7.62%	8.19%	9.00%	9.58%	10.24%	11.16%	12.09%	13.01%	13.99%	0.35	1.00	1.00	0.0766	Basic						1.00		0.35						
普攻	第四段傷害-1	常態攻擊	11	導電	Damage	攻擊	37.80%	40.90%	44.00%	48.34%	51.44%	55.01%	59.97%	64.93%	69.89%	75.16%	1.50	6.00	1.00	0.4800	Basic						6.00		1.50						
重擊	重擊傷害-1	常態攻擊	12	導電	Damage	攻擊	15.00%	16.23%	17.46%	19.19%	20.42%	21.83%	23.80%	25.77%	27.74%	29.83%	0.90	2.25	1.00	0.1880	Heavy						2.25		0.90						
重擊		常態攻擊	13	導電	Damage	攻擊	15.00%	16.23%	17.46%	19.19%	20.42%	21.83%	23.80%	25.77%	27.74%	29.83%	0.90	2.25	1.00	0.1880	Heavy						2.25		0.90						
普攻	空中攻擊傷害-1	常態攻擊	14	導電	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.51	5.00	1.00	0.4960	Basic						5.00		0.51						
普攻	閃避反擊傷害-1	常態攻擊	15	導電	Damage	攻擊	12.18%	13.18%	14.18%	15.58%	16.58%	17.72%	19.32%	20.92%	22.52%	24.22%	0.57	1.00	1.00	0.2143	Basic						1.00		0.57						
普攻		常態攻擊	16	導電	Damage	攻擊	12.18%	13.18%	14.18%	15.58%	16.58%	17.72%	19.32%	20.92%	22.52%	24.22%	0.57	1.00	1.00	0.2143	Basic						1.00		0.57						
普攻		常態攻擊	17	導電	Damage	攻擊	12.18%	13.18%	14.18%	15.58%	16.58%	17.72%	19.32%	20.92%	22.52%	24.22%	0.57	1.00	1.00	0.2143	Basic						1.00		0.57						
普攻		常態攻擊	18	導電	Damage	攻擊	12.18%	13.18%	14.18%	15.58%	16.58%	17.72%	19.32%	20.92%	22.52%	24.22%	0.57	1.00	1.00	0.2143	Basic						1.00		0.57						
普攻		常態攻擊	19	導電	Damage	攻擊	12.18%	13.18%	14.18%	15.58%	16.58%	17.72%	19.32%	20.92%	22.52%	24.22%	0.57	1.00	1.00	0.2143	Basic						1.00		0.57						
普攻		常態攻擊	20	導電	Damage	攻擊	12.18%	13.18%	14.18%	15.58%	16.58%	17.72%	19.32%	20.92%	22.52%	24.22%	0.57	1.00	1.00	0.2143	Basic						1.00		0.57						
普攻		常態攻擊	21	導電	Damage	攻擊	12.18%	13.18%	14.18%	15.58%	16.58%	17.72%	19.32%	20.92%	22.52%	24.22%	0.57	1.00	1.00	0.2143	Basic						1.00		0.57						
普攻	第一段傷害	常態攻擊		導電	Damage	攻擊	14.49%	15.68%	16.87%	18.53%	19.72%	21.09%	22.99%	24.89%	26.79%	28.81%	0.60	2.00	1.00	0.1840	Basic						2.00		0.60						
普攻	第二段傷害	常態攻擊		導電	Damage	攻擊	34.02%	36.82%	39.60%	43.52%	46.30%	49.52%	53.98%	58.44%	62.90%	67.64%	1.50	5.00	2.00	0.4320	Basic						5.00		1.50						
普攻	第三段傷害	常態攻擊		導電	Damage	攻擊	49.28%	53.34%	57.33%	63.00%	67.06%	71.68%	78.12%	84.63%	91.07%	97.93%	2.45	7.00	7.00	0.5362	Basic						7.00		2.45						
普攻	第四段傷害	常態攻擊		導電	Damage	攻擊	37.80%	40.90%	44.00%	48.34%	51.44%	55.01%	59.97%	64.93%	69.89%	75.16%	1.50	6.00	1.00	0.4800	Basic						6.00		1.50						
重擊	重擊傷害	常態攻擊		導電	Damage	攻擊	30.00%	32.46%	34.92%	38.38%	40.84%	43.66%	47.60%	51.54%	55.48%	59.66%	1.80	4.50	2.00	0.3760	Heavy			25.00			4.50		1.80						
普攻	空中攻擊傷害	常態攻擊		導電	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.51	5.00	1.00	0.4960	Basic			30.00			5.00		0.51						
普攻	閃避反擊傷害	常態攻擊		導電	Damage	攻擊	85.26%	92.26%	99.26%	109.06%	116.06%	124.04%	135.24%	146.44%	157.64%	169.54%	3.99	7.00	7.00	1.5001	Basic						7.00		3.99						
