技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	湮滅	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.00	2.00	1.00	0.3200		Basic						2.00		1.00						
普攻		第二段傷害-1	常態攻擊	2	湮滅	Damage	攻擊	18.33%	19.83%	21.34%	23.44%	24.94%	26.67%	29.07%	31.48%	33.88%	36.44%	0.46	0.92	1.00	0.1466		Basic						0.92		0.46						
普攻			常態攻擊	3	湮滅	Damage	攻擊	18.33%	19.83%	21.34%	23.44%	24.94%	26.67%	29.07%	31.48%	33.88%	36.44%	0.46	0.92	1.00	0.1466		Basic						0.92		0.46						
普攻			常態攻擊	4	湮滅	Damage	攻擊	18.33%	19.83%	21.34%	23.44%	24.94%	26.67%	29.07%	31.48%	33.88%	36.44%	0.46	0.92	1.00	0.1466		Basic						0.92		0.46						
普攻			常態攻擊	5	湮滅	Damage	攻擊	18.33%	19.83%	21.34%	23.44%	24.94%	26.67%	29.07%	31.48%	33.88%	36.44%	0.46	0.92	1.00	0.1466		Basic						0.92		0.46						
普攻		第三段傷害-1	常態攻擊	6	湮滅	Damage	攻擊	36.50%	39.50%	42.49%	46.68%	49.67%	53.12%	57.90%	62.69%	67.48%	72.57%	0.92	1.83	1.00	0.2920		Basic						1.83		0.92						
普攻			常態攻擊	7	湮滅	Damage	攻擊	36.50%	39.50%	42.49%	46.68%	49.67%	53.12%	57.90%	62.69%	67.48%	72.57%	0.92	1.83	1.00	0.2920		Basic						1.83		0.92						
重擊		重擊傷害-1	常態攻擊	8	湮滅	Damage	攻擊	28.76%	31.12%	33.48%	36.78%	39.14%	41.85%	45.63%	49.40%	53.17%	57.18%	0.90	1.80	1.00	0.2876		Heavy						1.80		0.90						
重擊			常態攻擊	9	湮滅	Damage	攻擊	28.76%	31.12%	33.48%	36.78%	39.14%	41.85%	45.63%	49.40%	53.17%	57.18%	0.90	1.80	1.00	0.2876		Heavy						1.80		0.90						
重擊		浮潛幻海傷害-1	常態攻擊	10	湮滅	Damage	攻擊	26.68%	28.87%	31.06%	34.12%	36.31%	38.83%	42.33%	45.83%	49.33%	53.05%	0.84	1.67	1.00	0.2668		Heavy						1.67		0.84						
重擊			常態攻擊	11	湮滅	Damage	攻擊	26.68%	28.87%	31.06%	34.12%	36.31%	38.83%	42.33%	45.83%	49.33%	53.05%	0.84	1.67	1.00	0.2668		Heavy						1.67		0.84						
普攻		空中攻擊傷害-1	常態攻擊	12	湮滅	Damage	攻擊	21.12%	22.86%	24.59%	27.01%	28.75%	30.74%	33.51%	36.28%	39.05%	41.99%	0.66	1.32	1.00	0.2112		Basic						1.32		0.66						
普攻			常態攻擊	13	湮滅	Damage	攻擊	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00	0.00	0.00	0.0500		Basic						0.00		0.00						
普攻		空中攻擊傷害-2	常態攻擊	14	湮滅	Damage	攻擊	31.68%	34.28%	36.88%	40.52%	43.12%	46.10%	50.26%	54.42%	58.57%	62.99%	0.99	1.98	1.00	0.3168		Basic						1.98		0.99						
普攻		閃避反擊傷害-1	常態攻擊	15	湮滅	Damage	攻擊	26.66%	28.85%	31.04%	34.10%	36.28%	38.80%	42.30%	45.79%	49.29%	53.01%	0.84	1.67	1.00	0.3750		Basic						1.67		0.84						
普攻			常態攻擊	16	湮滅	Damage	攻擊	26.66%	28.85%	31.04%	34.10%	36.28%	38.80%	42.30%	45.79%	49.29%	53.01%	0.84	1.67	1.00	0.3750		Basic						1.67		0.84						
普攻			常態攻擊	17	湮滅	Damage	攻擊	26.66%	28.85%	31.04%	34.10%	36.28%	38.80%	42.30%	45.79%	49.29%	53.01%	0.84	1.67	1.00	0.3750		Basic						1.67		0.84						
普攻			常態攻擊	18	湮滅	Damage	攻擊	26.66%	28.85%	31.04%	34.10%	36.28%	38.80%	42.30%	45.79%	49.29%	53.01%	0.84	1.67	1.00	0.3750		Basic						1.67		0.84						
普攻		第一段傷害	常態攻擊		湮滅	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.00	2.00	1.00	0.3200		Basic						2.00		1.00						
普攻		第二段傷害	常態攻擊		湮滅	Damage	攻擊	73.32%	79.32%	85.36%	93.76%	99.76%	106.68%	116.28%	125.92%	135.52%	145.76%	1.84	3.68	4.00	0.5864		Basic						3.68		1.84						
普攻		第三段傷害	常態攻擊		湮滅	Damage	攻擊	73.00%	79.00%	84.98%	93.36%	99.34%	106.24%	115.80%	125.38%	134.96%	145.14%	1.84	3.66	2.00	0.5840		Basic						3.66		1.84						
重擊		重擊傷害	常態攻擊		湮滅	Damage	攻擊	57.52%	62.24%	66.96%	73.56%	78.28%	83.70%	91.26%	98.80%	106.34%	114.36%	1.80	3.60	2.00	0.5752		Heavy			20.00			3.60		1.80						
重擊		浮潛幻海傷害	常態攻擊		湮滅	Damage	攻擊	53.36%	57.74%	62.12%	68.24%	72.62%	77.66%	84.66%	91.66%	98.66%	106.10%	1.68	3.34	2.00	0.5336		Heavy						3.34		1.68						
普攻		空中攻擊傷害	常態攻擊		湮滅	Damage	攻擊	52.80%	57.14%	61.47%	67.53%	71.87%	76.84%	83.77%	90.70%	97.62%	104.98%	1.65	3.30	2.00	0.5280		Basic			30.00			3.30		1.65						
普攻		閃避反擊傷害	常態攻擊		湮滅	Damage	攻擊	106.64%	115.40%	124.16%	136.40%	145.12%	155.20%	169.20%	183.16%	197.16%	212.04%	3.36	6.68	4.00	1.5000		Basic						6.68		3.36						
共鳴技能		翩躚傷害-1	共鳴技能	1	湮滅	Damage	攻擊	37.02%	40.06%	43.10%	47.35%	50.38%	53.87%	58.73%	63.59%	68.44%	73.60%	0.78	0.00	1.00	0.5000		Skill						0.00		0.78						
共鳴技能			共鳴技能	2	湮滅	Damage	攻擊	37.02%	40.06%	43.10%	47.35%	50.38%	53.87%	58.73%	63.59%	68.44%	73.60%	0.78	0.00	1.00	0.5000		Skill						0.00		0.78						
共鳴技能		斑駁幻夢傷害-1	共鳴技能	3	湮滅	Damage	攻擊	98.70%	106.80%	114.89%	126.22%	134.32%	143.62%	156.57%	169.52%	182.47%	196.23%	1.65	0.00	1.00	1.0000		Skill						0.00		1.65						
共鳴技能			共鳴技能	4	湮滅	Damage	攻擊	98.70%	106.80%	114.89%	126.22%	134.32%	143.62%	156.57%	169.52%	182.47%	196.23%	1.65	0.00	1.00	1.0000		Skill						0.00		1.65						
普攻		驚醒傷害-1	共鳴技能	5	湮滅	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	0.00	0.00	1.00	0.0000		Basic						0.00		0.00						
普攻			共鳴技能	6	湮滅	Damage	攻擊	50.00%	54.10%	58.20%	63.94%	68.04%	72.76%	79.32%	85.88%	92.44%	99.41%	0.00	0.00	1.00	0.0000		Basic						0.00		0.00						
普攻			共鳴技能	7	湮滅	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	0.00	0.00	1.00	0.0000		Basic						0.00		0.00						
共鳴技能			共鳴技能	8	湮滅	Damage	攻擊	55.53%	60.09%	64.64%	71.02%	75.57%	80.81%	88.09%	95.38%	102.66%	110.40%	0.78	0.00	1.00	0.5000		Skill						0.00		0.78						
共鳴技能			共鳴技能	9	湮滅	Damage	攻擊	55.53%	60.09%	64.64%	71.02%	75.57%	80.81%	88.09%	95.38%	102.66%	110.40%	0.78	0.00	1.00	0.5000		Skill						0.00		0.78						
共鳴技能			共鳴技能	10	湮滅	Damage	攻擊	148.05%	160.20%	172.34%	189.33%	201.47%	215.43%	234.86%	254.28%	273.71%	294.34%	1.65	0.00	1.00	1.0000		Skill						0.00		1.65						
共鳴技能			共鳴技能	11	湮滅	Damage	攻擊	148.05%	160.20%	172.34%	189.33%	201.47%	215.43%	234.86%	254.28%	273.71%	294.34%	1.65	0.00	1.00	1.0000		Skill						0.00		1.65						
普攻			共鳴技能	12	湮滅	Damage	攻擊	345.00%	373.29%	401.58%	441.19%	469.48%	502.01%	547.28%	592.54%	637.81%	685.90%	0.00	0.00	1.00	0.0000		Basic						0.00		0.00						
普攻			共鳴技能	13	湮滅	Damage	攻擊	345.00%	373.29%	401.58%	441.19%	469.48%	502.01%	547.28%	592.54%	637.81%	685.90%	0.00	0.00	1.00	0.0000		Basic						0.00		0.00						
共鳴技能		翩躚傷害	共鳴技能		湮滅	Damage	攻擊	74.04%	80.12%	86.20%	94.70%	100.76%	107.74%	117.46%	127.18%	136.88%	147.20%	1.56	0.00	2.00	1.0000		Skill						10.00		1.56		6				
