技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	氣動	Damage	攻擊	28.70%	31.06%	33.41%	36.71%	39.06%	41.77%	45.53%	49.30%	53.06%	57.06%	0.88	2.80	1.00	0.2800		Basic						2.80		0.88						
普攻		第二段傷害-1	常態攻擊	2	氣動	Damage	攻擊	24.60%	26.62%	28.64%	31.46%	33.48%	35.80%	39.03%	42.26%	45.48%	48.91%	0.75	2.40	1.00	0.2400		Basic						2.40		0.75						
普攻		第二段傷害-2	常態攻擊	3	氣動	Damage	攻擊	12.30%	13.31%	14.32%	15.73%	16.74%	17.90%	19.52%	21.13%	22.74%	24.46%	0.38	1.20	1.00	0.1200		Basic						1.20		0.38						
普攻		第二段傷害-3	常態攻擊	4	氣動	Damage	攻擊	32.80%	35.49%	38.18%	41.95%	44.64%	47.73%	52.04%	56.34%	60.64%	65.21%	1.00	3.20	1.00	0.3200		Basic						3.20		1.00						
普攻		第三段傷害-1	常態攻擊	5	氣動	Damage	攻擊	16.61%	17.97%	19.33%	21.24%	22.60%	24.17%	26.35%	28.52%	30.70%	33.02%	0.51	1.62	1.00	0.1620		Basic						1.62		0.51						
普攻			常態攻擊	6	氣動	Damage	攻擊	16.61%	17.97%	19.33%	21.24%	22.60%	24.17%	26.35%	28.52%	30.70%	33.02%	0.51	1.62	1.00	0.1620		Basic						1.62		0.51						
普攻			常態攻擊	7	氣動	Damage	攻擊	16.61%	17.97%	19.33%	21.24%	22.60%	24.17%	26.35%	28.52%	30.70%	33.02%	0.51	1.62	1.00	0.1620		Basic						1.62		0.51						
普攻			常態攻擊	8	氣動	Damage	攻擊	16.61%	17.97%	19.33%	21.24%	22.60%	24.17%	26.35%	28.52%	30.70%	33.02%	0.51	1.62	1.00	0.1620		Basic						1.62		0.51						
普攻		第四段傷害-1	常態攻擊	9	氣動	Damage	攻擊	30.75%	33.28%	35.80%	39.33%	41.85%	44.75%	48.78%	52.82%	56.85%	61.14%	0.94	3.00	1.00	0.3000		Basic						3.00		0.94						
普攻			常態攻擊	10	氣動	Damage	攻擊	30.75%	33.28%	35.80%	39.33%	41.85%	44.75%	48.78%	52.82%	56.85%	61.14%	0.94	3.00	1.00	0.3000		Basic						3.00		0.94						
