技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	導電	Damage	攻擊	28.90%	31.27%	33.64%	36.96%	39.33%	42.06%	45.85%	49.64%	53.43%	57.46%	0.73	1.45	1.00	0.2890		Basic						1.45		0.73						
普攻		第二段傷害-1	常態攻擊	2	導電	Damage	攻擊	33.70%	36.47%	39.23%	43.10%	45.86%	49.04%	53.46%	57.88%	62.31%	67.00%	0.85	1.69	1.00	0.3370		Basic						1.69		0.85						
普攻			常態攻擊	3	導電	Damage	攻擊	33.70%	36.47%	39.23%	43.10%	45.86%	49.04%	53.46%	57.88%	62.31%	67.00%	0.85	1.69	1.00	0.3370		Basic						1.69		0.85						
普攻		第三段傷害-1	常態攻擊	4	導電	Damage	攻擊	33.00%	35.71%	38.42%	42.21%	44.91%	48.02%	52.35%	56.68%	61.01%	65.61%	0.83	1.65	1.00	0.3300		Basic						1.65		0.83						
普攻			常態攻擊	5	導電	Damage	攻擊	33.00%	35.71%	38.42%	42.21%	44.91%	48.02%	52.35%	56.68%	61.01%	65.61%	0.83	1.65	1.00	0.3300		Basic						1.65		0.83						
普攻			常態攻擊	6	導電	Damage	攻擊	33.00%	35.71%	38.42%	42.21%	44.91%	48.02%	52.35%	56.68%	61.01%	65.61%	0.83	1.65	1.00	0.3300		Basic						1.65		0.83						
普攻		第四段傷害-1	常態攻擊	7	導電	Damage	攻擊	32.51%	35.18%	37.84%	41.57%	44.24%	47.30%	51.57%	55.83%	60.10%	64.63%	0.82	1.63	1.00	0.3251		Basic						1.63		0.82						
普攻			常態攻擊	8	導電	Damage	攻擊	32.51%	35.18%	37.84%	41.57%	44.24%	47.30%	51.57%	55.83%	60.10%	64.63%	0.82	1.63	1.00	0.3251		Basic						1.63		0.82						
普攻			常態攻擊	9	導電	Damage	攻擊	32.51%	35.18%	37.84%	41.57%	44.24%	47.30%	51.57%	55.83%	60.10%	64.63%	0.82	1.63	1.00	0.3251		Basic						1.63		0.82						
重擊		重擊·鳴鐵傷害-1	常態攻擊	10	導電	Damage	攻擊	23.34%	25.25%	27.16%	29.84%	31.76%	33.96%	37.02%	40.08%	43.14%	46.39%	0.59	1.17	1.00	0.2334		Heavy						1.17		0.59						
重擊		重擊·爍雷·後撤傷害-1	常態攻擊	11	導電	Damage	攻擊	27.00%	29.22%	31.43%	34.53%	36.75%	39.29%	42.84%	46.38%	49.92%	53.68%	0.50	1.00	1.00	0.2000		Heavy						1.00		0.50						
重擊		重擊·爍雷·旋切傷害-1	常態攻擊	12	導電	Damage	攻擊	71.28%	77.13%	82.97%	91.16%	97.00%	103.72%	113.08%	122.43%	131.78%	141.72%	1.49	2.97	1.00	0.5940		Heavy						2.97		1.49						
重擊			常態攻擊	13	導電	Damage	攻擊	71.28%	77.13%	82.97%	91.16%	97.00%	103.72%	113.08%	122.43%	131.78%	141.72%	1.49	2.97	1.00	0.5940		Heavy						2.97		1.49						
重擊			常態攻擊	14	導電	Damage	攻擊	33.75%	36.52%	39.29%	43.16%	45.93%	49.11%	53.54%	57.97%	62.40%	67.10%	0.50	1.00	1.00	0.2000		Heavy						1.00		0.50						
重擊			常態攻擊	15	導電	Damage	攻擊	89.10%	96.41%	103.72%	113.95%	121.25%	129.65%	141.34%	153.03%	164.72%	177.14%	1.49	2.97	1.00	0.5940		Heavy						2.97		1.49						
重擊			常態攻擊	16	導電	Damage	攻擊	89.10%	96.41%	103.72%	113.95%	121.25%	129.65%	141.34%	153.03%	164.72%	177.14%	1.49	2.97	1.00	0.5940		Heavy						2.97		1.49						
重擊		重擊·爍雷·升拳傷害-1	常態攻擊	17	導電	Damage	攻擊	90.00%	97.38%	104.76%	115.10%	122.48%	130.96%	142.77%	154.58%	166.39%	178.93%	1.88	3.75	1.00	1.5000		Heavy						3.75		1.88						
重擊			常態攻擊	18	導電	Damage	攻擊	90.00%	97.38%	104.76%	115.10%	122.48%	130.96%	142.77%	154.58%	166.39%	178.93%	1.88	3.75	1.00	1.5000		Heavy						3.75		1.88						
重擊			常態攻擊	19	導電	Damage	攻擊	112.50%	121.73%	130.95%	143.87%	153.09%	163.70%	178.46%	193.22%	207.98%	223.67%	1.88	3.75	1.00	1.5000		Heavy						3.75		1.88						
重擊			常態攻擊	20	導電	Damage	攻擊	112.50%	121.73%	130.95%	143.87%	153.09%	163.70%	178.46%	193.22%	207.98%	223.67%	1.88	3.75	1.00	1.5000		Heavy						3.75		1.88						
