種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	普攻第一段傷害-1	常態攻擊	1	衍射	Damage	攻擊	15.99%	17.30%	18.61%	20.45%	21.76%	23.26%	25.36%	27.46%	29.55%	31.78%	0.50	1.60	1.00	0.16	Basic						1.60		0.50						
普攻	普攻第二段傷害-1	常態攻擊	2	衍射	Damage	攻擊	12.00%	12.99%	13.97%	15.35%	16.33%	17.47%	19.04%	20.61%	22.19%	23.86%	0.38	1.20	1.00	0.12	Basic						1.20		0.38						
普攻	普攻第二段傷害-2	常態攻擊	3	衍射	Damage	攻擊	12.00%	12.99%	13.97%	15.35%	16.33%	17.47%	19.04%	20.61%	22.19%	23.86%	0.38	1.20	1.00	0.12	Basic						1.20		0.38						
普攻	普攻第三段傷害-1	常態攻擊	4	衍射	Damage	攻擊	11.73%	12.69%	13.66%	15.00%	15.96%	17.07%	18.61%	20.15%	21.69%	23.32%	0.37	1.18	1.00	0.12	Basic						1.18		0.37						
普攻		常態攻擊	5	衍射	Damage	攻擊	11.73%	12.69%	13.66%	15.00%	15.96%	17.07%	18.61%	20.15%	21.69%	23.32%	0.37	1.18	1.00	0.12	Basic						1.18		0.37						
普攻	普攻第四段傷害-1	常態攻擊	6	衍射	Damage	攻擊	36.58%	39.58%	42.58%	46.78%	49.78%	53.23%	58.03%	62.82%	67.62%	72.72%	1.15	3.66	1.00	0.37	Basic						3.66		1.15						
普攻	閃避反擊傷害-1	常態攻擊	7	衍射	Damage	攻擊	44.00%	47.61%	51.22%	56.27%	59.88%	64.03%	69.80%	75.57%	81.35%	87.48%	1.38	4.40	1.00	0.44	Basic						4.40		1.38						
普攻	閃避反擊傷害-2	常態攻擊	8	衍射	Damage	攻擊	44.00%	47.61%	51.22%	56.27%	59.88%	64.03%	69.80%	75.57%	81.35%	87.48%	1.38	4.40	1.00	0.44	Basic						4.40		1.38						
重擊	重擊傷害-1	常態攻擊	9	衍射	Damage	攻擊	23.04%	24.93%	26.82%	29.47%	31.36%	33.53%	36.55%	39.58%	42.60%	45.81%	0.96	3.08	1.00	0.31	Heavy						3.08		0.96						
普攻		常態攻擊	10	衍射	Damage	攻擊	37.20%	40.26%	43.31%	47.58%	50.63%	54.13%	59.02%	63.90%	68.78%	73.96%	1.55	5.00	1.00	0.50	Basic						5.00		1.55						
普攻	普攻第一段傷害	常態攻擊		衍射	Damage	攻擊	15.99%	17.30%	18.61%	20.45%	21.76%	23.26%	25.36%	27.46%	29.55%	31.78%	0.50	1.60	1.00	0.16	Basic						1.60		0.50						
普攻	普攻第二段傷害	常態攻擊		衍射	Damage	攻擊	24.00%	25.98%	27.94%	30.70%	32.66%	34.94%	38.08%	41.22%	44.38%	47.72%	0.76	2.40	2.00	0.24	Basic						2.40		0.76						
普攻	普攻第三段傷害	常態攻擊		衍射	Damage	攻擊	35.19%	38.07%	40.98%	45.00%	47.88%	51.21%	55.83%	60.45%	65.07%	69.96%	1.11	3.54	3.00	0.35	Basic						3.54		1.11						
普攻	普攻第四段傷害	常態攻擊		衍射	Damage	攻擊	36.58%	39.58%	42.58%	46.78%	49.78%	53.23%	58.03%	62.82%	67.62%	72.72%	1.15	3.66	1.00	0.37	Basic						3.66		1.15						
重擊	重擊傷害	常態攻擊		衍射	Damage	攻擊	23.04%	24.93%	26.82%	29.47%	31.36%	33.53%	36.55%	39.58%	42.60%	45.81%	0.96	3.08	1.00	0.31	Heavy			25.00			3.08		0.96						
普攻	下落攻擊傷害	常態攻擊		衍射	Damage	攻擊	37.20%	40.26%	43.31%	47.58%	50.63%	54.13%	59.02%	63.90%	68.78%	73.96%	1.55	5.00	1.00	0.50	Basic			30.00			5.00		1.55						
普攻	閃避反擊傷害	常態攻擊		衍射	Damage	攻擊	88.00%	95.22%	102.44%	112.54%	119.76%	128.06%	139.60%	151.14%	162.70%	174.96%	2.76	8.80	2.00	0.88	Basic						8.80		2.76						
