技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		月環·普攻第一段傷害-1	常態攻擊	1	氣動	Damage	攻擊	44.10%	47.72%	51.34%	56.40%	60.02%	64.17%	69.96%	75.75%	81.53%	87.68%	1.23	1.23	1.00	0.4900		Basic						1.23		1.23						
普攻		月環·普攻第二段傷害-1	常態攻擊	2	氣動	Damage	攻擊	23.17%	25.07%	26.97%	29.63%	31.53%	33.71%	36.75%	39.79%	42.83%	46.06%	0.65	0.65	1.00	0.2574		Basic						0.65		0.65						
普攻			常態攻擊	3	氣動	Damage	攻擊	23.17%	25.07%	26.97%	29.63%	31.53%	33.71%	36.75%	39.79%	42.83%	46.06%	0.65	0.65	1.00	0.2574		Basic						0.65		0.65						
普攻		月環·普攻第二段傷害-2	常態攻擊	4	氣動	Damage	攻擊	23.87%	25.83%	27.79%	30.53%	32.48%	34.74%	37.87%	41.00%	44.13%	47.46%	0.67	0.67	1.00	0.2652		Basic						0.67		0.67						
普攻		月環·普攻第三段傷害-1	常態攻擊	5	氣動	Damage	攻擊	44.26%	47.89%	51.52%	56.60%	60.22%	64.40%	70.20%	76.01%	81.82%	87.98%	1.23	1.23	1.00	0.4917		Basic						1.23		1.23						
普攻			常態攻擊	6	氣動	Damage	攻擊	44.26%	47.89%	51.52%	56.60%	60.22%	64.40%	70.20%	76.01%	81.82%	87.98%	1.23	1.23	1.00	0.4917		Basic						1.23		1.23						
普攻		月環·普攻第三段傷害-2	常態攻擊	7	氣動	Damage	攻擊	45.60%	49.34%	53.08%	58.31%	62.05%	66.35%	72.33%	78.31%	84.29%	90.65%	1.27	1.27	1.00	0.5066		Basic						1.27		1.27						
普攻		空中攻擊-1	常態攻擊	8	氣動	Damage	攻擊	27.00%	29.22%	31.43%	34.53%	36.75%	39.29%	42.84%	46.38%	49.92%	53.68%	0.75	1.50	1.00	0.3000		Basic						1.50		0.75						
普攻			常態攻擊	9	氣動	Damage	攻擊	27.00%	29.22%	31.43%	34.53%	36.75%	39.29%	42.84%	46.38%	49.92%	53.68%	0.75	1.50	1.00	0.3000		Basic						1.50		0.75						
普攻		月環·閃避反擊-1	常態攻擊	10	氣動	Damage	攻擊	41.29%	44.67%	48.06%	52.80%	56.18%	60.08%	65.49%	70.91%	76.32%	82.08%	0.66	1.31	1.00	0.4950		Basic						1.31		0.66						
普攻			常態攻擊	11	氣動	Damage	攻擊	41.29%	44.67%	48.06%	52.80%	56.18%	60.08%	65.49%	70.91%	76.32%	82.08%	0.66	1.31	1.00	0.4950		Basic						1.31		0.66						
普攻		月環·閃避反擊-2	常態攻擊	12	氣動	Damage	攻擊	42.54%	46.03%	49.51%	54.40%	57.89%	61.90%	67.48%	73.06%	78.64%	84.57%	0.68	1.35	1.00	0.5100		Basic						1.35		0.68						
共鳴解放		月弓·閃避反擊傷害-1	常態攻擊	13	氣動	Damage	攻擊	52.00%	56.27%	60.53%	66.50%	70.77%	75.67%	82.49%	89.31%	96.14%	103.39%	0.59	1.17	1.00	0.5000		Liberation						1.17		0.59						
