技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	湮滅	Damage	攻擊	26.88%	29.09%	31.29%	34.38%	36.58%	39.12%	42.64%	46.17%	49.70%	53.45%	0.84	1.68	1.00	0.3360		Basic						1.68		0.84						
普攻			常態攻擊	2	湮滅	Damage	攻擊	26.88%	29.09%	31.29%	34.38%	36.58%	39.12%	42.64%	46.17%	49.70%	53.45%	0.84	1.68	1.00	0.3360		Basic						1.68		0.84						
普攻		第二段傷害-1	常態攻擊	3	湮滅	Damage	攻擊	48.00%	51.94%	55.88%	61.39%	65.32%	69.85%	76.15%	82.44%	88.74%	95.43%	1.50	3.00	1.00	0.6000		Basic						3.00		1.50						
普攻		第三段傷害-1	常態攻擊	4	湮滅	Damage	攻擊	16.44%	17.79%	19.14%	21.03%	22.38%	23.93%	26.08%	28.24%	30.40%	32.69%	0.52	1.03	1.00	0.2055		Basic						1.03		0.52						
重擊		重擊傷害-1	常態攻擊	5	湮滅	Damage	攻擊	40.16%	43.46%	46.75%	51.36%	54.65%	58.44%	63.71%	68.98%	74.25%	79.85%	1.26	2.51	1.00	0.5020		Heavy						2.51		1.26						
重擊			常態攻擊	6	湮滅	Damage	攻擊	40.16%	43.46%	46.75%	51.36%	54.65%	58.44%	63.71%	68.98%	74.25%	79.85%	1.26	2.51	1.00	0.5020		Heavy						2.51		1.26						
共鳴技能		譜曲終末傷害-1	常態攻擊	7	湮滅	Damage	攻擊	16.61%	17.97%	19.33%	21.24%	22.60%	24.16%	26.34%	28.52%	30.70%	33.01%	0.35	0.00	1.00	0.5000		Skill						0.00		0.35						
共鳴技能		譜曲終末傷害-2	常態攻擊	8	湮滅	Damage	攻擊	6.23%	6.74%	7.25%	7.97%	8.48%	9.06%	9.88%	10.70%	11.51%	12.38%	0.13	0.00	1.00	0.0519		Skill						0.00		0.13						
共鳴技能		譜曲終末傷害-3	常態攻擊	9	湮滅	Damage	攻擊	249.03%	269.46%	289.88%	318.46%	338.89%	362.37%	395.04%	427.71%	460.39%	495.10%	5.19	0.00	1.00	2.0753		Skill						0.00		5.19						
共鳴技能			常態攻擊	10	湮滅	Damage	攻擊	16.61%	17.97%	19.33%	21.24%	22.60%	24.16%	26.34%	28.52%	30.70%	33.01%	0.35	0.00	1.00	0.1384		Skill						0.00		0.35						
普攻		空中攻擊傷害-1	常態攻擊	11	湮滅	Damage	攻擊	64.00%	69.25%	74.50%	81.85%	87.10%	93.13%	101.53%	109.92%	118.32%	127.24%	2.00	4.00	1.00	0.8000		Basic						4.00		2.00						
普攻		閃避反擊傷害-1	常態攻擊	12	湮滅	Damage	攻擊	61.36%	66.40%	71.43%	78.47%	83.50%	89.29%	97.34%	105.39%	113.44%	121.99%	1.92	3.84	1.00	1.5000		Basic						3.84		1.92						
共鳴技能			常態攻擊	13	湮滅	Damage	攻擊	29.06%	31.44%	33.82%	37.16%	39.54%	42.28%	46.09%	49.90%	53.72%	57.77%	0.35	0.00	1.00	0.5000		Skill						0.00		0.35						
共鳴技能			常態攻擊	14	湮滅	Damage	攻擊	10.90%	11.79%	12.69%	13.94%	14.83%	15.86%	17.29%	18.72%	20.15%	21.67%	0.13	0.00	1.00	0.0519		Skill						0.00		0.13						
共鳴技能			常態攻擊	15	湮滅	Damage	攻擊	435.81%	471.54%	507.28%	557.31%	593.05%	634.14%	691.32%	748.50%	805.67%	866.42%	5.19	0.00	1.00	2.0753		Skill						0.00		5.19						
共鳴技能			常態攻擊	16	湮滅	Damage	攻擊	29.06%	31.44%	33.82%	37.16%	39.54%	42.28%	46.09%	49.90%	53.72%	57.77%	0.35	0.00	1.00	0.1384		Skill						0.00		0.35						
普攻		第一段傷害	常態攻擊		湮滅	Damage	攻擊	53.76%	58.18%	62.58%	68.76%	73.16%	78.24%	85.28%	92.34%	99.40%	106.90%	1.68	3.36	2.00	0.6720		Basic						3.36		1.68						
普攻		第二段傷害	常態攻擊		湮滅	Damage	攻擊	48.00%	51.94%	55.88%	61.39%	65.32%	69.85%	76.15%	82.44%	88.74%	95.43%	1.50	3.00	1.00	0.6000		Basic						3.00		1.50						
普攻		第三段傷害	常態攻擊		湮滅	Damage	攻擊	98.64%	106.74%	114.84%	126.18%	134.28%	143.58%	156.48%	169.44%	182.40%	196.14%	3.12	6.18	6.00	1.2330		Basic						6.18		3.12						
重擊		重擊傷害	常態攻擊		湮滅	Damage	攻擊	80.32%	86.92%	93.50%	102.72%	109.30%	116.88%	127.42%	137.96%	148.50%	159.70%	2.52	5.02	2.00	1.0040		Heavy			25.00			5.02		2.52						
共鳴技能		譜曲終末傷害	常態攻擊		湮滅	Damage	攻擊	332.09%	359.32%	386.54%	424.70%	451.93%	483.17%	526.76%	570.35%	613.87%	660.16%	6.93	0.00	11.00	3.4905		Skill			25.00			40.00		6.93						
共鳴技能		每層餘響增加倍率	常態攻擊		湮滅	Damage	攻擊	41.53%	44.90%	48.36%	53.13%	56.50%	60.38%	65.88%	71.32%	76.75%	82.55%						Skill														
普攻		空中攻擊傷害	常態攻擊		湮滅	Damage	攻擊	64.00%	69.25%	74.50%	81.85%	87.10%	93.13%	101.53%	109.92%	118.32%	127.24%	2.00	4.00	1.00	0.8000		Basic			30.00			4.00		2.00						
普攻		閃避反擊傷害	常態攻擊		湮滅	Damage	攻擊	61.36%	66.40%	71.43%	78.47%	83.50%	89.29%	97.34%	105.39%	113.44%	121.99%	1.92	3.84	1.00	1.5000		Basic						3.84		1.92						
共鳴技能		稍縱即逝的夢囈-1	共鳴技能	1	湮滅	Damage	攻擊	53.30%	57.68%	62.05%	68.17%	72.54%	77.56%	84.55%	91.55%	98.54%	105.97%	6.67	0.00	1.00	1.0000		Skill						0.00		6.67						
共鳴技能			共鳴技能	2	湮滅	Damage	攻擊	53.30%	57.68%	62.05%	68.17%	72.54%	77.56%	84.55%	91.55%	98.54%	105.97%	6.67	0.00	1.00	1.0000		Skill						0.00		6.67						
共鳴技能		稍縱即逝的夢囈	共鳴技能		湮滅	Damage	攻擊	106.60%	115.36%	124.10%	136.34%	145.08%	155.12%	169.10%	183.10%	197.08%	211.94%	13.34	0.00	2.00	2.0000		Skill						10.00		13.34		12				
聲骸		強化攻擊·彩樂·赫卡忒傷害-1	共鳴解放	1	湮滅	Damage	攻擊	52.50%	56.81%	61.11%	67.14%	71.45%	76.40%	83.29%	90.17%	97.06%	104.38%	0.00	0.00	1.00	0.3000		Echo						0.00		0.00						
聲骸		強化攻擊·彩樂·赫卡忒傷害-2	共鳴解放	2	湮滅	Damage	攻擊	122.50%	132.55%	142.59%	156.66%	166.70%	178.25%	194.33%	210.40%	226.47%	243.55%	0.00	0.00	1.00	0.7000		Echo						0.00		0.00						
聲骸			共鳴解放	3	湮滅	Damage	攻擊	52.50%	56.81%	61.11%	67.14%	71.45%	76.40%	83.29%	90.17%	97.06%	104.38%	0.00	0.00	1.00	0.3000		Echo						0.00		0.00						
聲骸			共鳴解放	4	湮滅	Damage	攻擊	122.50%	132.55%	142.59%	156.66%	166.70%	178.25%	194.33%	210.40%	226.47%	243.55%	0.00	0.00	1.00	0.7000		Echo						0.00		0.00						
聲骸		強化攻擊·管樂·赫卡忒傷害-1	共鳴解放	5	湮滅	Damage	攻擊	49.88%	53.97%	58.06%	63.79%	67.87%	72.58%	79.12%	85.67%	92.21%	99.16%	0.00	0.00	1.00	0.3000		Echo						0.00		0.00						
聲骸		強化攻擊·管樂·赫卡忒傷害-2	共鳴解放	6	湮滅	Damage	攻擊	116.38%	125.92%	135.47%	148.83%	158.37%	169.34%	184.61%	199.88%	215.15%	231.37%	0.00	0.00	1.00	0.7000		Echo						0.00		0.00						
聲骸			共鳴解放	7	湮滅	Damage	攻擊	49.88%	53.97%	58.06%	63.79%	67.87%	72.58%	79.12%	85.67%	92.21%	99.16%	0.00	0.00	1.00	0.3000		Echo						0.00		0.00						
聲骸			共鳴解放	8	湮滅	Damage	攻擊	14.00%	15.15%	16.30%	17.91%	19.06%	20.38%	22.21%	24.05%	25.89%	27.84%	0.00	0.00	1.00	0.5000		Echo						0.00		0.00						
聲骸			共鳴解放	9	湮滅	Damage	攻擊	7.00%	7.58%	8.15%	8.96%	9.53%	10.19%	11.11%	12.03%	12.95%	13.92%	0.00	0.00	1.00	0.2500		Echo						0.00		0.00						
聲骸			共鳴解放	10	湮滅	Damage	攻擊	7.00%	7.58%	8.15%	8.96%	9.53%	10.19%	11.11%	12.03%	12.95%	13.92%	0.00	0.00	1.00	0.2500		Echo						0.00		0.00						
聲骸		強化攻擊·弦樂·赫卡忒傷害-1	共鳴解放	11	湮滅	Damage	攻擊	52.50%	56.81%	61.11%	67.14%	71.45%	76.40%	83.29%	90.17%	97.06%	104.38%	0.00	0.00	1.00	0.3000		Echo						0.00		0.00						
聲骸		強化攻擊·弦樂·赫卡忒傷害-2	共鳴解放	12	湮滅	Damage	攻擊	122.50%	132.55%	142.59%	156.66%	166.70%	178.25%	194.33%	210.40%	226.47%	243.55%	0.00	0.00	1.00	0.7000		Echo						0.00		0.00						
聲骸			共鳴解放	13	湮滅	Damage	攻擊	52.50%	56.81%	61.11%	67.14%	71.45%	76.40%	83.29%	90.17%	97.06%	104.38%	0.00	0.00	1.00	0.3000		Echo						0.00		0.00						
聲骸			共鳴解放	14	湮滅	Damage	攻擊	122.50%	132.55%	142.59%	156.66%	166.70%	178.25%	194.33%	210.40%	226.47%	243.55%	0.00	0.00	1.00	0.7000		Echo						0.00		0.00						
聲骸			共鳴解放	15	湮滅	Damage	攻擊	65.10%	70.44%	75.78%	83.25%	88.59%	94.73%	103.27%	111.81%	120.36%	129.43%	0.00	0.00	1.00	0.3000		Echo						0.00		0.00						
聲骸			共鳴解放	16	湮滅	Damage	攻擊	151.90%	164.36%	176.82%	194.25%	206.71%	221.03%	240.96%	260.89%	280.82%	302.00%	0.00	0.00	1.00	0.7000		Echo						0.00		0.00						
聲骸			共鳴解放	17	湮滅	Damage	攻擊	65.10%	70.44%	75.78%	83.25%	88.59%	94.73%	103.27%	111.81%	120.36%	129.43%	0.00	0.00	1.00	0.3000		Echo						0.00		0.00						
聲骸			共鳴解放	18	湮滅	Damage	攻擊	151.90%	164.36%	176.82%	194.25%	206.71%	221.03%	240.96%	260.89%	280.82%	302.00%	0.00	0.00	1.00	0.7000		Echo						0.00		0.00						
