技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	冷凝	Damage	攻擊	21.00%	22.73%	24.45%	26.86%	28.58%	30.56%	33.32%	36.07%	38.83%	41.76%	0.75	2.40	1.00	0.2400		Basic						2.40		0.75						
普攻	第一段傷害-2	常態攻擊	2	冷凝	Damage	攻擊	21.00%	22.73%	24.45%	26.86%	28.58%	30.56%	33.32%	36.07%	38.83%	41.76%	0.75	2.40	1.00	0.2400		Basic						2.40		0.75						
普攻	第二段傷害-1	常態攻擊	3	冷凝	Damage	攻擊	10.34%	11.18%	12.03%	13.22%	14.06%	15.04%	16.39%	17.75%	19.11%	20.55%	0.37	1.19	1.00	0.1181		Basic						1.19		0.37						
普攻		常態攻擊	4	冷凝	Damage	攻擊	10.34%	11.18%	12.03%	13.22%	14.06%	15.04%	16.39%	17.75%	19.11%	20.55%	0.37	1.19	1.00	0.1181		Basic						1.19		0.37						
普攻	第三段傷害-1	常態攻擊	5	冷凝	Damage	攻擊	67.20%	72.72%	78.23%	85.94%	91.45%	97.79%	106.60%	115.42%	124.24%	133.61%	2.40	7.68	1.00	0.7680		Basic						7.68		2.40						
普攻	閃避反擊傷害-1	常態攻擊	6	冷凝	Damage	攻擊	14.62%	15.82%	17.02%	18.70%	19.90%	21.28%	23.20%	25.11%	27.03%	29.07%	0.43	0.00	1.00	0.3000		Basic						0.00		0.43						
普攻		常態攻擊	7	冷凝	Damage	攻擊	14.62%	15.82%	17.02%	18.70%	19.90%	21.28%	23.20%	25.11%	27.03%	29.07%	0.43	0.00	1.00	0.3000		Basic						0.00		0.43						
重擊	重擊傷害-1	常態攻擊	8	冷凝	Damage	攻擊	56.70%	61.35%	66.00%	72.51%	77.16%	82.50%	89.94%	97.38%	104.82%	112.72%	1.67	5.34	1.00	0.5336		Heavy						5.34		1.67						
普攻	空中攻擊傷害-2	常態攻擊	9	冷凝	Damage	攻擊	52.70%	57.03%	61.35%	67.40%	71.72%	76.69%	83.60%	90.52%	97.43%	104.78%	1.55	4.96	1.00	0.4960		Basic						4.96		1.55						
普攻	空中攻擊傷害-1	常態攻擊	10	冷凝	Damage	攻擊	12.55%	13.58%	14.61%	16.05%	17.08%	18.26%	19.91%	21.55%	23.20%	24.95%	0.37	1.19	1.00	0.1181		Basic						1.19		0.37						
普攻		常態攻擊	11	冷凝	Damage	攻擊	12.55%	13.58%	14.61%	16.05%	17.08%	18.26%	19.91%	21.55%	23.20%	24.95%	0.37	1.19	1.00	0.1181		Basic						1.19		0.37						
普攻	第一段傷害	常態攻擊		冷凝	Damage	攻擊	42.00%	45.46%	48.90%	53.72%	57.16%	61.12%	66.64%	72.14%	77.66%	83.52%	1.50	4.80	2.00	0.4800		Basic						4.80		1.50						
普攻	第二段傷害	常態攻擊		冷凝	Damage	攻擊	51.70%	55.90%	60.15%	66.10%	70.30%	75.20%	81.95%	88.75%	95.55%	102.75%	1.85	5.95	5.00	0.5905		Basic						5.95		1.85						
普攻	第三段傷害	常態攻擊		冷凝	Damage	攻擊	67.20%	72.72%	78.23%	85.94%	91.45%	97.79%	106.60%	115.42%	124.24%	133.61%	2.40	7.68	1.00	0.7680		Basic						7.68		2.40						
重擊	重擊傷害	常態攻擊		冷凝	Damage	攻擊	56.70%	61.35%	66.00%	72.51%	77.16%	82.50%	89.94%	97.38%	104.82%	112.72%	1.67	5.34	1.00	0.5336		Heavy			20.00			5.34		1.67						
普攻	空中攻擊傷害	常態攻擊		冷凝	Damage	攻擊	115.45%	124.93%	134.40%	147.65%	157.12%	167.99%	183.15%	198.27%	213.43%	229.53%	3.40	10.91	6.00	1.0865		Basic			30.00			10.91		3.40						
普攻	閃避反擊傷害	常態攻擊		冷凝	Damage	攻擊	73.10%	79.10%	85.10%	93.50%	99.50%	106.40%	116.00%	125.55%	135.15%	145.35%	2.15	0.00	5.00	1.5000		Basic						0.00		2.15						
共鳴技能	短按技能傷害-1	共鳴技能	1	冷凝	Damage	攻擊	49.50%	53.56%	57.62%	63.31%	67.36%	72.03%	78.53%	85.02%	91.52%	98.42%	2.64	0.00	1.00	0.6600		Skill						0.00		2.64						
共鳴技能	長按技能傷害-1	共鳴技能	2	冷凝	Damage	攻擊	49.50%	53.56%	57.62%	63.31%	67.36%	72.03%	78.53%	85.02%	91.52%	98.42%	2.64	0.00	1.00	0.6600		Skill						0.00		2.64						
共鳴技能	空中短按傷害-1	共鳴技能	3	冷凝	Damage	攻擊	49.50%	53.56%	57.62%	63.31%	67.36%	72.03%	78.53%	85.02%	91.52%	98.42%	2.64	0.00	1.00	0.6600		Skill						0.00		2.64						
共鳴技能	以形寫神-1	共鳴技能	4	冷凝	Damage	攻擊	49.50%	53.56%	57.62%	63.31%	67.36%	72.03%	78.53%	85.02%	91.52%	98.42%	2.64	0.00	1.00	0.6600		Skill						0.00		2.64						
共鳴技能		共鳴技能	5	冷凝	Damage	攻擊	49.50%	53.56%	57.62%	63.31%	67.36%	72.03%	78.53%	85.02%	91.52%	98.42%	2.64	0.00	1.00	0.6600		Skill						0.00		2.64						
共鳴技能		共鳴技能	6	冷凝	Damage	攻擊	49.50%	53.56%	57.62%	63.31%	67.36%	72.03%	78.53%	85.02%	91.52%	98.42%	2.64	0.00	1.00	0.6600		Skill						0.00		2.64						
共鳴技能	短按技能傷害	共鳴技能		冷凝	Damage	攻擊	148.50%	160.68%	172.86%	189.93%	202.08%	216.09%	235.59%	255.06%	274.56%	295.26%	7.92	0.00	3.00	1.9800		Skill						8.00		7.92		6				
共鳴技能	長按技能傷害	共鳴技能		冷凝	Damage	攻擊	148.50%	160.68%	172.86%	189.93%	202.08%	216.09%	235.59%	255.06%	274.56%	295.26%	7.92	0.00	3.00	1.9800		Skill						8.00		7.92		6				
共鳴技能	空中短按傷害	共鳴技能		冷凝	Damage	攻擊	148.50%	160.68%	172.86%	189.93%	202.08%	216.09%	235.59%	255.06%	274.56%	295.26%	7.92	0.00	3.00	1.9800		Skill						8.00		7.92		6				
共鳴技能	以形寫神	共鳴技能		冷凝	Damage	攻擊	148.50%	160.68%	172.86%	189.93%	202.08%	216.09%	235.59%	255.06%	274.56%	295.26%	7.92	0.00	3.00	1.9800		Skill						8.00		7.92		6				
普攻	墨鶴傷害-1	共鳴解放	1	冷凝	Damage	攻擊	32.80%	35.49%	38.18%	41.95%	44.64%	47.73%	52.04%	56.34%	60.64%	65.21%	0.00	0.00	1.00	0.5000	1	Basic						0.00		0.00						
普攻		共鳴解放	2	冷凝	Damage	攻擊	45.92%	49.69%	53.46%	58.73%	62.49%	66.82%	72.85%	78.87%	84.90%	91.30%	0.00	0.00	1.00	0.5000	1	Basic						0.00		0.00						
普攻	墨鶴傷害	共鳴解放		冷凝	Damage	攻擊	32.80%	35.49%	38.18%	41.95%	44.64%	47.73%	52.04%	56.34%	60.64%	65.21%	0.00	0.00	1.00	0.5000	1	Basic						0.00		0.00						
	虛實境趣	共鳴解放																										20.00			125	25				
變奏	柔翰生輝-1	變奏技能	1	冷凝	Damage	攻擊	43.34%	46.89%	50.44%	55.42%	58.97%	63.06%	68.74%	74.43%	80.12%	86.16%	3.34	0.00	1.00	0.3467		Intro						0.00		3.34						
變奏	柔翰生輝	變奏技能		冷凝	Damage	攻擊	130.02%	140.67%	151.32%	166.26%	176.91%	189.18%	206.22%	223.29%	240.36%	258.48%	10.02	0.00	3.00	1.0401		Intro						10.00		10.02						
重擊	重擊·構形傷害-1	共鳴回路	1	冷凝	Damage	攻擊	41.75%	45.18%	48.60%	53.39%	56.82%	60.76%	66.23%	71.71%	77.19%	83.01%	0.70	2.23	1.00	0.2227		Heavy						2.23		0.70						
重擊	重擊·構形傷害-2	共鳴回路	2	冷凝	Damage	攻擊	41.75%	45.18%	48.60%	53.39%	56.82%	60.76%	66.23%	71.71%	77.19%	83.01%	0.70	2.23	1.00	0.2227		Heavy						2.23		0.70						
重擊	重擊·構形傷害-3	共鳴回路	3	冷凝	Damage	攻擊	41.75%	45.18%	48.60%	53.39%	56.82%	60.76%	66.23%	71.71%	77.19%	83.01%	0.70	2.23	1.00	0.2227		Heavy						2.23		0.70						
普攻	神來之筆傷害-1	共鳴回路	4	冷凝	Damage	攻擊	150.00%	162.30%	174.60%	191.82%	204.12%	218.27%	237.95%	257.63%	277.31%	298.22%	7.00	0.00	1.00	0.8000		Basic						0.00		7.00						
普攻		共鳴回路	5	冷凝	Damage	攻擊	150.00%	162.30%	174.60%	191.82%	204.12%	218.27%	237.95%	257.63%	277.31%	298.22%	7.00	0.00	1.00	0.8000		Basic						0.00		7.00						
