種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	冷凝	Damage	攻擊	24.50%	26.51%	28.52%	31.34%	33.34%	35.65%	38.87%	42.08%	45.30%	48.71%	0.87	2.00	1.00	0.35	Basic						2.00		0.87						
普攻	第二段傷害-1	常態攻擊	2	冷凝	Damage	攻擊	37.10%	40.15%	43.19%	47.45%	50.49%	53.99%	58.86%	63.72%	68.59%	73.76%	1.32	4.00	1.00	0.53	Basic						4.00		1.32						
普攻	第三段傷害-1	常態攻擊	3	冷凝	Damage	攻擊	10.85%	11.74%	12.63%	13.88%	14.77%	15.79%	17.22%	18.64%	20.06%	21.58%	0.38	2.00	1.00	0.16	Basic						2.00		0.38						
普攻	第四段傷害-1	常態攻擊	4	冷凝	Damage	攻擊	19.95%	21.59%	23.23%	25.52%	27.15%	29.03%	31.65%	34.27%	36.89%	39.67%	0.71	4.00	1.00	0.29	Basic						4.00		0.71						
普攻	第四段傷害-2	常態攻擊	5	冷凝	Damage	攻擊	19.95%	21.59%	23.23%	25.52%	27.15%	29.03%	31.65%	34.27%	36.89%	39.67%	0.71	4.00	1.00	0.29	Basic						4.00		0.71						
普攻	第五段傷害-1	常態攻擊	6	冷凝	Damage	攻擊	117.60%	127.25%	136.89%	150.39%	160.04%	171.12%	186.55%	201.98%	217.41%	233.81%	4.20	10.00	1.00	1.68	Basic						10.00		4.20						
普攻	空中攻擊傷害-1	常態攻擊	7	冷凝	Damage	攻擊	43.40%	46.96%	50.52%	55.50%	59.06%	63.16%	68.85%	74.54%	80.24%	86.29%	0.51	1.00	1.00	0.62	Basic						1.00		0.51						
重擊	閃避反擊傷害-1	常態攻擊	8	冷凝	Damage	攻擊	84.00%	90.89%	97.78%	107.42%	114.31%	122.23%	133.25%	144.27%	155.30%	167.01%	3.00	6.00	1.00	1.50	Heavy						6.00		3.00						
重擊	重擊傷害-1	常態攻擊	9	冷凝	Damage	攻擊	11.20%	12.12%	13.04%	14.33%	15.25%	16.30%	17.77%	19.24%	20.71%	22.27%	0.40	1.60	1.00	0.16	Heavy						1.60		0.40						
普攻	第一段傷害	常態攻擊		冷凝	Damage	攻擊	24.50%	26.51%	28.52%	31.34%	33.34%	35.65%	38.87%	42.08%	45.30%	48.71%	0.87	2.00	1.00	0.35	Basic						2.00		0.87						
普攻	第二段傷害	常態攻擊		冷凝	Damage	攻擊	37.10%	40.15%	43.19%	47.45%	50.49%	53.99%	58.86%	63.72%	68.59%	73.76%	1.32	4.00	1.00	0.53	Basic						4.00		1.32						
普攻	第三段傷害	常態攻擊		冷凝	Damage	攻擊	43.40%	46.96%	50.52%	55.52%	59.08%	63.16%	68.88%	74.56%	80.24%	86.32%	1.52	8.00	4.00	0.62	Basic						8.00		1.52						
普攻	第四段傷害	常態攻擊		冷凝	Damage	攻擊	39.90%	43.18%	46.46%	51.04%	54.30%	58.06%	63.30%	68.54%	73.78%	79.34%	1.42	8.00	2.00	0.57	Basic						8.00		1.42						
普攻	第五段傷害	常態攻擊		冷凝	Damage	攻擊	117.60%	127.25%	136.89%	150.39%	160.04%	171.12%	186.55%	201.98%	217.41%	233.81%	4.20	10.00	1.00	1.68	Basic						10.00		4.20						
重擊	重擊傷害	常態攻擊		冷凝	Damage	攻擊	56.00%	60.60%	65.20%	71.65%	76.25%	81.50%	88.85%	96.20%	103.55%	111.35%	2.00	8.00	5.00	0.80	Heavy			25.00			8.00		2.00						
普攻	空中攻擊傷害	常態攻擊		冷凝	Damage	攻擊	43.40%	46.96%	50.52%	55.50%	59.06%	63.16%	68.85%	74.54%	80.24%	86.29%	0.51	1.00	1.00	0.62	Basic			30.00			1.00		0.51						
重擊	閃避反擊傷害	常態攻擊		冷凝	Damage	攻擊	84.00%	90.89%	97.78%	107.42%	114.31%	122.23%	133.25%	144.27%	155.30%	167.01%	3.00	6.00	1.00	1.50	Heavy						6.00		3.00						
共鳴技能	朔雪永凍-1	共鳴技能	1	冷凝	Damage	攻擊	181.00%	195.85%	210.69%	231.47%	246.31%	263.38%	287.13%	310.87%	334.62%	359.85%	10.00	0.00	1.00	1.00	Skill						0.00		10.00						
