種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	湮滅	Damage	攻擊	45.34%	49.06%	52.77%	57.98%	61.69%	65.97%	71.92%	77.86%	83.81%	90.13%	1.16	3.50	1.00	0.68	Basic						3.50		1.16						
普攻	第二段傷害-1	常態攻擊	2	湮滅	Damage	攻擊	42.67%	46.17%	49.67%	54.57%	58.07%	62.09%	67.69%	73.29%	78.89%	84.84%	1.08	3.90	1.00	0.64	Basic						3.90		1.08						
普攻		常態攻擊	3	湮滅	Damage	攻擊	42.67%	46.17%	49.67%	54.57%	58.07%	62.09%	67.69%	73.29%	78.89%	84.84%	1.08	3.90	1.00	0.64	Basic						3.90		1.08						
普攻	第三段傷害-1	常態攻擊	4	湮滅	Damage	攻擊	28.00%	30.30%	32.60%	35.81%	38.11%	40.75%	44.42%	48.09%	51.77%	55.67%	2.80	6.50	1.00	0.42	Basic						6.50		2.80						
普攻	第三段傷害-2	常態攻擊	5	湮滅	Damage	攻擊	28.00%	30.30%	32.60%	35.81%	38.11%	40.75%	44.42%	48.09%	51.77%	55.67%	2.80	6.50	1.00	0.42	Basic						6.50		2.80						
普攻	第四段傷害-1	常態攻擊	6	湮滅	Damage	攻擊	136.00%	147.16%	158.31%	173.92%	185.07%	197.90%	215.74%	233.58%	251.43%	270.39%	2.96	8.10	1.00	2.04	Basic						8.10		2.96						
普攻	空中攻擊傷害-1	常態攻擊	7	湮滅	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.51	1.00	1.00	0.74	Basic						1.00		0.51						
重擊	重擊攻擊傷害-1	常態攻擊	8	湮滅	Damage	攻擊	110.84%	119.93%	129.01%	141.74%	150.83%	161.28%	175.82%	190.36%	204.90%	220.35%	4.66	3.46	1.00	1.40	Heavy						3.46		4.66						
普攻	閃避反擊傷害-1	常態攻擊	9	湮滅	Damage	攻擊	125.00%	135.25%	145.50%	159.85%	170.10%	181.89%	198.29%	214.69%	231.09%	248.52%	4.97	6.93	1.00	1.50	Basic						6.93		4.97						
普攻	第一段傷害	常態攻擊		湮滅	Damage	攻擊	45.34%	49.06%	52.77%	57.98%	61.69%	65.97%	71.92%	77.86%	83.81%	90.13%	1.16	3.50	1.00	0.68	Basic						3.50		1.16						
