技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	湮滅	Damage	攻擊	31.45%	34.03%	36.61%	40.22%	42.80%	45.77%	49.89%	54.02%	58.15%	62.53%	0.93	1.85	1.00	0.3700		Basic						1.85		0.93						
普攻		第二段傷害-1	常態攻擊	2	湮滅	Damage	攻擊	23.38%	25.30%	27.21%	29.90%	31.81%	34.02%	37.08%	40.15%	43.22%	46.48%	0.69	1.38	1.00	0.2750		Basic						1.38		0.69						
普攻			常態攻擊	3	湮滅	Damage	攻擊	23.38%	25.30%	27.21%	29.90%	31.81%	34.02%	37.08%	40.15%	43.22%	46.48%	0.69	1.38	1.00	0.2750		Basic						1.38		0.69						
普攻		第三段傷害-1	常態攻擊	4	湮滅	Damage	攻擊	25.50%	27.59%	29.68%	32.61%	34.70%	37.11%	40.45%	43.80%	47.14%	50.70%	0.75	1.50	1.00	0.3000		Basic						1.50		0.75						
普攻			常態攻擊	5	湮滅	Damage	攻擊	25.50%	27.59%	29.68%	32.61%	34.70%	37.11%	40.45%	43.80%	47.14%	50.70%	0.75	1.50	1.00	0.3000		Basic						1.50		0.75						
普攻			常態攻擊	6	湮滅	Damage	攻擊	25.50%	27.59%	29.68%	32.61%	34.70%	37.11%	40.45%	43.80%	47.14%	50.70%	0.75	1.50	1.00	0.3000		Basic						1.50		0.75						
普攻		第四段傷害-1	常態攻擊	7	湮滅	Damage	攻擊	12.42%	13.44%	14.46%	15.89%	16.91%	18.08%	19.71%	21.34%	22.97%	24.70%	0.27	0.54	1.00	0.1080		Basic						0.54		0.27						
普攻			常態攻擊	8	湮滅	Damage	攻擊	12.42%	13.44%	14.46%	15.89%	16.91%	18.08%	19.71%	21.34%	22.97%	24.70%	0.27	0.54	1.00	0.1080		Basic						0.54		0.27						
普攻			常態攻擊	9	湮滅	Damage	攻擊	12.42%	13.44%	14.46%	15.89%	16.91%	18.08%	19.71%	21.34%	22.97%	24.70%	0.27	0.54	1.00	0.1080		Basic						0.54		0.27						
普攻			常態攻擊	10	湮滅	Damage	攻擊	12.42%	13.44%	14.46%	15.89%	16.91%	18.08%	19.71%	21.34%	22.97%	24.70%	0.27	0.54	1.00	0.1080		Basic						0.54		0.27						
普攻		第五段傷害-1	常態攻擊	11	湮滅	Damage	攻擊	24.23%	26.22%	28.20%	30.98%	32.97%	35.25%	38.43%	41.61%	44.79%	48.17%	0.72	1.43	1.00	0.2850		Basic						1.43		0.72						
普攻			常態攻擊	12	湮滅	Damage	攻擊	24.23%	26.22%	28.20%	30.98%	32.97%	35.25%	38.43%	41.61%	44.79%	48.17%	0.72	1.43	1.00	0.2850		Basic						1.43		0.72						
普攻			常態攻擊	13	湮滅	Damage	攻擊	24.23%	26.22%	28.20%	30.98%	32.97%	35.25%	38.43%	41.61%	44.79%	48.17%	0.72	1.43	1.00	0.2850		Basic						1.43		0.72						
普攻			常態攻擊	14	湮滅	Damage	攻擊	24.23%	26.22%	28.20%	30.98%	32.97%	35.25%	38.43%	41.61%	44.79%	48.17%	0.72	1.43	1.00	0.2850		Basic						1.43		0.72						
普攻		空中攻擊傷害-1	常態攻擊	15	湮滅	Damage	攻擊	33.00%	35.71%	38.42%	42.21%	44.91%	48.02%	52.35%	56.68%	61.01%	65.61%	0.83	1.65	1.00	0.3300		Basic						1.65		0.83						
普攻			常態攻擊	16	湮滅	Damage	攻擊	33.00%	35.71%	38.42%	42.21%	44.91%	48.02%	52.35%	56.68%	61.01%	65.61%	0.83	1.65	1.00	0.3300		Basic						1.65		0.83						
重擊		重擊傷害-1	常態攻擊	17	湮滅	Damage	攻擊	44.33%	47.97%	51.60%	56.69%	60.33%	64.51%	70.32%	76.14%	81.96%	88.14%	1.11	2.22	1.00	0.4433		Heavy						2.22		1.11						
重擊			常態攻擊	18	湮滅	Damage	攻擊	44.33%	47.97%	51.60%	56.69%	60.33%	64.51%	70.32%	76.14%	81.96%	88.14%	1.11	2.22	1.00	0.4433		Heavy						2.22		1.11						
重擊			常態攻擊	19	湮滅	Damage	攻擊	44.33%	47.97%	51.60%	56.69%	60.33%	64.51%	70.32%	76.14%	81.96%	88.14%	1.11	2.22	1.00	0.4433		Heavy						2.22		1.11						
