技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	湮滅	Damage	攻擊	36.81%	39.83%	42.85%	47.07%	50.09%	53.56%	58.39%	63.22%	68.05%	73.18%	1.09	3.47	1.00	0.4330		Basic						3.47		1.09						
普攻	第二段傷害-1	常態攻擊	2	湮滅	Damage	攻擊	19.19%	20.76%	22.33%	24.53%	26.11%	27.92%	30.43%	32.95%	35.47%	38.14%	0.57	1.81	1.00	0.2257		Basic						1.81		0.57						
普攻	第三段傷害-1	常態攻擊	3	湮滅	Damage	攻擊	17.00%	18.40%	19.79%	21.74%	23.14%	24.74%	26.97%	29.20%	31.43%	33.80%	0.50	1.60	1.00	0.2000		Basic						1.60		0.50						
普攻	第三段傷害-2	常態攻擊	4	湮滅	Damage	攻擊	51.00%	55.19%	59.37%	65.22%	69.41%	74.22%	80.91%	87.60%	94.29%	101.40%	1.50	4.80	1.00	0.6000		Basic						4.80		1.50						
普攻		常態攻擊	5	湮滅	Damage	攻擊	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00	0.00	0.00	0.0000		Basic						0.00		0.00						
普攻	第四段傷害-1	常態攻擊	6	湮滅	Damage	攻擊	52.41%	56.70%	61.00%	67.02%	71.31%	76.26%	83.13%	90.01%	96.88%	104.19%	1.55	4.94	1.00	0.6165		Basic						4.94		1.55						
重擊	重擊傷害-1	常態攻擊	7	湮滅	Damage	攻擊	85.00%	91.97%	98.94%	108.70%	115.67%	123.69%	134.84%	145.99%	157.14%	168.99%	2.50	8.00	1.00	1.0000		Heavy						8.00		2.50						
普攻	閃避反擊傷害-1	常態攻擊	8	湮滅	Damage	攻擊	34.66%	37.50%	40.34%	44.32%	47.16%	50.43%	54.97%	59.52%	64.07%	68.90%	0.52	1.67	1.00	0.5000		Basic						1.67		0.52						
普攻	空中攻擊傷害-1	常態攻擊	9	湮滅	Damage	攻擊	52.70%	57.03%	61.35%	67.40%	71.72%	76.69%	83.60%	90.52%	97.43%	104.78%	1.55	4.96	1.00	0.6200		Basic						4.96		1.55						
普攻	第一段傷害	常態攻擊		湮滅	Damage	攻擊	36.81%	39.83%	42.85%	47.07%	50.09%	53.56%	58.39%	63.22%	68.05%	73.18%	1.09	3.47	1.00	0.4330		Basic						3.47		1.09						
普攻	第二段傷害	常態攻擊		湮滅	Damage	攻擊	57.57%	62.28%	66.99%	73.59%	78.33%	83.76%	91.29%	98.85%	106.41%	114.42%	1.71	5.43	3.00	0.6771		Basic						5.43		1.71						
普攻	第三段傷害	常態攻擊		湮滅	Damage	攻擊	85.00%	91.99%	98.95%	108.70%	115.69%	123.70%	134.85%	146.00%	157.15%	169.00%	2.50	8.00	3.00	1.0000		Basic						8.00		2.50						
