技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	氣動	Damage	攻擊	17.76%	19.22%	20.68%	22.72%	24.17%	25.85%	28.18%	30.51%	32.84%	35.31%	0.76	2.41	1.00	0.3010		Basic						2.41		0.76						
普攻		第二段傷害-1	常態攻擊	2	氣動	Damage	攻擊	21.66%	23.43%	25.21%	27.69%	29.47%	31.51%	34.35%	37.19%	40.03%	43.05%	0.92	2.94	1.00	0.3670		Basic						2.94		0.92						
普攻			常態攻擊	3	氣動	Damage	攻擊	21.66%	23.43%	25.21%	27.69%	29.47%	31.51%	34.35%	37.19%	40.03%	43.05%	0.92	2.94	1.00	0.3670		Basic						2.94		0.92						
普攻		第三段傷害-1	常態攻擊	4	氣動	Damage	攻擊	27.69%	29.96%	32.23%	35.41%	37.68%	40.29%	43.92%	47.56%	51.19%	55.05%	2.24	7.15	1.00	0.8930		Basic						7.15		2.24						
普攻		閃避反擊傷害-1	常態攻擊	5	氣動	Damage	攻擊	63.09%	68.27%	73.44%	80.68%	85.85%	91.80%	100.08%	108.36%	116.63%	125.43%	3.74	11.95	1.00	1.4930		Basic						11.95		3.74						
普攻		第三段傷害-2	常態攻擊	6	氣動	Damage	攻擊	1.00%	1.09%	1.17%	1.28%	1.37%	1.46%	1.59%	1.72%	1.85%	1.99%	0.00	0.00	1.00	0.0040		Basic						0.00		0.00						
普攻		第四段傷害-1	常態攻擊	7	氣動	Damage	攻擊	38.59%	41.76%	44.92%	49.35%	52.51%	56.15%	61.21%	66.28%	71.34%	76.72%	1.64	5.24	1.00	0.6540		Basic						5.24		1.64						
重擊		絞息傷害-1	常態攻擊	8	氣動	Damage	攻擊	18.30%	19.80%	21.30%	23.40%	24.90%	26.62%	29.02%	31.42%	33.82%	36.37%	0.78	2.49	1.00	0.3101		Heavy						2.49		0.78						
重擊		絞息傷害-2	常態攻擊	9	氣動	Damage	攻擊	22.36%	24.20%	26.03%	28.60%	30.43%	32.54%	35.47%	38.40%	41.34%	44.46%	0.95	3.04	1.00	0.3790		Heavy						3.04		0.95						
普攻		空中攻擊傷害-1	常態攻擊	10	氣動	Damage	攻擊	70.80%	76.61%	82.42%	90.54%	96.35%	103.03%	112.32%	121.60%	130.89%	140.76%	0.52	9.60	1.00	1.2000		Basic						9.60		0.52						
重擊		重擊傷害-1	常態攻擊	11	氣動	Damage	攻擊	9.01%	9.75%	10.49%	11.52%	12.26%	13.11%	14.29%	15.48%	16.66%	17.91%	0.39	1.23	1.00	0.1527		Heavy						1.23		0.39						
重擊			常態攻擊	12	氣動	Damage	攻擊	9.01%	9.75%	10.49%	11.52%	12.26%	13.11%	14.29%	15.48%	16.66%	17.91%	0.39	1.23	1.00	0.1527		Heavy						1.23		0.39						
普攻		第一段傷害	常態攻擊		氣動	Damage	攻擊	17.76%	19.22%	20.68%	22.72%	24.17%	25.85%	28.18%	30.51%	32.84%	35.31%	0.76	2.41	1.00	0.3010		Basic						2.41		0.76						
