技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	湮滅	Damage	攻擊	28.50%	30.84%	33.18%	36.45%	38.79%	41.48%	45.21%	48.95%	52.69%	56.67%	0.60	0.74	1.00	0.3000		Basic						0.74		0.60						
普攻		第二段傷害-1	常態攻擊	2	湮滅	Damage	攻擊	28.50%	30.84%	33.18%	36.45%	38.79%	41.48%	45.21%	48.95%	52.69%	56.67%	0.60	0.74	1.00	0.3000		Basic						0.74		0.60						
普攻		第二段傷害-2	常態攻擊	3	湮滅	Damage	攻擊	28.50%	30.84%	33.18%	36.45%	38.79%	41.48%	45.21%	48.95%	52.69%	56.67%	0.60	0.74	1.00	0.3000		Basic						0.74		0.60						
普攻		第三段傷害-1	常態攻擊	4	湮滅	Damage	攻擊	42.75%	46.26%	49.77%	54.67%	58.18%	62.21%	67.82%	73.43%	79.04%	85.00%	0.90	1.11	1.00	0.4500		Basic						1.11		0.90						
普攻		第四段傷害-1	常態攻擊	5	湮滅	Damage	攻擊	20.27%	21.93%	23.60%	25.92%	27.58%	29.50%	32.15%	34.81%	37.47%	40.30%	0.42	0.52	1.00	0.2134		Basic						0.52		0.42						
普攻		第四段傷害-2	常態攻擊	6	湮滅	Damage	攻擊	20.27%	21.93%	23.60%	25.92%	27.58%	29.50%	32.15%	34.81%	37.47%	40.30%	0.42	0.52	1.00	0.2134		Basic						0.52		0.42						
普攻		第四段傷害-3	常態攻擊	7	湮滅	Damage	攻擊	20.27%	21.93%	23.60%	25.92%	27.58%	29.50%	32.15%	34.81%	37.47%	40.30%	0.42	0.52	1.00	0.2134		Basic						0.52		0.42						
普攻		第五段傷害-1	常態攻擊	8	湮滅	Damage	攻擊	47.50%	51.40%	55.29%	60.75%	64.64%	69.12%	75.35%	81.59%	87.82%	94.44%	1.00	1.24	1.00	0.5000		Basic						1.24		1.00						
普攻		第五段傷害-2	常態攻擊	9	湮滅	Damage	攻擊	47.50%	51.40%	55.29%	60.75%	64.64%	69.12%	75.35%	81.59%	87.82%	94.44%	1.00	1.24	1.00	0.5000		Basic						1.24		1.00						
普攻		空中攻擊傷害-1	常態攻擊	10	湮滅	Damage	攻擊	58.90%	63.73%	68.56%	75.33%	80.16%	85.71%	93.44%	101.17%	108.89%	117.10%	0.41	1.00	1.00	0.6200		Basic						1.00		0.41						
重擊		重擊傷害-1	常態攻擊	11	湮滅	Damage	攻擊	48.00%	51.94%	55.88%	61.39%	65.32%	69.85%	76.15%	82.44%	88.74%	95.43%	0.96	1.19	1.00	0.4800		Heavy						1.19		0.96						
普攻		閃避反擊傷害-1	常態攻擊	12	湮滅	Damage	攻擊	90.25%	97.66%	105.06%	115.42%	122.82%	131.33%	143.17%	155.01%	166.85%	179.43%	1.90	0.86	1.00	0.3500		Basic						0.86		1.90						
普攻		第一段傷害	常態攻擊		湮滅	Damage	攻擊	28.50%	30.84%	33.18%	36.45%	38.79%	41.48%	45.21%	48.95%	52.69%	56.67%	0.60	0.74	1.00	0.3000		Basic						0.74		0.60						
普攻		第二段傷害	常態攻擊		湮滅	Damage	攻擊	57.00%	61.68%	66.36%	72.90%	77.58%	82.96%	90.42%	97.90%	105.38%	113.34%	1.20	1.48	2.00	0.6000		Basic						1.48		1.20						
普攻		第三段傷害	常態攻擊		湮滅	Damage	攻擊	42.75%	46.26%	49.77%	54.67%	58.18%	62.21%	67.82%	73.43%	79.04%	85.00%	0.90	1.11	1.00	0.4500		Basic						1.11		0.90						
普攻		第四段傷害	常態攻擊		湮滅	Damage	攻擊	60.81%	65.79%	70.80%	77.76%	82.74%	88.50%	96.45%	104.43%	112.41%	120.90%	1.26	1.56	3.00	0.6402		Basic						1.56		1.26						
普攻		第五段傷害	常態攻擊		湮滅	Damage	攻擊	95.00%	102.80%	110.58%	121.50%	129.28%	138.24%	150.70%	163.18%	175.64%	188.88%	2.00	2.48	2.00	1.0000		Basic						2.48		2.00						
重擊		重擊傷害	常態攻擊		湮滅	Damage	攻擊	48.00%	51.94%	55.88%	61.39%	65.32%	69.85%	76.15%	82.44%	88.74%	95.43%	0.96	1.19	1.00	0.4800		Heavy						1.19		0.96						
普攻		空中攻擊傷害	常態攻擊		湮滅	Damage	攻擊	58.90%	63.73%	68.56%	75.33%	80.16%	85.71%	93.44%	101.17%	108.89%	117.10%	0.41	1.00	1.00	0.6200		Basic						1.00		0.41						
普攻		閃避反擊傷害	常態攻擊		湮滅	Damage	攻擊	90.25%	97.66%	105.06%	115.42%	122.82%	131.33%	143.17%	155.01%	166.85%	179.43%	1.90	0.86	1.00	0.3500		Basic						0.86		1.90						
共鳴技能		行刃-1	共鳴技能	1	湮滅	Damage	攻擊	144.00%	155.81%	167.62%	184.15%	195.96%	209.54%	228.43%	247.32%	266.22%	286.29%	6.00	0.00	1.00	0.8000		Skill						0.00		6.00						
共鳴技能		行刃-2	共鳴技能	2	湮滅	Damage	攻擊	144.00%	155.81%	167.62%	184.15%	195.96%	209.54%	228.43%	247.32%	266.22%	286.29%	6.00	0.00	1.00	0.8000		Skill						0.00		6.00						
共鳴技能		行刃	共鳴技能		湮滅	Damage	攻擊	288.00%	311.62%	335.24%	368.30%	391.92%	419.08%	456.86%	494.64%	532.44%	572.58%	12.00	0.00	2.00	1.6000		Skill						15.00		12.00		12				
共鳴解放		臨淵死寂-1	共鳴解放	1	湮滅	Damage	攻擊	765.00%	827.73%	890.46%	978.29%	1041.02%	1113.16%	1213.52%	1313.89%	1414.26%	1520.90%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放		臨淵死寂	共鳴解放		湮滅	Damage	攻擊	765.00%	827.73%	890.46%	978.29%	1041.02%	1113.16%	1213.52%	1313.89%	1414.26%	1520.90%	0.00	0.00	1.00	4.0000		Liberation						20.00		0.00	125	16				
變奏		化剎-1	變奏技能	1	湮滅	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	10.00	0.00	1.00	0.8100		Intro						0.00		10.00						
變奏		化剎	變奏技能		湮滅	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	10.00	0.00	1.00	0.8100		Intro						10.00		10.00						
延奏		喚聲-1	延奏技能		湮滅	Damage	攻擊	143.30%	143.30%	143.30%	143.30%	143.30%	143.30%	143.30%	143.30%	143.30%	143.30%						Outro														
延奏		喚聲	延奏技能		湮滅	Damage	攻擊	429.90%	429.90%	429.90%	429.90%	429.90%	429.90%	429.90%	429.90%	429.90%	429.90%						Outro														
普攻		暗流·普攻第一段傷害-1	共鳴回路	1	湮滅	Damage	攻擊	28.35%	30.68%	33.00%	36.26%	38.58%	41.26%	44.98%	48.70%	52.42%	56.37%	0.42	0.72	1.00	0.2100		Basic						0.72		0.42						
普攻		暗流·普攻第二段傷害-1	共鳴回路	2	湮滅	Damage	攻擊	47.25%	51.13%	55.00%	60.43%	64.30%	68.76%	74.96%	81.16%	87.36%	93.94%	0.70	1.20	1.00	0.3500		Basic						1.20		0.70						
普攻		暗流·普攻第三段傷害-1	共鳴回路	3	湮滅	Damage	攻擊	78.30%	84.73%	91.15%	100.14%	106.56%	113.94%	124.21%	134.49%	144.76%	155.67%	1.16	1.98	1.00	0.5800		Basic						1.98		1.16						
普攻		暗流·普攻第四段傷害-1	共鳴回路	4	湮滅	Damage	攻擊	18.68%	20.21%	21.74%	23.89%	25.42%	27.18%	29.63%	32.08%	34.53%	37.13%	0.27	0.47	1.00	0.1384		Basic						0.47		0.27						
普攻		暗流·普攻第四段傷害-2	共鳴回路	5	湮滅	Damage	攻擊	56.03%	60.62%	65.22%	71.65%	76.24%	81.53%	88.88%	96.23%	103.58%	111.39%	0.83	1.42	1.00	0.4150		Basic						1.42		0.83						
普攻		暗流·普攻第五段傷害-1	共鳴回路	6	湮滅	Damage	攻擊	14.35%	15.52%	16.70%	18.35%	19.52%	20.88%	22.76%	24.64%	26.52%	28.52%	0.21	0.36	1.00	0.1063		Basic														
