技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	衍射	Damage	攻擊	29.75%	32.19%	34.63%	38.05%	40.49%	43.29%	47.20%	51.10%	55.00%	59.15%	0.50	2.00	1.00	0.3500		Basic						2.00		0.50						
普攻	第二段傷害-1	常態攻擊	2	衍射	Damage	攻擊	38.25%	41.39%	44.53%	48.92%	52.06%	55.66%	60.68%	65.70%	70.72%	76.05%	1.00	4.00	1.00	0.4500		Basic						4.00		1.00						
普攻	第三段傷害-1	常態攻擊	3	衍射	Damage	攻擊	7.65%	8.28%	8.91%	9.79%	10.42%	11.14%	12.14%	13.14%	14.15%	15.21%	0.30	0.80	1.00	0.0900		Basic						0.80		0.30						
普攻	第四段傷害-1	常態攻擊	4	衍射	Damage	攻擊	65.45%	70.82%	76.19%	83.70%	89.07%	95.24%	103.83%	112.42%	121.00%	130.13%	2.00	6.00	1.00	0.7700		Basic						6.00		2.00						
重擊	重擊傷害-1	常態攻擊	5	衍射	Damage	攻擊	9.69%	10.49%	11.28%	12.40%	13.19%	14.10%	15.38%	16.65%	17.92%	19.27%	0.28	0.91	1.00	0.1140		Heavy						0.91		0.28						
普攻	空中攻擊傷害-1	常態攻擊	6	衍射	Damage	攻擊	52.70%	57.03%	61.35%	67.40%	71.72%	76.69%	83.60%	90.52%	97.43%	104.78%	0.51	1.00	1.00	0.6200		Basic						1.00		0.51						
重擊	鳴奏傷害-1	常態攻擊	7	衍射	Damage	攻擊	38.25%	41.39%	44.53%	48.92%	52.06%	55.66%	60.68%	65.70%	70.72%	76.05%	1.12	3.60	1.00	0.4500		Heavy						3.60		1.12						
重擊	餘音傷害-1	常態攻擊	8	衍射	Damage	攻擊	63.75%	68.98%	74.21%	81.53%	86.76%	92.77%	101.13%	109.50%	117.86%	126.75%	1.87	6.00	1.00	0.7500		Heavy						6.00		1.87						
重擊	閃避反擊傷害-1	常態攻擊	9	衍射	Damage	攻擊	98.25%	106.31%	114.37%	125.65%	133.70%	142.97%	155.86%	168.75%	181.64%	195.34%	2.62	3.60	1.00	1.5000		Heavy						3.60		2.62						
普攻	第一段傷害	常態攻擊		衍射	Damage	攻擊	29.75%	32.19%	34.63%	38.05%	40.49%	43.29%	47.20%	51.10%	55.00%	59.15%	0.50	2.00	1.00	0.3500		Basic						2.00		0.50						
普攻	第二段傷害	常態攻擊		衍射	Damage	攻擊	38.25%	41.39%	44.53%	48.92%	52.06%	55.66%	60.68%	65.70%	70.72%	76.05%	1.00	4.00	1.00	0.4500		Basic						4.00		1.00						
普攻	第三段傷害	常態攻擊		衍射	Damage	攻擊	38.25%	41.40%	44.55%	48.95%	52.10%	55.70%	60.70%	65.70%	70.75%	76.05%	1.50	4.00	5.00	0.4500		Basic						4.00		1.50						
普攻	第四段傷害	常態攻擊		衍射	Damage	攻擊	65.45%	70.82%	76.19%	83.70%	89.07%	95.24%	103.83%	112.42%	121.00%	130.13%	2.00	6.00	1.00	0.7700		Basic						6.00		2.00						
重擊	閃避反擊傷害	常態攻擊		衍射	Damage	攻擊	98.25%	106.31%	114.37%	125.65%	133.70%	142.97%	155.86%	168.75%	181.64%	195.34%	2.62	3.60	1.00	1.5000		Heavy						3.60		2.62						
重擊	重擊傷害	常態攻擊		衍射	Damage	攻擊	48.45%	52.45%	56.40%	62.00%	65.95%	70.50%	76.90%	83.25%	89.60%	96.35%	1.40	4.55	5.00	0.5700		Heavy						4.55		1.40						
重擊	鳴奏傷害	常態攻擊		衍射	Damage	攻擊	38.25%	41.39%	44.53%	48.92%	52.06%	55.66%	60.68%	65.70%	70.72%	76.05%	1.12	3.60	1.00	0.4500		Heavy						3.60		1.12						
重擊	餘音傷害	常態攻擊		衍射	Damage	攻擊	63.75%	68.98%	74.21%	81.53%	86.76%	92.77%	101.13%	109.50%	117.86%	126.75%	1.87	6.00	1.00	0.7500		Heavy						6.00		1.87						
普攻	空中攻擊傷害	常態攻擊		衍射	Damage	攻擊	52.70%	57.03%	61.35%	67.40%	71.72%	76.69%	83.60%	90.52%	97.43%	104.78%	0.51	1.00	1.00	0.6200		Basic						1.00		0.51						
共鳴技能	浮聲千斬-1	共鳴技能	1	衍射	Damage	攻擊	118.80%	128.55%	138.29%	151.93%	161.67%	172.87%	188.46%	204.04%	219.63%	236.19%	10.00	0.00	1.00	2.0000		Skill						0.00		10.00						
共鳴技能	浮聲千斬	共鳴技能		衍射	Damage	攻擊	118.80%	128.55%	138.29%	151.93%	161.67%	172.87%	188.46%	204.04%	219.63%	236.19%	10.00	0.00	1.00	2.0000		Skill						0.00		10.00						
共鳴解放	迴響奏鳴-2	共鳴解放	1	衍射	Damage	攻擊	340.00%	367.88%	395.76%	434.80%	462.68%	494.74%	539.35%	583.95%	628.56%	675.96%	0.00	0.00	1.00	2.8000		Liberation						0.00		0.00						
共鳴解放	迴響奏鳴-1	共鳴解放	2	衍射	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	0.00	0.00	1.00	1.2000		Liberation						0.00		0.00						
共鳴解放	迴響奏鳴	共鳴解放		衍射	Damage	攻擊	440.00%	476.08%	512.16%	562.68%	598.76%	640.25%	697.98%	755.70%	813.43%	874.77%	0.00	0.00	2.00	4.0000		Liberation						20.00		0.00	125	20				
變奏	震聲-1	變奏技能	1	衍射	Damage	攻擊	85.00%	91.97%	98.94%	108.70%	115.67%	123.69%	134.84%	145.99%	157.14%	168.99%	10.00	0.00	1.00	0.6100		Intro						0.00		10.00						
變奏	震聲	變奏技能		衍射	Damage	攻擊	85.00%	91.97%	98.94%	108.70%	115.67%	123.69%	134.84%	145.99%	157.14%	168.99%	10.00	0.00	1.00	0.6100		Intro						0.00		10.00						
	瞬刻	延奏技能																																		
共鳴技能	浮聲千斬·旋音傷害-1	共鳴回路	1	衍射	Damage	攻擊	64.93%	70.25%	75.58%	83.03%	88.35%	94.48%	103.00%	111.51%	120.03%	129.08%	5.00	0.00	1.00	0.8000		Skill						0.00		5.00						
共鳴技能	浮聲千斬·旋音飛輪傷害-1	共鳴回路	2	衍射	Damage	攻擊	20.00%	21.64%	23.28%	25.58%	27.22%	29.11%	31.73%	34.35%	36.98%	39.77%	2.00	0.00	1.00	0.6000		Skill						0.00		2.00						
共鳴技能	浮聲千斬·回聲一段傷害-1	共鳴回路	3	衍射	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	0.50	3.00	1.00	0.3000		Skill						3.00		0.50						
共鳴技能	浮聲千斬·回聲二段傷害-1	共鳴回路	4	衍射	Damage	攻擊	80.00%	86.56%	93.12%	102.31%	108.87%	116.41%	126.91%	137.40%	147.90%	159.05%	2.00	5.00	1.00	0.6000		Skill						5.00		2.00						
共鳴技能	浮聲千斬·旋音傷害	共鳴回路		衍射	Damage	攻擊	129.86%	140.50%	151.16%	166.06%	176.70%	188.96%	206.00%	223.02%	240.06%	258.16%	10.00	0.00	2.00	1.6000		Skill						20.00		10.00						
共鳴技能	浮聲千斬·旋音飛輪傷害	共鳴回路		衍射	Damage	攻擊	20.00%	21.64%	23.28%	25.58%	27.22%	29.11%	31.73%	34.35%	36.98%	39.77%	2.00	0.00	1.00	0.6000		Skill						0.00		2.00						
