種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	衍射	Damage	攻擊	29.75%	32.19%	34.63%	38.05%	40.49%	43.29%	47.20%	51.10%	55.00%	59.15%	0.50	2.00	1.00	0.35	Basic						2.00		0.50						
普攻		常態攻擊	2	衍射	Damage	攻擊	38.25%	41.39%	44.53%	48.92%	52.06%	55.66%	60.68%	65.70%	70.72%	76.05%	1.00	4.00	1.00	0.45	Basic						4.00		1.00						
普攻		常態攻擊	3	衍射	Damage	攻擊	7.65%	8.28%	8.91%	9.79%	10.42%	11.14%	12.14%	13.14%	14.15%	15.21%	0.30	0.80	1.00	0.09	Basic						0.80		0.30						
普攻		常態攻擊	4	衍射	Damage	攻擊	65.45%	70.82%	76.19%	83.70%	89.07%	95.24%	103.83%	112.42%	121.00%	130.13%	2.00	6.00	1.00	0.77	Basic						6.00		2.00						
重擊		常態攻擊	5	衍射	Damage	攻擊	9.69%	10.49%	11.28%	12.40%	13.19%	14.10%	15.38%	16.65%	17.92%	19.27%	0.28	0.91	1.00	0.11	Heavy						0.91		0.28						
普攻		常態攻擊	6	衍射	Damage	攻擊	52.70%	57.03%	61.35%	67.40%	71.72%	76.69%	83.60%	90.52%	97.43%	104.78%	0.51	1.00	1.00	0.62	Basic						1.00		0.51						
重擊		常態攻擊	7	衍射	Damage	攻擊	38.25%	41.39%	44.53%	48.92%	52.06%	55.66%	60.68%	65.70%	70.72%	76.05%	1.12	3.60	1.00	0.45	Heavy						3.60		1.12						
重擊		常態攻擊	8	衍射	Damage	攻擊	63.75%	68.98%	74.21%	81.53%	86.76%	92.77%	101.13%	109.50%	117.86%	126.75%	1.87	6.00	1.00	0.75	Heavy						6.00		1.87						
重擊		常態攻擊	9	衍射	Damage	攻擊	98.25%	106.31%	114.37%	125.65%	133.70%	142.97%	155.86%	168.75%	181.64%	195.34%	2.62	3.60	1.00	1.50	Heavy						3.60		2.62						
普攻	第一段傷害	常態攻擊		衍射	Damage	攻擊	29.75%	32.19%	34.63%	38.05%	40.49%	43.29%	47.20%	51.10%	55.00%	59.15%	0.50	2.00	1.00	0.35	Basic						2.00		0.50						
