種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	熱熔	Damage	攻擊	33.30%	36.04%	38.77%	42.59%	45.32%	48.46%	52.83%	57.20%	61.57%	66.21%	0.92	2.00	1.00	0.30	Basic						2.00		0.92						
普攻	第二段傷害-1	常態攻擊	2	熱熔	Damage	攻擊	24.30%	26.30%	28.29%	31.08%	33.07%	35.36%	38.55%	41.74%	44.93%	48.32%	0.67	1.00	1.00	0.22	Basic						1.00		0.67						
普攻	第三段傷害-1	常態攻擊	3	熱熔	Damage	攻擊	16.88%	18.26%	19.65%	21.58%	22.97%	24.56%	26.77%	28.99%	31.20%	33.55%	0.46	1.50	1.00	0.15	Basic						1.50		0.46						
普攻	第四段傷害-1	常態攻擊	4	熱熔	Damage	攻擊	117.00%	126.60%	136.19%	149.62%	159.22%	170.25%	185.60%	200.95%	216.30%	232.61%	3.25	4.00	1.00	1.04	Basic						4.00		3.25						
普攻	空中攻擊傷害-1	常態攻擊	5	熱熔	Damage	攻擊	16.20%	17.53%	18.86%	20.72%	22.05%	23.58%	25.70%	27.83%	29.95%	32.21%	0.45	0.50	1.00	0.14	Basic						0.50		0.45						
重擊	重擊傷害-1	常態攻擊	6	熱熔	Damage	攻擊	18.00%	19.48%	20.96%	23.02%	24.50%	26.20%	28.56%	30.92%	33.28%	35.79%	0.50	1.00	1.00	0.16	Heavy						1.00		0.50						
重擊	滿蓄力重擊傷害-1	常態攻擊	7	熱熔	Damage	攻擊	40.50%	43.83%	47.15%	51.80%	55.12%	58.94%	64.25%	69.56%	74.88%	80.52%	1.12	2.25	1.00	0.36	Heavy						2.25		1.12						
普攻		常態攻擊	8	熱熔	Damage	攻擊	17.55%	18.99%	20.43%	22.45%	23.89%	25.54%	27.84%	30.15%	32.45%	34.90%	0.48	1.00	1.00	0.16	Basic						1.00		0.48						
普攻		常態攻擊	9	熱熔	Damage	攻擊	17.55%	18.99%	20.43%	22.45%	23.89%	25.54%	27.84%	30.15%	32.45%	34.90%	0.48	1.00	1.00	0.16	Basic						1.00		0.48						
普攻		常態攻擊	10	熱熔	Damage	攻擊	17.55%	18.99%	20.43%	22.45%	23.89%	25.54%	27.84%	30.15%	32.45%	34.90%	0.48	1.00	1.00	0.16	Basic						1.00		0.48						
