技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		黃燈·普攻-1	常態攻擊	1	導電	Damage	攻擊	16.00%	17.32%	18.63%	20.47%	21.78%	23.29%	25.39%	27.48%	29.58%	31.81%	0.50	1.00	1.00	0.1200		Basic						1.00		0.50						
普攻		飛星-1	常態攻擊	2	導電	Damage	攻擊	32.00%	34.63%	37.25%	40.93%	43.55%	46.57%	50.77%	54.96%	59.16%	63.62%	1.00	2.00	1.00	0.2400		Basic						2.00		1.00						
普攻		黃燈·下落攻擊-1	常態攻擊	3	導電	Damage	攻擊	48.00%	51.94%	55.88%	61.39%	65.32%	69.85%	76.15%	82.44%	88.74%	95.43%	1.50	3.00	1.00	0.3600		Basic						3.00		1.50						
普攻		紅燈·普攻一段傷害-1	常態攻擊	4	導電	Damage	攻擊	45.60%	49.34%	53.08%	58.32%	62.06%	66.36%	72.34%	78.32%	84.31%	90.66%	1.20	2.40	1.00	0.5760		Basic						2.40		1.20						
普攻		紅燈·普攻二段傷害-1	常態攻擊	5	導電	Damage	攻擊	54.15%	58.60%	63.04%	69.25%	73.69%	78.80%	85.90%	93.01%	100.11%	107.66%	1.43	2.85	1.00	0.6840		Basic						2.85		1.43						
普攻		紅燈·普攻三段傷害-1	常態攻擊	6	導電	Damage	攻擊	32.49%	35.16%	37.82%	41.55%	44.22%	47.28%	51.54%	55.81%	60.07%	64.60%	0.86	1.71	1.00	0.4104		Basic						1.71		0.86						
普攻		紅燈·重擊傷害-1	常態攻擊	7	導電	Damage	攻擊	33.25%	35.98%	38.71%	42.53%	45.25%	48.39%	52.75%	57.11%	61.47%	66.11%	0.88	1.75	1.00	0.4200		Basic						1.75		0.88						
普攻			常態攻擊	8	導電	Damage	攻擊	33.25%	35.98%	38.71%	42.53%	45.25%	48.39%	52.75%	57.11%	61.47%	66.11%	0.88	1.75	1.00	0.4200		Basic						1.75		0.88						
普攻		紅燈·下落攻擊傷害-1	常態攻擊	9	導電	Damage	攻擊	57.00%	61.68%	66.35%	72.90%	77.57%	82.95%	90.42%	97.90%	105.38%	113.33%	1.50	3.00	1.00	0.7200		Basic						3.00		1.50						
普攻			常態攻擊	10	導電	Damage	攻擊	84.15%	91.06%	97.96%	107.62%	114.52%	122.45%	133.49%	144.53%	155.57%	167.30%	1.43	2.85	1.00	0.7500		Basic						2.85		1.43						
普攻		紅燈·普攻二段傷害-2	常態攻擊	11	導電	Damage	攻擊	10.83%	11.72%	12.61%	13.85%	14.74%	15.76%	17.18%	18.61%	20.03%	21.54%	0.29	0.57	1.00	0.1368		Basic						0.57		0.29						
普攻		紅燈·普攻三段傷害-2	常態攻擊	12	導電	Damage	攻擊	75.81%	82.03%	88.25%	96.95%	103.17%	110.32%	120.26%	130.21%	140.15%	150.72%	2.00	3.99	1.00	0.9576		Basic						3.99		2.00						
普攻			常態攻擊	13	導電	Damage	攻擊	16.83%	18.22%	19.60%	21.53%	22.91%	24.49%	26.70%	28.91%	31.12%	33.46%	0.29	0.57	1.00	0.1500		Basic						0.57		0.29						
普攻		黃燈·普攻	常態攻擊		導電	Damage	攻擊	48.00%	51.96%	55.89%	61.41%	65.34%	69.87%	76.17%	82.44%	88.74%	95.43%	1.50	3.00	3.00	0.3600		Basic						3.00		1.50						
普攻		飛星	常態攻擊		導電	Damage	攻擊	32.00%	34.63%	37.25%	40.93%	43.55%	46.57%	50.77%	54.96%	59.16%	63.62%	1.00	2.00	1.00	0.2400		Basic						2.00		1.00						
普攻		黃燈·下落攻擊	常態攻擊		導電	Damage	攻擊	48.00%	51.94%	55.88%	61.39%	65.32%	69.85%	76.15%	82.44%	88.74%	95.43%	1.50	3.00	1.00	0.3600		Basic			30.00			3.00		1.50						
普攻		紅燈·普攻一段傷害	常態攻擊		導電	Damage	攻擊	45.60%	49.34%	53.08%	58.32%	62.06%	66.36%	72.34%	78.32%	84.31%	90.66%	1.20	2.40	1.00	0.5760		Basic						2.40		1.20						
普攻		紅燈·普攻二段傷害	常態攻擊		導電	Damage	攻擊	108.30%	117.20%	126.09%	138.50%	147.39%	157.60%	171.80%	186.06%	200.26%	215.36%	2.88	5.70	6.00	1.3680		Basic						5.70		2.88						
普攻		紅燈·普攻三段傷害	常態攻擊		導電	Damage	攻擊	108.30%	117.19%	126.07%	138.50%	147.39%	157.60%	171.80%	186.02%	200.22%	215.32%	2.86	5.70	2.00	1.3680		Basic						5.70		2.86						
普攻		紅燈·重擊傷害	常態攻擊		導電	Damage	攻擊	66.50%	71.96%	77.42%	85.06%	90.50%	96.78%	105.50%	114.22%	122.94%	132.22%	1.76	3.50	2.00	0.8400		Basic			25.00			3.50		1.76						
普攻		紅燈·下落攻擊傷害	常態攻擊		導電	Damage	攻擊	57.00%	61.68%	66.35%	72.90%	77.57%	82.95%	90.42%	97.90%	105.38%	113.33%	1.50	3.00	1.00	0.7200		Basic			30.00			3.00		1.50						
普攻		紅燈·閃避反擊傷害	常態攻擊		導電	Damage	攻擊	168.30%	182.16%	195.96%	215.27%	229.07%	244.90%	266.99%	289.08%	311.17%	334.60%	2.88	5.70	6.00	1.5000		Basic						5.70		2.88						
共鳴技能		前撲傷害-1	共鳴技能	1	導電	Damage	攻擊	91.20%	98.68%	106.16%	116.63%	124.11%	132.71%	144.68%	156.64%	168.61%	181.32%	2.40	4.80	1.00	1.1520		Skill						4.80		2.40						
