技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	冷凝	Damage	攻擊	32.94%	35.64%	38.34%	42.12%	44.82%	47.93%	52.25%	56.57%	60.89%	65.48%	1.02	3.85	1.00	0.41	Basic						3.85		1.02						
普攻	第二段傷害-1	常態攻擊	2	冷凝	Damage	攻擊	39.52%	42.76%	46.01%	50.54%	53.78%	57.51%	62.69%	67.88%	73.06%	78.57%	1.23	4.63	1.00	0.49	Basic						4.63		1.23						
普攻	第三段傷害-1	常態攻擊	3	冷凝	Damage	攻擊	6.59%	7.13%	7.67%	8.43%	8.97%	9.59%	10.45%	11.32%	12.18%	13.10%	0.20	0.77	1.00	0.01	Basic						0.77		0.20						
普攻	第四段傷害-1	常態攻擊	4	冷凝	Damage	攻擊	39.52%	42.76%	46.01%	50.54%	53.78%	57.51%	62.69%	67.88%	73.06%	78.57%	1.23	4.63	1.00	0.49	Basic						4.63		1.23						
重擊	重擊傷害-1	常態攻擊	5	冷凝	Damage	攻擊	24.58%	26.60%	28.61%	31.43%	33.45%	35.77%	38.99%	42.21%	45.44%	48.86%	0.60	2.40	1.00	0.05	Heavy						2.40		0.60						
普攻	閃避反擊傷害-1	常態攻擊	6	冷凝	Damage	攻擊	89.86%	97.23%	104.60%	114.91%	122.28%	130.75%	142.54%	154.33%	166.12%	178.65%	2.80	6.03	1.00	1.50	Basic						6.03		2.80						
普攻	空中攻擊傷害-1	常態攻擊	7	冷凝	Damage	攻擊	39.68%	42.94%	46.19%	50.75%	54.00%	57.74%	62.95%	68.16%	73.36%	78.89%	0.41	1.00	1.00	0.50	Basic						1.00		0.41						
普攻		常態攻擊	8	冷凝	Damage	攻擊	55.49%	60.04%	64.59%	70.96%	75.51%	80.75%	88.03%	95.31%	102.59%	110.32%	1.73	6.50	1.00	0.69	Basic						6.50		1.73						
普攻	第一段傷害	常態攻擊		冷凝	Damage	攻擊	32.94%	35.64%	38.34%	42.12%	44.82%	47.93%	52.25%	56.57%	60.89%	65.48%	1.02	3.85	1.00	0.41	Basic						3.85		1.02						
普攻	第二段傷害	常態攻擊		冷凝	Damage	攻擊	39.52%	42.76%	46.01%	50.54%	53.78%	57.51%	62.69%	67.88%	73.06%	78.57%	1.23	4.63	1.00	0.49	Basic						4.63		1.23						
普攻	第三段傷害	常態攻擊		冷凝	Damage	攻擊	46.13%	49.91%	53.69%	59.01%	62.79%	67.13%	73.15%	79.24%	85.26%	91.70%	1.40	5.39	7.00	0.08	Basic						5.39		1.40						
普攻	第四段傷害	常態攻擊		冷凝	Damage	攻擊	39.52%	42.76%	46.01%	50.54%	53.78%	57.51%	62.69%	67.88%	73.06%	78.57%	1.23	4.63	1.00	0.49	Basic						4.63		1.23						
重擊	重擊傷害	常態攻擊		冷凝	Damage	攻擊	24.58%	26.60%	28.61%	31.43%	33.45%	35.77%	38.99%	42.21%	45.44%	48.86%	0.60	2.40	1.00	0.05	Heavy			12.50			2.40		0.60						
普攻	空中攻擊傷害	常態攻擊		冷凝	Damage	攻擊	39.68%	42.94%	46.19%	50.75%	54.00%	57.74%	62.95%	68.16%	73.36%	78.89%	0.41	1.00	1.00	0.50	Basic			30.00			1.00		0.41						
普攻	閃避反擊傷害	常態攻擊		冷凝	Damage	攻擊	89.86%	97.23%	104.60%	114.91%	122.28%	130.75%	142.54%	154.33%	166.12%	178.65%	2.80	6.03	1.00	1.50	Basic						6.03		2.80						
	應急預案-1	共鳴技能	1	-	Healing	生命	575 +2.9%	623 +3.14%	670 +3.38%	736 +3.71%	783 +3.95%	837 +4.22%	913 +4.6%	988 +4.98%	1064 +5.36%	1144 +5.77%	0.00	0.00	0.00	0.00	-						0.00		0.00						
共鳴技能	應急預案-2	共鳴技能	2	冷凝	Damage	生命	8.02%	8.68%	9.34%	10.26%	10.91%	11.67%	12.72%	13.77%	14.82%	15.94%	7.00	0.00	1.00	2.00	Skill						0.00		7.00						
共鳴技能	應急預案	共鳴技能		冷凝	Damage	生命	8.02%	8.68%	9.34%	10.26%	10.91%	11.67%	12.72%	13.77%	14.82%	15.94%	7.00	0.00	1.00	2.00	Skill						10.00		7.00		16				
共鳴解放		共鳴解放	1	冷凝	Damage	生命	2.05%	2.22%	2.39%	2.62%	2.79%	2.98%	3.25%	3.52%	3.79%	4.07%	0.00	0.00	1.00	0.50	Liberation						0.00		0.00						
	剎那合彌治療量-1	共鳴解放	2	-	Healing	生命	310 +1.26%	336 +1.37%	361 +1.47%	397 +1.62%	422 +1.72%	452 +1.84%	492 +2.0%	533 +2.17%	574 +2.33%	617 +2.51%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	頻隙迴響治療量-1	共鳴解放	3	-	Healing	生命	349 +1.42%	378 +1.54%	406 +1.65%	446 +1.82%	475 +1.93%	508 +2.07%	554 +2.25%	599 +2.44%	645 +2.63%	694 +2.82%	0.00	0.00	0.00	0.00	-						0.00		0.00						
		共鳴解放	4	-	Healing	生命	419 +1.71%	453 +1.85%	488 +1.98%	536 +2.18%	570 +2.32%	609 +2.48%	664 +2.7%	719 +2.93%	774 +3.15%	833 +3.39%	0.00	0.00	0.00	0.00	-						0.00		0.00						
	剎那合彌	共鳴解放																									20.00			175	25				
