技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	氣動	Damage	攻擊	16.00%	17.32%	18.63%	20.47%	21.78%	23.29%	25.39%	27.48%	29.58%	31.81%	0.50	1.60	1.00	0.16	Basic						1.60		0.50						
普攻	第二段傷害-1	常態攻擊	2	氣動	Damage	攻擊	26.67%	28.86%	31.04%	34.11%	36.29%	38.81%	42.31%	45.80%	49.30%	53.02%	0.83	2.66	1.00	0.27	Basic						2.66		0.83						
普攻	第三段傷害-1	常態攻擊	3	氣動	Damage	攻擊	24.00%	25.97%	27.94%	30.70%	32.66%	34.93%	38.08%	41.22%	44.37%	47.72%	0.75	2.40	1.00	0.24	Basic						2.40		0.75						
普攻		常態攻擊	4	氣動	Damage	攻擊	24.00%	25.97%	27.94%	30.70%	32.66%	34.93%	38.08%	41.22%	44.37%	47.72%	0.75	2.40	1.00	0.24	Basic						2.40		0.75						
普攻	第四段傷害-1	常態攻擊	5	氣動	Damage	攻擊	25.34%	27.42%	29.49%	32.40%	34.48%	36.87%	40.19%	43.51%	46.84%	50.37%	0.79	2.53	1.00	0.25	Basic						2.53		0.79						
普攻		常態攻擊	6	氣動	Damage	攻擊	25.34%	27.42%	29.49%	32.40%	34.48%	36.87%	40.19%	43.51%	46.84%	50.37%	0.79	2.53	1.00	0.25	Basic						2.53		0.79						
普攻	第五段傷害-1	常態攻擊	7	氣動	Damage	攻擊	90.40%	97.82%	105.23%	115.61%	123.02%	131.55%	143.41%	155.27%	167.13%	179.73%	2.82	9.04	1.00	0.90	Basic						9.04		2.82						
普攻		常態攻擊	8	氣動	Damage	攻擊	90.40%	97.82%	105.23%	115.61%	123.02%	131.55%	143.41%	155.27%	167.13%	179.73%	2.82	9.04	1.00	0.90	Basic						9.04		2.82						
普攻		常態攻擊	9	氣動	Damage	攻擊	22.60%	24.46%	26.31%	28.91%	30.76%	32.89%	35.86%	38.82%	41.79%	44.94%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
普攻		常態攻擊	10	氣動	Damage	攻擊	22.60%	24.46%	26.31%	28.91%	30.76%	32.89%	35.86%	38.82%	41.79%	44.94%	0.00	0.00	1.00	0.00	Basic						0.00		0.00						
