技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	氣動	Damage	攻擊	22.50%	24.34%	26.18%	28.77%	30.61%	32.73%	35.69%	38.64%	41.59%	44.73%	0.75	2.40	1.00	0.3000		Basic						2.40		0.75						
普攻		第二段傷害-1	常態攻擊	2	氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.36%	40.82%	43.65%	47.58%	51.52%	55.46%	59.64%	1.00	3.20	1.00	0.4000		Basic						3.20		1.00						
普攻		第三段傷害-1	常態攻擊	3	氣動	Damage	攻擊	23.55%	25.48%	27.41%	30.11%	32.04%	34.26%	37.35%	40.44%	43.53%	46.81%	0.78	2.51	1.00	0.3140		Basic						2.51		0.78						
普攻		第四段傷害-1	常態攻擊	4	氣動	Damage	攻擊	29.86%	32.31%	34.76%	38.19%	40.64%	43.45%	47.37%	51.29%	55.20%	59.36%	1.00	3.18	1.00	0.3981		Basic						3.18		1.00						
普攻		第四段傷害-2	常態攻擊	5	氣動	Damage	攻擊	39.81%	43.07%	46.33%	50.90%	54.17%	57.92%	63.15%	68.37%	73.59%	79.14%	1.32	4.24	1.00	0.5308		Basic						4.24		1.32						
重擊		重擊傷害-1	常態攻擊	6	氣動	Damage	攻擊	10.00%	10.82%	11.64%	12.78%	13.60%	14.55%	15.86%	17.17%	18.48%	19.88%	0.33	1.06	1.00	0.1333		Heavy						1.06		0.33						
重擊		風吟傷害-1	常態攻擊	7	氣動	Damage	攻擊	53.62%	58.02%	62.41%	68.57%	72.97%	78.02%	85.06%	92.10%	99.13%	106.61%	1.78	5.72	1.00	0.7150		Heavy						5.72		1.78						
普攻		空中攻擊傷害-1	常態攻擊	8	氣動	Damage	攻擊	46.50%	50.31%	54.12%	59.46%	63.27%	67.66%	73.76%	79.86%	85.96%	92.44%	0.51	1.00	1.00	0.6200		Basic						1.00		0.51						
重擊		閃避反擊傷害-1	常態攻擊	9	氣動	Damage	攻擊	43.80%	47.39%	50.98%	56.01%	59.60%	63.73%	69.47%	75.22%	80.97%	87.07%	1.36	1.98	1.00	0.7500		Heavy						1.98		1.36						
普攻			常態攻擊	10	氣動	Damage	攻擊	114.80%	124.18%	133.56%	146.78%	156.17%	167.01%	182.08%	197.14%	212.21%	228.21%	2.12	15.40	1.00	0.8505		Basic						15.40		2.12						
普攻			常態攻擊	11	氣動	Damage	攻擊	165.82%	179.37%	192.93%	212.02%	225.58%	241.23%	263.00%	284.76%	306.53%	329.63%	2.12	15.40	1.00	0.8505		Basic						15.40		2.12						
普攻			常態攻擊	12	氣動	Damage	攻擊	216.85%	234.57%	252.30%	277.27%	295.00%	315.47%	343.93%	372.40%	400.86%	431.07%	2.12	15.40	1.00	0.8505		Basic						15.40		2.12						
普攻			常態攻擊	13	氣動	Damage	攻擊	267.87%	289.76%	311.66%	342.50%	364.40%	389.69%	424.86%	460.02%	495.18%	532.50%	2.12	15.40	1.00	0.8505		Basic						15.40		2.12						
普攻		第一段傷害	常態攻擊		氣動	Damage	攻擊	22.50%	24.34%	26.18%	28.77%	30.61%	32.73%	35.69%	38.64%	41.59%	44.73%	0.75	2.40	1.00	0.3000		Basic						2.40		0.75						
普攻		第二段傷害	常態攻擊		氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.36%	40.82%	43.65%	47.58%	51.52%	55.46%	59.64%	1.00	3.20	1.00	0.4000		Basic						3.20		1.00						
普攻		第三段傷害	常態攻擊		氣動	Damage	攻擊	47.10%	50.96%	54.82%	60.22%	64.08%	68.52%	74.70%	80.88%	87.06%	93.62%	1.56	5.02	2.00	0.6280		Basic						5.02		1.56						
普攻		第四段傷害	常態攻擊		氣動	Damage	攻擊	99.53%	107.69%	115.85%	127.28%	135.45%	144.82%	157.89%	170.95%	183.99%	197.86%	3.32	10.60	3.00	1.3270		Basic						10.60		3.32						
重擊		重擊傷害	常態攻擊		氣動	Damage	攻擊	30.00%	32.46%	34.92%	38.34%	40.80%	43.65%	47.58%	51.51%	55.44%	59.64%	0.99	3.18	3.00	0.3999		Heavy			25.00			3.18		0.99						
普攻		空中攻擊傷害	常態攻擊		氣動	Damage	攻擊	46.50%	50.31%	54.12%	59.46%	63.27%	67.66%	73.76%	79.86%	85.96%	92.44%	0.51	1.00	1.00	0.6200		Basic			30.00			1.00		0.51						
重擊		風吟傷害	常態攻擊		氣動	Damage	攻擊	53.62%	58.02%	62.41%	68.57%	72.97%	78.02%	85.06%	92.10%	99.13%	106.61%	1.78	5.72	1.00	0.7150		Heavy						5.72		1.78						
重擊		閃避反擊傷害	常態攻擊		氣動	Damage	攻擊	87.60%	94.78%	101.96%	112.02%	119.20%	127.46%	138.94%	150.44%	161.94%	174.14%	2.72	3.96	2.00	1.5000		Heavy						3.96		2.72						
共鳴技能		流風載域-1	共鳴技能	1	氣動	Damage	攻擊	17.37%	18.79%	20.21%	22.21%	23.63%	25.27%	27.55%	29.83%	32.11%	34.53%	1.18	0.00	1.00	0.2000		Skill						0.00		1.18						
共鳴技能		流風載域-2	共鳴技能	2	氣動	Damage	攻擊	104.22%	112.76%	121.31%	133.27%	141.82%	151.65%	165.32%	178.99%	192.67%	207.19%	7.10	0.00	1.00	1.2000		Skill						0.00		7.10						
共鳴技能			共鳴技能	3	氣動	Damage	攻擊	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	1.18	0.50	1.00	0.2000		Skill						0.50		1.18						
共鳴技能			共鳴技能	4	氣動	Damage	攻擊	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	7.10	3.00	1.00	1.2000		Skill						3.00		7.10						
共鳴技能			共鳴技能	5	氣動	Damage	攻擊	35.00%	35.00%	35.00%	35.00%	35.00%	35.00%	35.00%	35.00%	35.00%	35.00%	1.18	0.50	1.00	0.2000		Skill						0.50		1.18						
共鳴技能			共鳴技能	6	氣動	Damage	攻擊	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	200.00%	7.10	3.00	1.00	1.2000		Skill						3.00		7.10						
共鳴技能			共鳴技能	7	氣動	Damage	攻擊	52.10%	56.34%	60.60%	66.60%	70.86%	75.78%	82.62%	89.46%	96.30%	103.56%	1.18	1.00	1.00	0.2000		Skill						1.00		1.18						
共鳴技能			共鳴技能	8	氣動	Damage	攻擊	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	1.18	0.50	1.00	0.2000		Skill						0.50		1.18						
共鳴技能			共鳴技能	9	氣動	Damage	攻擊	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	7.10	3.00	1.00	1.2000		Skill						3.00		7.10						
共鳴技能			共鳴技能	10	氣動	Damage	攻擊	52.50%	52.50%	52.50%	52.50%	52.50%	52.50%	52.50%	52.50%	52.50%	52.50%	1.18	0.50	1.00	0.2000		Skill						0.50		1.18						
共鳴技能			共鳴技能	11	氣動	Damage	攻擊	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	300.00%	7.10	3.00	1.00	1.2000		Skill						3.00		7.10						
共鳴技能			共鳴技能	12	氣動	Damage	攻擊	39.07%	42.26%	45.45%	49.95%	53.15%	56.83%	61.96%	67.09%	72.22%	77.66%	0.00	1.00	1.00	0.2000		Skill						1.00		0.00						
共鳴技能			共鳴技能	13	氣動	Damage	攻擊	26.05%	28.17%	30.30%	33.30%	35.43%	37.89%	41.31%	44.73%	48.15%	51.78%	1.18	0.00	1.00	0.2000		Skill						0.00		1.18						
共鳴技能			共鳴技能	14	氣動	Damage	攻擊	156.33%	169.10%	181.88%	199.88%	212.66%	227.42%	247.95%	268.47%	288.99%	310.76%	7.10	0.00	1.00	1.2000		Skill						0.00		7.10						
共鳴技能		流風載域	共鳴技能		氣動	Damage	攻擊	173.70%	187.92%	202.15%	222.11%	236.34%	252.73%	275.52%	298.31%	321.11%	345.31%	11.82	0.00	5.00	2.0000		Skill						15.00		11.82		10				
