技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	衍射	Damage	攻擊	19.04%	20.61%	22.17%	24.35%	25.91%	27.71%	30.21%	32.70%	35.20%	37.86%	0.95	3.04	1.00	0.3047		Basic						3.04		0.95						
普攻		第二段傷害-1	常態攻擊	2	衍射	Damage	攻擊	25.73%	27.84%	29.95%	32.91%	35.02%	37.44%	40.82%	44.19%	47.57%	51.16%	1.28	4.11	1.00	0.4117		Basic						4.11		1.28						
普攻		第三段傷害-1	常態攻擊	3	衍射	Damage	攻擊	12.87%	13.92%	14.98%	16.46%	17.51%	18.72%	20.41%	22.10%	23.79%	25.58%	0.64	2.05	1.00	0.2059		Basic						2.05		0.64						
普攻		第四段傷害-1	常態攻擊	4	衍射	Damage	攻擊	33.86%	36.64%	39.42%	43.30%	46.08%	49.27%	53.72%	58.16%	62.60%	67.32%	1.69	5.41	1.00	0.5418		Basic						5.41		1.69						
普攻		第五段傷害-1	常態攻擊	5	衍射	Damage	攻擊	36.03%	38.98%	41.93%	46.07%	49.02%	52.42%	57.14%	61.87%	66.60%	71.62%	1.80	5.76	1.00	0.5764		Basic						5.76		1.80						
普攻		閃避反擊傷害-1	常態攻擊	6	衍射	Damage	攻擊	65.00%	70.33%	75.66%	83.13%	88.46%	94.59%	103.11%	111.64%	120.17%	129.23%	3.25	5.60	1.00	1.5000		Basic						5.60		3.25						
普攻		空中攻擊第一段傷害-1	常態攻擊	7	衍射	Damage	攻擊	28.35%	30.68%	33.00%	36.26%	38.58%	41.26%	44.98%	48.70%	52.42%	56.37%	1.41	4.53	1.00	0.4536		Basic						4.53		1.41						
普攻		空中攻擊第二段傷害-1	常態攻擊	8	衍射	Damage	攻擊	26.75%	28.95%	31.14%	34.21%	36.41%	38.93%	42.44%	45.95%	49.46%	53.19%	1.33	4.28	1.00	0.4280		Basic						4.28		1.33						
普攻		空中攻擊第三段傷害-1	常態攻擊	9	衍射	Damage	攻擊	12.79%	13.84%	14.88%	16.35%	17.40%	18.61%	20.28%	21.96%	23.64%	25.42%	0.63	2.04	1.00	0.2046		Basic						2.04		0.63						
重擊		空中重擊傷害-1	常態攻擊	10	衍射	Damage	攻擊	31.00%	33.55%	36.09%	39.65%	42.19%	45.11%	49.18%	53.25%	57.31%	61.64%	0.51	1.00	1.00	0.4960		Heavy						1.00		0.51						
