技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	熱熔	Damage	攻擊	24.29%	26.29%	28.28%	31.07%	33.06%	35.35%	38.54%	41.72%	44.91%	48.30%	0.86	2.77	1.00	0.2776		Basic						2.77		0.86						
普攻		第二段傷害-1	常態攻擊	2	熱熔	Damage	攻擊	20.51%	22.20%	23.88%	26.23%	27.92%	29.85%	32.54%	35.23%	37.92%	40.78%	0.73	2.34	1.00	0.2344		Basic						2.34		0.73						
普攻		第二段傷害-2	常態攻擊	3	熱熔	Damage	攻擊	20.51%	22.20%	23.88%	26.23%	27.92%	29.85%	32.54%	35.23%	37.92%	40.78%	0.73	2.34	1.00	0.2344		Basic						2.34		0.73						
普攻		第三段傷害-1	常態攻擊	4	熱熔	Damage	攻擊	53.97%	58.40%	62.83%	69.02%	73.45%	78.54%	85.62%	92.70%	99.78%	107.30%	1.92	6.16	1.00	0.6168		Basic						6.16		1.92						
普攻		第四段傷害-1	常態攻擊	5	熱熔	Damage	攻擊	10.57%	11.44%	12.31%	13.52%	14.39%	15.39%	16.77%	18.16%	19.55%	21.02%	0.37	1.20	1.00	0.1208		Basic						1.20		0.37						
普攻		第四段傷害-2	常態攻擊	6	熱熔	Damage	攻擊	10.57%	11.44%	12.31%	13.52%	14.39%	15.39%	16.77%	18.16%	19.55%	21.02%	0.37	1.20	1.00	0.1208		Basic						1.20		0.37						
普攻		第四段傷害-3	常態攻擊	7	熱熔	Damage	攻擊	10.57%	11.44%	12.31%	13.52%	14.39%	15.39%	16.77%	18.16%	19.55%	21.02%	0.37	1.20	1.00	0.1208		Basic						1.20		0.37						
普攻		第四段傷害-4	常態攻擊	8	熱熔	Damage	攻擊	10.57%	11.44%	12.31%	13.52%	14.39%	15.39%	16.77%	18.16%	19.55%	21.02%	0.37	1.20	1.00	0.1208		Basic						1.20		0.37						
普攻		第四段傷害-5	常態攻擊	9	熱熔	Damage	攻擊	63.84%	69.08%	74.31%	81.64%	86.88%	92.90%	101.27%	109.65%	118.03%	126.93%	2.28	7.29	1.00	0.7296		Basic						7.29		2.28						
普攻		空中攻擊第一段傷害-1	常態攻擊	10	熱熔	Damage	攻擊	11.69%	12.65%	13.61%	14.95%	15.91%	17.02%	18.55%	20.08%	21.62%	23.25%	0.41	1.00	1.00	0.1336		Basic						1.00		0.41						
普攻		空中攻擊第二段傷害-2	常態攻擊	11	熱熔	Damage	攻擊	11.69%	12.65%	13.61%	14.95%	15.91%	17.02%	18.55%	20.08%	21.62%	23.25%	0.41	1.00	1.00	0.1336		Basic						1.00		0.41						
重擊		瞄準傷害-1	常態攻擊	12	熱熔	Damage	攻擊	49.14%	53.17%	57.20%	62.85%	66.87%	71.51%	77.96%	84.40%	90.85%	97.70%	1.40	4.49	1.00	0.0300		Heavy						4.49		1.40						
重擊		瞄準完全蓄力傷害-1	常態攻擊	13	熱熔	Damage	攻擊	84.00%	90.89%	97.78%	107.42%	114.31%	122.23%	133.25%	144.27%	155.30%	167.01%	2.40	7.68	1.00	0.9600		Heavy						7.68		2.40						
普攻		閃避反擊傷害-1	常態攻擊	14	熱熔	Damage	攻擊	98.07%	106.12%	114.16%	125.42%	133.46%	142.71%	155.57%	168.44%	181.31%	194.98%	3.50	6.40	1.00	1.5000		Basic						6.40		3.50						
普攻		第一段傷害	常態攻擊		熱熔	Damage	攻擊	24.29%	26.29%	28.28%	31.07%	33.06%	35.35%	38.54%	41.72%	44.91%	48.30%	0.86	2.77	1.00	0.2776		Basic						2.77		0.86						
普攻		第二段傷害	常態攻擊		熱熔	Damage	攻擊	41.02%	44.40%	47.76%	52.46%	55.84%	59.70%	65.08%	70.46%	75.84%	81.56%	1.46	4.68	2.00	0.4688		Basic						4.68		1.46						
普攻		第三段傷害	常態攻擊		熱熔	Damage	攻擊	53.97%	58.40%	62.83%	69.02%	73.45%	78.54%	85.62%	92.70%	99.78%	107.30%	1.92	6.16	1.00	0.6168		Basic						6.16		1.92						
普攻		第四段傷害	常態攻擊		熱熔	Damage	攻擊	106.12%	114.84%	123.55%	135.72%	144.44%	154.46%	168.35%	182.29%	196.23%	211.01%	3.76	12.09	5.00	1.2128		Basic						12.09		3.76						
重擊		瞄準傷害	常態攻擊		熱熔	Damage	攻擊	49.14%	53.17%	57.20%	62.85%	66.87%	71.51%	77.96%	84.40%	90.85%	97.70%	1.40	4.49	1.00	0.0300		Heavy						4.49		1.40						
重擊		瞄準完全蓄力傷害	常態攻擊		熱熔	Damage	攻擊	84.00%	90.89%	97.78%	107.42%	114.31%	122.23%	133.25%	144.27%	155.30%	167.01%	2.40	7.68	1.00	0.9600		Heavy						7.68		2.40						
普攻		空中攻擊第一段傷害	常態攻擊		熱熔	Damage	攻擊	11.69%	12.65%	13.61%	14.95%	15.91%	17.02%	18.55%	20.08%	21.62%	23.25%	0.41	1.00	1.00	0.1336		Basic			5.00			1.00		0.41						
普攻		空中攻擊第二段傷害	常態攻擊		熱熔	Damage	攻擊	11.69%	12.65%	13.61%	14.95%	15.91%	17.02%	18.55%	20.08%	21.62%	23.25%	0.41	1.00	1.00	0.1336		Basic			5.00			1.00		0.41						
普攻		閃避反擊傷害	常態攻擊		熱熔	Damage	攻擊	98.07%	106.12%	114.16%	125.42%	133.46%	142.71%	155.57%	168.44%	181.31%	194.98%	3.50	6.40	1.00	1.5000		Basic						6.40		3.50						
共鳴技能		激昂變奏-1	共鳴技能	1	熱熔	Damage	攻擊	105.00%	113.61%	122.22%	134.28%	142.89%	152.79%	166.57%	180.34%	194.12%	208.76%	10.00	0.00	1.00	2.0000		Skill						0.00		10.00						
共鳴技能		激昂變奏	共鳴技能		熱熔	Damage	攻擊	105.00%	113.61%	122.22%	134.28%	142.89%	152.79%	166.57%	180.34%	194.12%	208.76%	10.00	0.00	1.00	2.0000		Skill						0.00		10.00						
共鳴解放		暴烈終曲傷害-1	共鳴解放	1	熱熔	Damage	攻擊	80.00%	86.56%	93.12%	102.31%	108.87%	116.41%	126.91%	137.40%	147.90%	159.05%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放		加強音傷害-1	共鳴解放	2	熱熔	Damage	攻擊	16.00%	17.32%	18.63%	20.47%	21.78%	23.29%	25.39%	27.48%	29.58%	31.81%	0.00	0.00	1.00	0.1000	1	Liberation						0.00		0.00						
共鳴解放		暴烈終曲傷害	共鳴解放		熱熔	Damage	攻擊	80.00%	86.56%	93.12%	102.31%	108.87%	116.41%	126.91%	137.40%	147.90%	159.05%	0.00	0.00	1.00	4.0000		Liberation						20.00		0.00	125	20	10			
共鳴解放		加強音傷害	共鳴解放		熱熔	Damage	攻擊	16.00%	17.32%	18.63%	20.47%	21.78%	23.29%	25.39%	27.48%	29.58%	31.81%	0.00	0.00	1.00	0.1000	1	Liberation						0.00		0.00						
		暴烈終曲																											20.00			125	20	10			
變奏		不協和音-1	變奏技能	1	熱熔	Damage	攻擊	85.00%	91.97%	98.94%	108.70%	115.67%	123.69%	134.84%	145.99%	157.14%	168.99%	10.00	0.00	1.00	0.8000		Intro						0.00		10.00						
變奏		不協和音			熱熔	Damage	攻擊	85.00%	91.97%	98.94%	108.70%	115.67%	123.69%	134.84%	145.99%	157.14%	168.99%	10.00	0.00	1.00	0.8000		Intro						10.00		10.00						
共鳴技能		怒火賦格傷害-1	共鳴回路	1	熱熔	Damage	攻擊	164.00%	177.45%	190.90%	209.73%	223.18%	238.64%	260.16%	281.67%	303.19%	326.05%	10.00	0.00	1.00	2.0000		Skill						0.00		10.00						
共鳴技能		怒火賦格傷害	共鳴回路		熱熔	Damage	攻擊	164.00%	177.45%	190.90%	209.73%	223.18%	238.64%	260.16%	281.67%	303.19%	326.05%	10.00	0.00	1.00	2.0000		Skill						18.00		10.00						
