技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	衍射	Damage	攻擊	14.85%	16.07%	17.29%	19.00%	20.21%	21.61%	23.56%	25.51%	27.46%	29.53%	1.00	1.99	1.00	0.3184		Basic						1.99		1.00						
普攻	第二段傷害-1	常態攻擊	2	衍射	Damage	攻擊	11.25%	12.18%	13.10%	14.39%	15.31%	16.37%	17.85%	19.33%	20.80%	22.37%	0.60	1.20	1.00	0.1920		Basic						1.20		0.60						
普攻	第二段傷害-2	常態攻擊	3	衍射	Damage	攻擊	13.75%	14.88%	16.01%	17.59%	18.72%	20.01%	21.82%	23.62%	25.42%	27.34%	0.74	1.47	1.00	0.2347		Basic						1.47		0.74						
普攻	第三段傷害-1	常態攻擊	4	衍射	Damage	攻擊	7.17%	7.75%	8.34%	9.16%	9.75%	10.43%	11.37%	12.31%	13.25%	14.24%	0.37	0.73	1.00	0.0932		Basic						0.73		0.37						
重擊	重擊傷害-1	常態攻擊	5	衍射	Damage	攻擊	20.80%	22.50%	24.21%	26.60%	28.30%	30.26%	32.99%	35.72%	38.45%	41.35%	0.70	1.39	1.00	0.2218		Heavy						1.39		0.70						
普攻	下落攻擊傷害-1	常態攻擊	6	衍射	Damage	攻擊	23.25%	25.16%	27.07%	29.74%	31.64%	33.84%	36.89%	39.94%	42.99%	46.23%	1.50	3.00	1.00	0.4800		Basic						3.00		1.50						
普攻	閃避反擊傷害-1	常態攻擊	7	衍射	Damage	攻擊	10.86%	11.75%	12.64%	13.89%	14.78%	15.80%	17.22%	18.65%	20.07%	21.58%	0.56	1.11	1.00	0.1164		Basic						1.11		0.56						
普攻	夏彌爾之星·閃避反擊傷害-1	常態攻擊	8	衍射	Damage	攻擊	22.05%	23.86%	25.67%	28.20%	30.01%	32.09%	34.98%	37.88%	40.77%	43.84%	0.74	1.47	1.00	0.1552		Basic						1.47		0.74						
普攻	第一段傷害	常態攻擊		衍射	Damage	攻擊	14.85%	16.07%	17.29%	19.00%	20.21%	21.61%	23.56%	25.51%	27.46%	29.53%	1.00	1.99	1.00	0.3184		Basic						1.99		1.00						
普攻	第二段傷害	常態攻擊		衍射	Damage	攻擊	25.00%	27.06%	29.11%	31.98%	34.03%	36.38%	39.67%	42.95%	46.22%	49.71%	1.34	2.67	2.00	0.4267		Basic						2.67		1.34						
普攻	第三段傷害	常態攻擊		衍射	Damage	攻擊	57.36%	62.00%	66.72%	73.28%	78.00%	83.44%	90.96%	98.48%	106.00%	113.92%	2.96	5.84	8.00	0.7456		Basic						5.84		2.96						
重擊	重擊傷害	常態攻擊		衍射	Damage	攻擊	83.20%	90.00%	96.84%	106.40%	113.20%	121.04%	131.96%	142.88%	153.80%	165.40%	2.80	5.56	4.00	0.8872		Heavy			25.00			5.56		2.80						
普攻	下落攻擊傷害	常態攻擊		衍射	Damage	攻擊	46.50%	50.32%	54.14%	59.48%	63.28%	67.68%	73.78%	79.88%	85.98%	92.46%	3.00	6.00	2.00	0.9600		Basic			20.00			6.00		3.00						
普攻	閃避反擊傷害	常態攻擊		衍射	Damage	攻擊	86.88%	94.00%	101.12%	111.12%	118.24%	126.40%	137.76%	149.20%	160.56%	172.64%	4.48	8.88	8.00	0.9312		Basic						8.88		4.48						
普攻	夏彌爾之星·閃避反擊傷害	常態攻擊		衍射	Damage	攻擊	132.30%	143.16%	154.02%	169.20%	180.06%	192.54%	209.88%	227.28%	244.62%	263.04%	4.44	8.82	6.00	0.9312		Basic						8.82		4.44						
共鳴技能	追尋光芒之所-1	共鳴技能	1	衍射	Damage	攻擊	31.50%	34.09%	36.67%	40.29%	42.87%	45.84%	49.97%	54.11%	58.24%	62.63%	0.57	1.14	1.00	0.3360		Skill						1.14		0.57						
