技能加成種類	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	衍射	Damage	攻擊	29.60%	32.03%	34.46%	37.86%	40.28%	43.08%	46.96%	50.84%	54.73%	58.85%	0.93	1.85	1.00	0.4440		Basic														
普攻	第二段傷害-1	常態攻擊	2	衍射	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.25	2.50	1.00	0.6000		Basic						2.50		1.25						
普攻	第三段傷害-1	常態攻擊	3	衍射	Damage	攻擊	21.34%	23.09%	24.84%	27.29%	29.04%	31.05%	33.85%	36.64%	39.44%	42.42%	0.67	1.34	1.00	0.3200		Basic						1.34		0.67						
普攻		常態攻擊	4	衍射	Damage	攻擊	21.34%	23.09%	24.84%	27.29%	29.04%	31.05%	33.85%	36.64%	39.44%	42.42%	0.67	1.34	1.00	0.3200		Basic						1.34		0.67						
普攻		常態攻擊	5	衍射	Damage	攻擊	21.34%	23.09%	24.84%	27.29%	29.04%	31.05%	33.85%	36.64%	39.44%	42.42%	0.67	1.34	1.00	0.3200		Basic						1.34		0.67						
普攻	第四段傷害-1	常態攻擊	6	衍射	Damage	攻擊	34.00%	36.79%	39.58%	43.48%	46.27%	49.48%	53.94%	58.40%	62.86%	67.60%	1.07	2.13	1.00	0.5100		Basic						2.13		1.07						
普攻		常態攻擊	7	衍射	Damage	攻擊	34.00%	36.79%	39.58%	43.48%	46.27%	49.48%	53.94%	58.40%	62.86%	67.60%	1.07	2.13	1.00	0.5100		Basic						2.13		1.07						
普攻		常態攻擊	8	衍射	Damage	攻擊	34.00%	36.79%	39.58%	43.48%	46.27%	49.48%	53.94%	58.40%	62.86%	67.60%	1.07	2.13	1.00	0.5100		Basic						2.13		1.07						
普攻		常態攻擊	9	衍射	Damage	攻擊	34.00%	36.79%	39.58%	43.48%	46.27%	49.48%	53.94%	58.40%	62.86%	67.60%	1.07	2.13	1.00	0.5100		Basic						2.13		1.07						
普攻	閃避反擊傷害-1	常態攻擊	10	衍射	Damage	攻擊	37.34%	40.40%	43.46%	47.75%	50.81%	54.33%	59.23%	64.12%	69.02%	74.23%	1.17	2.34	1.00	0.5000		Basic						2.34		1.17						
普攻		常態攻擊	11	衍射	Damage	攻擊	37.34%	40.40%	43.46%	47.75%	50.81%	54.33%	59.23%	64.12%	69.02%	74.23%	1.17	2.34	1.00	0.5000		Basic						2.34		1.17						
普攻		常態攻擊	12	衍射	Damage	攻擊	37.34%	40.40%	43.46%	47.75%	50.81%	54.33%	59.23%	64.12%	69.02%	74.23%	1.17	2.34	1.00	0.5000		Basic						2.34		1.17						
普攻		常態攻擊	13	衍射	Damage	攻擊	37.00%	40.04%	43.07%	47.32%	50.35%	53.84%	58.70%	63.55%	68.41%	73.56%	0.93	1.85	1.00	0.4440		Basic						1.85		0.93						
普攻		常態攻擊	14	衍射	Damage	攻擊	50.00%	54.10%	58.20%	63.94%	68.04%	72.76%	79.32%	85.88%	92.44%	99.41%	1.25	2.50	1.00	0.6000		Basic						2.50		1.25						
普攻		常態攻擊	15	衍射	Damage	攻擊	26.67%	28.86%	31.04%	34.11%	36.29%	38.81%	42.31%	45.80%	49.30%	53.02%	0.67	1.34	1.00	0.3200		Basic						1.34		0.67						
普攻		常態攻擊	16	衍射	Damage	攻擊	26.67%	28.86%	31.04%	34.11%	36.29%	38.81%	42.31%	45.80%	49.30%	53.02%	0.67	1.34	1.00	0.3200		Basic						1.34		0.67						
普攻		常態攻擊	17	衍射	Damage	攻擊	26.67%	28.86%	31.04%	34.11%	36.29%	38.81%	42.31%	45.80%	49.30%	53.02%	0.67	1.34	1.00	0.3200		Basic						1.34		0.67						
普攻	突破性進展傷害-1	常態攻擊	18	衍射	Damage	攻擊	30.94%	33.47%	36.01%	39.56%	42.10%	45.02%	49.07%	53.13%	57.19%	61.50%	0.97	1.94	1.00	0.4640		Basic						1.94		0.97						
普攻	突破性進展傷害-2	常態攻擊	19	衍射	Damage	攻擊	8.84%	9.57%	10.29%	11.31%	12.03%	12.87%	14.02%	15.18%	16.34%	17.58%	0.28	0.56	1.00	0.1326		Basic						0.56		0.28						
普攻		常態攻擊	20	衍射	Damage	攻擊	42.50%	45.99%	49.47%	54.35%	57.84%	61.85%	67.42%	73.00%	78.57%	84.50%	1.07	2.13	1.00	0.5100		Basic						2.13		1.07						
普攻		常態攻擊	21	衍射	Damage	攻擊	42.50%	45.99%	49.47%	54.35%	57.84%	61.85%	67.42%	73.00%	78.57%	84.50%	1.07	2.13	1.00	0.5100		Basic						2.13		1.07						
普攻		常態攻擊	22	衍射	Damage	攻擊	42.50%	45.99%	49.47%	54.35%	57.84%	61.85%	67.42%	73.00%	78.57%	84.50%	1.07	2.13	1.00	0.5100		Basic						2.13		1.07						
普攻		常態攻擊	23	衍射	Damage	攻擊	42.50%	45.99%	49.47%	54.35%	57.84%	61.85%	67.42%	73.00%	78.57%	84.50%	1.07	2.13	1.00	0.5100		Basic						2.13		1.07						
重擊	重擊傷害-1	常態攻擊	24	衍射	Damage	攻擊	20.66%	22.36%	24.05%	26.43%	28.12%	30.07%	32.78%	35.49%	38.20%	41.08%	0.65	1.30	1.00	0.3099		Heavy						1.30		0.65						
重擊		常態攻擊	25	衍射	Damage	攻擊	20.66%	22.36%	24.05%	26.43%	28.12%	30.07%	32.78%	35.49%	38.20%	41.08%	0.65	1.30	1.00	0.3099		Heavy						1.30		0.65						
重擊		常態攻擊	26	衍射	Damage	攻擊	20.66%	22.36%	24.05%	26.43%	28.12%	30.07%	32.78%	35.49%	38.20%	41.08%	0.65	1.30	1.00	0.3099		Heavy						1.30		0.65						
普攻	空中攻擊傷害-1	常態攻擊	27	衍射	Damage	攻擊	52.80%	57.13%	61.46%	67.53%	71.86%	76.83%	83.76%	90.69%	97.62%	104.98%	1.65	3.30	1.00	0.7920		Basic						3.30		1.65						
普攻		常態攻擊	28	衍射	Damage	攻擊	38.67%	41.84%	45.01%	49.45%	52.62%	56.27%	61.34%	66.41%	71.49%	76.88%	0.97	1.94	1.00	0.4640		Basic						1.94		0.97						
普攻		常態攻擊	29	衍射	Damage	攻擊	11.05%	11.96%	12.86%	14.13%	15.04%	16.08%	17.53%	18.98%	20.43%	21.97%	0.28	0.56	1.00	0.1326		Basic						0.56		0.28						
普攻	第一段傷害	常態攻擊		衍射	Damage	攻擊	29.60%	32.03%	34.46%	37.86%	40.28%	43.08%	46.96%	50.84%	54.73%	58.85%	0.93	1.85	1.00	0.4440		Basic						1.85		0.93						
普攻	第二段傷害	常態攻擊		衍射	Damage	攻擊	40.00%	43.28%	46.56%	51.16%	54.44%	58.21%	63.46%	68.70%	73.95%	79.53%	1.25	2.50	1.00	0.6000		Basic						2.50		1.25						
普攻	第三段傷害	常態攻擊		衍射	Damage	攻擊	64.02%	69.27%	74.52%	81.87%	87.12%	93.15%	101.55%	109.92%	118.32%	127.26%	2.01	4.02	3.00	0.9600		Basic						4.02		2.01						
普攻	第四段傷害	常態攻擊		衍射	Damage	攻擊	136.00%	147.16%	158.32%	173.92%	185.08%	197.92%	215.76%	233.60%	251.44%	270.40%	4.28	8.52	4.00	2.0400		Basic						8.52		4.28						
普攻	突破性進展傷害	常態攻擊		衍射	Damage	攻擊	92.82%	100.46%	108.04%	118.73%	126.31%	135.11%	147.21%	159.39%	171.57%	184.56%	2.93	5.86	8.00	1.3922		Basic						5.86		2.93						
重擊	重擊傷害	常態攻擊		衍射	Damage	攻擊	82.64%	89.44%	96.20%	105.72%	112.48%	120.28%	131.12%	141.96%	152.80%	164.32%	2.60	5.20	4.00	1.2396		Heavy			20.00			5.20		2.60						
普攻	空中攻擊傷害	常態攻擊		衍射	Damage	攻擊	52.80%	57.13%	61.46%	67.53%	71.86%	76.83%	83.76%	90.69%	97.62%	104.98%	1.65	3.30	1.00	0.7920		Basic			30.00			3.30		1.65						
普攻	閃避反擊傷害	常態攻擊		衍射	Damage	攻擊	112.02%	121.20%	130.38%	143.25%	152.43%	162.99%	177.69%	192.36%	207.06%	222.69%	3.51	7.02	3.00	1.5000		Basic						7.02		3.51						
共鳴技能	標準防衛預案傷害-1	共鳴技能	1	衍射	Damage	攻擊	32.16%	34.80%	37.44%	41.13%	43.77%	46.80%	51.02%	55.24%	59.46%	63.94%	5.67	0.00	1.00	2.0000		Skill						0.00		5.67						
共鳴技能	精準反擊傷害-1	共鳴技能	2	衍射	Damage	攻擊	30.68%	33.20%	35.72%	39.24%	41.75%	44.65%	48.67%	52.70%	56.72%	61.00%	0.98	0.00	1.00	0.6667		Skill						0.00		0.98						
共鳴技能	精準反擊傷害-2	共鳴技能	3	衍射	Damage	攻擊	61.36%	66.40%	71.43%	78.47%	83.50%	89.29%	97.34%	105.39%	113.44%	121.99%	1.95	0.00	1.00	1.3334		Skill						0.00		1.95						
共鳴技能		共鳴技能	4	衍射	Damage	攻擊	48.00%	51.94%	55.88%	61.39%	65.32%	69.85%	76.15%	82.44%	88.74%	95.43%	1.00	0.00	1.00	2.0000		Skill						0.00		1.00						
共鳴技能	集中壓制傷害-1	共鳴技能	5	衍射	Damage	攻擊	43.35%	46.91%	50.46%	55.44%	59.00%	63.08%	68.77%	74.46%	80.15%	86.19%	1.74	3.00	1.00	0.6000		Skill						3.00		1.74						
共鳴技能	集中壓制傷害-3	共鳴技能	6	衍射	Damage	攻擊	86.70%	93.81%	100.92%	110.88%	117.99%	126.16%	137.54%	148.91%	160.29%	172.37%	3.47	6.00	1.00	1.2000		Skill						6.00		3.47						
共鳴技能	集中壓制傷害-2	共鳴技能	7	衍射	Damage	攻擊	14.45%	15.64%	16.82%	18.48%	19.67%	21.03%	22.93%	24.82%	26.72%	28.73%	0.58	1.00	1.00	0.2000		Skill						1.00		0.58						
共鳴技能		共鳴技能	8	衍射	Damage	攻擊	78.03%	84.43%	90.83%	99.79%	106.19%	113.55%	123.78%	134.02%	144.26%	155.14%	1.74	3.00	1.00	0.6000		Skill						3.00		1.74						
共鳴技能		共鳴技能	9	衍射	Damage	攻擊	156.06%	168.86%	181.66%	199.57%	212.37%	227.09%	247.56%	268.04%	288.51%	310.27%	3.47	6.00	1.00	1.2000		Skill						6.00		3.47						
共鳴技能		共鳴技能	10	衍射	Damage	攻擊	26.01%	28.15%	30.28%	33.27%	35.40%	37.85%	41.26%	44.68%	48.09%	51.72%	0.58	1.00	1.00	0.2000		Skill						1.00		0.58						
共鳴技能	標準防衛預案傷害	共鳴技能		衍射	Damage	攻擊	32.16%	34.80%	37.44%	41.13%	43.77%	46.80%	51.02%	55.24%	59.46%	63.94%	5.67	0.00	1.00	2.0000		Skill						5.00		5.67		5				
共鳴技能	精準反擊傷害	共鳴技能		衍射	Damage	攻擊	92.04%	99.60%	107.15%	117.71%	125.25%	133.94%	146.01%	158.09%	170.16%	182.99%	2.93	0.00	2.00	2.0001		Skill						5.00		2.93						
共鳴技能	集中壓制傷害	共鳴技能		衍射	Damage	攻擊	144.50%	156.36%	168.20%	184.80%	196.66%	210.27%	229.24%	248.19%	267.16%	287.29%	5.79	10.00	3.00	2.0000		Skill						10.00		5.79						
共鳴技能	破襲反擊傷害	共鳴技能		衍射	Damage	攻擊	144.50%	156.36%	168.20%	184.80%	196.66%	210.27%	229.24%	248.19%	267.16%	287.29%	5.79	10.00	3.00	2.0000		Skill						10.00		5.79						
共鳴解放	重燃傷害-1	共鳴解放	1	衍射	Damage	攻擊	160.22%	173.35%	186.49%	204.88%	218.02%	233.13%	254.15%	275.17%	296.19%	318.52%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放	終絕將至之刻傷害-1	共鳴解放	2	衍射	Damage	攻擊	96.13%	104.01%	111.90%	122.93%	130.81%	139.88%	152.49%	165.10%	177.72%	191.12%	0.00	0.00	1.00	0.6000		Liberation						0.00		0.00						
共鳴解放	終絕將至之刻傷害-2	共鳴解放	3	衍射	Damage	攻擊	544.73%	589.39%	634.06%	696.59%	741.26%	792.63%	864.10%	935.56%	1007.03%	1082.96%	0.00	0.00	1.00	3.4000		Liberation						0.00		0.00						
共鳴解放		共鳴解放	4	衍射	Damage	攻擊	352.47%	381.37%	410.28%	450.74%	479.64%	512.88%	559.12%	605.37%	651.61%	700.74%	0.00	0.00	1.00	4.0000		Liberation						0.00		0.00						
共鳴解放	重燃傷害	共鳴解放		衍射	Damage	攻擊	160.22%	173.35%	186.49%	204.88%	218.02%	233.13%	254.15%	275.17%	296.19%	318.52%	0.00	0.00	1.00	4.0000		Liberation						20.00		0.00	125	25	20			
共鳴解放	終絕將至之刻傷害	共鳴解放		衍射	Damage	攻擊	640.86%	693.40%	745.96%	819.52%	872.07%	932.51%	1016.59%	1100.66%	1184.75%	1274.08%	0.00	0.00	2.00	4.0000		Liberation						10.00		0.00						
變奏	即刻執行-1	變奏技能	1	衍射	Damage	攻擊	12.20%	13.20%	14.20%	15.60%	16.60%	17.75%	19.35%	20.94%	22.54%	24.24%	1.20	0.00	1.00	0.1829		Intro						0.00		1.20						
變奏		變奏技能	2	衍射	Damage	攻擊	12.20%	13.20%	14.20%	15.60%	16.60%	17.75%	19.35%	20.94%	22.54%	24.24%	1.20	0.00	1.00	0.1829		Intro						0.00		1.20						
變奏	即刻執行-2	變奏技能	3	衍射	Damage	攻擊	40.64%	43.98%	47.31%	51.98%	55.31%	59.14%	64.47%	69.80%	75.14%	80.80%	4.00	0.00	1.00	0.6096		Intro						0.00		4.00						
變奏	即刻執行	變奏技能		衍射	Damage	攻擊	101.64%	109.98%	118.31%	129.98%	138.31%	147.89%	161.22%	174.50%	187.84%	202.00%	10.00	0.00	6.00	1.5241		Intro						0.00		10.00						
延奏	來日道標-1	延奏技能	1	衍射	Damage	攻擊	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	0.00	0.00	1.00	0.0000		Outro						0.00		0.00						
延奏	來日道標	延奏技能		衍射	Damage	攻擊	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	150.00%	0.00	0.00	1.00	0.0000		Outro						0.00		0.00						
