技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	冷凝	Damage	攻擊	23.83%	25.79%	27.74%	30.48%	32.43%	34.68%	37.80%	40.93%	44.05%	47.38%	1.03	3.28	1.00	0.4100		Basic						3.28		1.03						
普攻		第二段傷害-1	常態攻擊	2	冷凝	Damage	攻擊	16.05%	17.37%	18.69%	20.53%	21.84%	23.36%	25.46%	27.57%	29.67%	31.91%	0.70	2.21	1.00	0.2762		Basic						2.21		0.70						
普攻		第二段傷害-2	常態攻擊	3	冷凝	Damage	攻擊	29.81%	32.25%	34.70%	38.12%	40.56%	43.37%	47.28%	51.19%	55.10%	59.26%	1.29	4.11	1.00	0.5129		Basic						4.11		1.29						
普攻		第三段傷害-1	常態攻擊	4	冷凝	Damage	攻擊	19.15%	20.72%	22.29%	24.49%	26.06%	27.86%	30.37%	32.88%	35.40%	38.06%	0.83	2.64	1.00	0.3294		Basic						2.64		0.83						
普攻		第三段傷害-2	常態攻擊	5	冷凝	Damage	攻擊	23.40%	25.32%	27.24%	29.93%	31.84%	34.05%	37.12%	40.19%	43.26%	46.52%	1.01	3.23	1.00	0.4026		Basic						3.23		1.01						
普攻		第四段傷害-1	常態攻擊	6	冷凝	Damage	攻擊	58.53%	63.33%	68.13%	74.84%	79.64%	85.16%	92.84%	100.52%	108.20%	116.35%	2.52	8.06	1.00	1.0070		Basic						8.06		2.52						
重擊		重擊·落霜墜傷害-1	常態攻擊	7	冷凝	Damage	攻擊	7.27%	7.87%	8.46%	9.29%	9.89%	10.58%	11.53%	12.48%	13.43%	14.45%	0.00	0.80	1.00	0.1000		Heavy						0.80		0.00						
普攻		空中攻擊傷害-1	常態攻擊	8	冷凝	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.52	1.00	1.00	0.6200		Basic						1.00		0.52						
普攻		閃避反擊傷害-1	常態攻擊	9	冷凝	Damage	攻擊	14.53%	15.73%	16.92%	18.58%	19.78%	21.15%	23.05%	24.96%	26.86%	28.89%	0.50	1.60	1.00	0.2500		Basic						1.60		0.50						
普攻		第一段傷害	常態攻擊		冷凝	Damage	攻擊	23.83%	25.79%	27.74%	30.48%	32.43%	34.68%	37.80%	40.93%	44.05%	47.38%	1.03	3.28	1.00	0.4100		Basic						3.28		1.03						
普攻		第二段傷害	常態攻擊		冷凝	Damage	攻擊	45.86%	49.62%	53.39%	58.65%	62.40%	66.73%	72.74%	78.76%	84.77%	91.17%	1.99	6.32	2.00	0.7891		Basic						6.32		1.99						
普攻		第三段傷害	常態攻擊		冷凝	Damage	攻擊	42.55%	46.04%	49.53%	54.42%	57.90%	61.91%	67.49%	73.07%	78.66%	84.58%	1.84	5.87	2.00	0.7320		Basic						5.87		1.84						
普攻		第四段傷害	常態攻擊		冷凝	Damage	攻擊	58.53%	63.33%	68.13%	74.84%	79.64%	85.16%	92.84%	100.52%	108.20%	116.35%	2.52	8.06	1.00	1.0070		Basic						8.06		2.52						
重擊		重擊·落霜墜傷害	常態攻擊		冷凝	Damage	攻擊	43.62%	47.22%	50.76%	55.74%	59.34%	63.48%	69.18%	74.88%	80.58%	86.70%	0.00	4.80	6.00	0.6000		Heavy						4.80		0.00						
普攻		空中攻擊傷害	常態攻擊		冷凝	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.52	1.00	1.00	0.6200		Basic			30.00			1.00		0.52						
普攻		閃避反擊傷害	常態攻擊		冷凝	Damage	攻擊	87.18%	94.38%	101.52%	111.48%	118.68%	126.90%	138.30%	149.76%	161.16%	173.34%	3.00	9.60	6.00	1.5000		Basic						9.60		3.00						
共鳴技能		匣中問禎傷害-1	共鳴技能	1	冷凝	Damage	攻擊	78.70%	85.16%	91.61%	100.64%	107.10%	114.52%	124.84%	135.17%	145.49%	156.46%	8.00	0.00	1.00	2.0000		Skill						0.00		8.00						
共鳴技能			共鳴技能	2	冷凝	Damage	攻擊	58.27%	63.05%	67.83%	74.52%	79.29%	84.79%	92.43%	100.08%	107.72%	115.85%	3.00	0.00	1.00	2.0000		Skill						0.00		3.00						
共鳴技能		編鐘傷害-1	共鳴技能	3	冷凝	Damage	攻擊	20.65%	22.34%	24.04%	26.41%	28.10%	30.05%	32.76%	35.46%	38.17%	41.05%	0.70	0.00	1.50	0.2800		Skill						0.00		0.70						
共鳴技能		編鐘傷害-2	共鳴技能	4	冷凝	Damage	攻擊	25.07%	27.13%	29.19%	32.06%	34.12%	36.48%	39.77%	43.06%	46.35%	49.85%	0.85	0.00	1.50	0.3400		Skill						0.00		0.85						
共鳴技能		編鐘傷害-3	共鳴技能	5	冷凝	Damage	攻擊	51.62%	55.85%	60.08%	66.01%	70.24%	75.11%	81.88%	88.65%	95.42%	102.62%	1.75	0.00	1.50	0.7000		Skill						0.00		1.75						
共鳴技能		如意傷害-1	共鳴技能	6	冷凝	Damage	攻擊	68.91%	74.56%	80.21%	88.13%	93.78%	100.27%	109.31%	118.36%	127.40%	137.00%	2.25	0.00	1.00	0.9000		Skill						0.00		2.25						
共鳴技能		如意傷害-2	共鳴技能	7	冷凝	Damage	攻擊	84.23%	91.13%	98.04%	107.71%	114.61%	122.56%	133.61%	144.66%	155.71%	167.45%	2.75	0.00	1.00	1.1000		Skill						0.00		2.75						
共鳴技能		鼎傷害-1	共鳴技能	8	冷凝	Damage	攻擊	14.38%	15.55%	16.73%	18.38%	19.56%	20.92%	22.80%	24.69%	26.57%	28.57%	0.50	0.00	1.00	0.2000		Skill						0.00		0.50						
共鳴技能		鼎傷害-2	共鳴技能	9	冷凝	Damage	攻擊	57.49%	62.20%	66.91%	73.51%	78.23%	83.65%	91.19%	98.73%	106.27%	114.28%	2.00	0.00	1.00	0.8000		Skill						0.00		2.00						
