技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	氣動	Damage	攻擊	34.94%	37.80%	40.67%	44.68%	47.54%	50.84%	55.42%	60.01%	64.59%	69.46%	1.02	3.28	1.00	0.4110		Basic						3.28		1.02						
普攻		第二段傷害-1	常態攻擊	2	氣動	Damage	攻擊	13.40%	14.50%	15.60%	17.14%	18.23%	19.50%	21.26%	23.01%	24.77%	26.64%	0.40	1.26	1.00	0.1576		Basic						1.26		0.40						
普攻		第二段傷害-2	常態攻擊	3	氣動	Damage	攻擊	40.19%	43.49%	46.78%	51.40%	54.69%	58.48%	63.76%	69.03%	74.30%	79.90%	1.17	3.78	1.00	0.4728		Basic						3.78		1.17						
普攻		第三段傷害-1	常態攻擊	4	氣動	Damage	攻擊	21.00%	22.72%	24.44%	26.85%	28.57%	30.55%	33.31%	36.06%	38.82%	41.75%	0.62	1.98	1.00	0.2470		Basic						1.98		0.62						
普攻		第四段傷害-1	常態攻擊	5	氣動	Damage	攻擊	57.04%	61.72%	66.39%	72.94%	77.62%	83.00%	90.48%	97.96%	105.45%	113.40%	1.68	5.37	1.00	0.6710		Basic						5.37		1.68						
重擊		重擊傷害-1	常態攻擊	6	氣動	Damage	攻擊	63.41%	68.61%	73.81%	81.09%	86.29%	92.27%	100.59%	108.91%	117.23%	126.07%	1.87	5.96	1.00	0.7460		Heavy						5.96		1.87						
普攻		空中攻擊傷害-1	常態攻擊	7	氣動	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.52	1.00	1.00	0.6200		Basic						1.00		0.52						
普攻		閃避反擊傷害-1	常態攻擊	8	氣動	Damage	攻擊	20.54%	22.22%	23.90%	26.26%	27.94%	29.88%	32.57%	35.27%	37.96%	40.82%	0.52	1.62	1.00	0.2500		Basic						1.62		0.52						
普攻		閃避反擊傷害-2	常態攻擊	9	氣動	Damage	攻擊	82.14%	88.88%	95.61%	105.04%	111.78%	119.52%	130.30%	141.08%	151.85%	163.30%	2.06	3.44	1.00	1.0000		Basic						3.44		2.06						
普攻		第一段傷害	常態攻擊		氣動	Damage	攻擊	34.94%	37.80%	40.67%	44.68%	47.54%	50.84%	55.42%	60.01%	64.59%	69.46%	1.02	3.28	1.00	0.4110		Basic						3.28		1.02						
普攻		第二段傷害	常態攻擊		氣動	Damage	攻擊	66.99%	72.49%	77.98%	85.68%	91.15%	97.48%	106.28%	115.05%	123.84%	133.18%	1.97	6.30	3.00	0.7880		Basic						6.30		1.97						
普攻		第三段傷害	常態攻擊		氣動	Damage	攻擊	84.00%	90.88%	97.76%	107.40%	114.28%	122.20%	133.24%	144.24%	155.28%	167.00%	2.48	7.92	4.00	0.9880		Basic						7.92		2.48						
普攻		第四段傷害	常態攻擊		氣動	Damage	攻擊	57.04%	61.72%	66.39%	72.94%	77.62%	83.00%	90.48%	97.96%	105.45%	113.40%	1.68	5.37	1.00	0.6710		Basic						5.37		1.68						
重擊		重擊傷害	常態攻擊		氣動	Damage	攻擊	63.41%	68.61%	73.81%	81.09%	86.29%	92.27%	100.59%	108.91%	117.23%	126.07%	1.87	5.96	1.00	0.7460		Heavy			20.00			5.96		1.87						
普攻		空中攻擊傷害	常態攻擊		氣動	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.52	1.00	1.00	0.6200		Basic			30.00			1.00		0.52						
普攻		閃避反擊傷害	常態攻擊		氣動	Damage	攻擊	123.22%	133.32%	143.41%	157.56%	167.66%	179.28%	195.44%	211.62%	227.77%	244.94%	3.10	6.68	3.00	1.5000		Basic						6.68		3.10						
共鳴技能		靜氣循行-行氣反擊傷害-1	共鳴技能	1	氣動	Damage	攻擊	168.30%	182.11%	195.91%	215.23%	229.03%	244.90%	266.98%	289.06%	311.14%	334.60%	4.00	0.00	1.00	2.2600		Skill						0.00		4.00						
共鳴技能			共鳴技能	2	氣動	Damage	攻擊	168.30%	182.11%	195.91%	215.23%	229.03%	244.90%	266.98%	289.06%	311.14%	334.60%	4.00	0.00	1.00	2.2600		Skill						0.00		4.00						
共鳴技能		靜氣循行-降氣反擊傷害-1	共鳴技能	3	氣動	Damage	攻擊	130.14%	140.81%	151.48%	166.42%	177.09%	189.36%	206.44%	223.51%	240.59%	258.73%	4.00	0.00	1.00	0.9330		Skill						0.00		4.00						
		靜氣循行	共鳴技能																										8.00				12				
共鳴技能		靜氣循行-行氣反擊傷害	共鳴技能		氣動	Damage	攻擊	168.30%	182.11%	195.91%	215.23%	229.03%	244.90%	266.98%	289.06%	311.14%	334.60%	4.00	0.00	1.00	2.2600		Skill						14.00		4.00						
共鳴技能		靜氣循行-降氣反擊傷害	共鳴技能		氣動	Damage	攻擊	130.14%	140.81%	151.48%	166.42%	177.09%	189.36%	206.44%	223.51%	240.59%	258.73%	4.00	0.00	1.00	0.9330		Skill						14.00		4.00						
共鳴解放		滌淨力場-共鳴解放炸裂傷害-1	共鳴解放	1	氣動	Damage	攻擊	320.00%	346.24%	372.48%	409.22%	435.46%	465.64%	507.62%	549.60%	591.59%	636.20%	0.00	0.00	1.00	3.2000		Liberation						0.00		0.00						
共鳴解放		滌淨力場-共鳴解放持續傷害-1	共鳴解放	2	氣動	Damage	攻擊	15.00%	16.23%	17.46%	19.19%	20.42%	21.83%	23.80%	25.77%	27.74%	29.83%	0.00	0.00	1.00	0.1500		Liberation						0.00		0.00						
		滌淨力場	共鳴解放																										20.00			150	20				
共鳴解放		滌淨力場-共鳴解放持續傷害	共鳴解放		氣動	Damage	攻擊	15.00%	16.23%	17.46%	19.19%	20.42%	21.83%	23.80%	25.77%	27.74%	29.83%	0.00	0.00	1.00	0.1500		Liberation						0.00		0.00			3.12			
共鳴解放		滌淨力場-共鳴解放炸裂傷害	共鳴解放		氣動	Damage	攻擊	320.00%	346.24%	372.48%	409.22%	435.46%	465.64%	507.62%	549.60%	591.59%	636.20%	0.00	0.00	1.00	3.2000		Liberation						0.00		0.00						
變奏		掌息之要-1	變奏技能	1	氣動	Damage	攻擊	17.00%	18.40%	19.79%	21.74%	23.14%	24.74%	26.97%	29.20%	31.43%	33.80%	2.00	0.00	1.00	0.2000		Intro						0.00		2.00						
變奏		掌息之要-2	變奏技能	2	氣動	Damage	攻擊	34.00%	36.79%	39.58%	43.48%	46.27%	49.48%	53.94%	58.40%	62.86%	67.60%	4.00	0.00	1.00	0.4000		Intro						0.00		4.00						
變奏		掌息之要	變奏技能		氣動	Damage	攻擊	85.00%	91.99%	98.95%	108.70%	115.69%	123.70%	134.85%	146.00%	157.15%	169.00%	10.00	0.00	4.00	1.0000		Intro						0.00		10.00						
		化境	延奏技能																																		
重擊		混元氣旋-小周天震氣傷害-1	共鳴回路	1	氣動	Damage	攻擊	70.00%	75.74%	81.48%	89.52%	95.26%	101.86%	111.05%	120.23%	129.41%	139.17%	2.00	0.00	1.00	0.7000		Heavy						0.00		2.00						
重擊		混元氣旋-大周天·內震氣傷害-1	共鳴回路	2	氣動	Damage	攻擊	190.00%	205.58%	221.16%	242.98%	258.56%	276.47%	301.40%	326.33%	351.26%	377.74%	8.00	0.00	1.00	1.9000		Heavy						0.00		8.00						
重擊		混元氣旋-大周天·外震氣傷害-1	共鳴回路	3	氣動	Damage	攻擊	260.00%	281.32%	302.64%	332.49%	353.81%	378.33%	412.44%	446.55%	480.67%	516.91%	15.61	0.00	1.00	2.7150		Heavy						0.00		15.61						
重擊		混元氣旋-推手傷害-1	共鳴回路	4	氣動	Damage	攻擊	110.00%	119.02%	128.04%	140.67%	149.69%	160.07%	174.50%	188.93%	203.36%	218.70%	3.00	0.00	1.00	1.1000		Heavy						0.00		3.00						
重擊		混元氣旋-運氣持續傷害-1	共鳴回路	5	氣動	Damage	攻擊	12.50%	13.53%	14.55%	15.99%	17.01%	18.19%	19.83%	21.47%	23.11%	24.86%	0.30	0.00	1.00	0.1250		Heavy						0.00		0.30						
重擊		混元氣旋-衝拳傷害-1	共鳴回路	6	氣動	Damage	攻擊	125.00%	135.25%	145.50%	159.85%	170.10%	181.89%	198.29%	214.69%	231.09%	248.52%	8.00	0.00	1.00	1.2500		Heavy						0.00		8.00						
			共鳴回路	7	-	Healing	攻擊	700 +27.3%	784 +28.39%	875 +29.48%	980 +31.12%	1106 +33.3%	1225 +35.49%	1246 +39.58%	1274 +44.22%	1295 +49.14%	1330 +57.33%	0.00	0.00	0.00	0.0000		-						0.00		0.00						
重擊		混元氣旋-衝拳傷害	共鳴回路		氣動	Damage	攻擊	125.00%	135.25%	145.50%	159.85%	170.10%	181.89%	198.29%	214.69%	231.09%	248.52%	8.00	0.00	1.00	1.2500		Heavy						0.00		8.00						
重擊		混元氣旋-運氣持續傷害	共鳴回路		氣動	Damage	攻擊	12.50%	13.53%	14.55%	15.99%	17.01%	18.19%	19.83%	21.47%	23.11%	24.86%	0.30	0.00	1.00	0.1250		Heavy						0.00		0.30						
重擊		混元氣旋-小周天震氣傷害	共鳴回路		氣動	Damage	攻擊	70.00%	75.74%	81.48%	89.52%	95.26%	101.86%	111.05%	120.23%	129.41%	139.17%	2.00	0.00	1.00	0.7000		Heavy						0.00		2.00						
重擊		混元氣旋-大周天·內震氣傷害	共鳴回路		氣動	Damage	攻擊	190.00%	205.58%	221.16%	242.98%	258.56%	276.47%	301.40%	326.33%	351.26%	377.74%	8.00	0.00	1.00	1.9000		Heavy						0.00		8.00						
重擊		混元氣旋-大周天·外震氣傷害	共鳴回路		氣動	Damage	攻擊	260.00%	281.32%	302.64%	332.49%	353.81%	378.33%	412.44%	446.55%	480.67%	516.91%	15.61	0.00	1.00	2.7150		Heavy						0.00		15.61						
重擊		混元氣旋-推手傷害	共鳴回路		氣動	Damage	攻擊	110.00%	119.02%	128.04%	140.67%	149.69%	160.07%	174.50%	188.93%	203.36%	218.70%	3.00	0.00	1.00	1.1000		Heavy						0.00		3.00						
		混元氣旋-未達小周天最終盾量	共鳴回路					437 + 17.06%	490 + 17.75%	546 + 18.43%	612 + 19.45%	691 + 20.82%	765 + 22.18%	778 + 24.74%	796 + 27.64%	809 + 30.71%	831 + 35.83%																				
		混元氣旋-小周天最終盾量	共鳴回路					875 + 34.13%	980 + 35.49%	1093 + 36.86%	1225 + 38.90%	1382 + 41.63%	1531 + 44.36%	1557 + 49.48%	1592 + 55.28%	1618 + 61.43%	1662 + 71.66%																				
		混元氣旋-大周天·內最終盾量	共鳴回路					1750 + 68.25%	1960 + 70.98%	2187 + 73.71%	2450 + 77.81%	2765 + 83.27%	3062 + 88.73%	3115 + 98.96%	3185 + 110.57%	3237 + 122.85%	3325 + 143.33%																				
		混元氣旋-大周天·外最終盾量	共鳴回路					2915 + 113.70%	3265 + 118.25%	3644 + 122.80%	4081 + 129.62%	4606 + 138.72%	5102 + 147.82%	5189 + 164.87%	5306 + 184.20%	5393 + 204.67%	5539 + 238.78%																				
		混元氣旋-護盾回復生命值	共鳴回路			Healing	攻擊	700 +27.3%	784 +28.39%	875 +29.48%	980 +31.12%	1106 +33.3%	1225 +35.49%	1246 +39.58%	1274 +44.22%	1295 +49.14%	1330 +57.33%	0.00	0.00	0.00	0.0000		-						0.00		0.00						
