技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		普攻第一段傷害-1	常態攻擊	1	熱熔	Damage	攻擊	14.84%	16.05%	17.27%	18.97%	20.19%	21.59%	23.53%	25.48%	27.43%	29.49%	0.44	0.88	1.00	0.1745		Basic						0.88		0.44						
普攻		普攻第一段傷害-2	常態攻擊	2	熱熔	Damage	攻擊	14.84%	16.05%	17.27%	18.97%	20.19%	21.59%	23.53%	25.48%	27.43%	29.49%	0.44	0.88	1.00	0.1745		Basic						0.88		0.44						
普攻		普攻第二段傷害-1	常態攻擊	3	熱熔	Damage	攻擊	17.85%	19.32%	20.78%	22.83%	24.30%	25.98%	28.32%	30.66%	33.00%	35.49%	0.53	1.05	1.00	0.2100		Basic						1.05		0.53						
普攻		普攻第二段傷害-2	常態攻擊	4	熱熔	Damage	攻擊	17.85%	19.32%	20.78%	22.83%	24.30%	25.98%	28.32%	30.66%	33.00%	35.49%	0.53	1.05	1.00	0.2100		Basic						1.05		0.53						
普攻		普攻第三段傷害-1	常態攻擊	5	熱熔	Damage	攻擊	18.34%	19.84%	21.34%	23.45%	24.95%	26.68%	29.08%	31.49%	33.89%	36.45%	0.54	1.08	1.00	0.2157		Basic						1.08		0.54						
普攻		普攻第三段傷害-2	常態攻擊	6	熱熔	Damage	攻擊	18.34%	19.84%	21.34%	23.45%	24.95%	26.68%	29.08%	31.49%	33.89%	36.45%	0.54	1.08	1.00	0.2157		Basic						1.08		0.54						
普攻		普攻第三段傷害-3	常態攻擊	7	熱熔	Damage	攻擊	18.34%	19.84%	21.34%	23.45%	24.95%	26.68%	29.08%	31.49%	33.89%	36.45%	0.54	1.08	1.00	0.2157		Basic						1.08		0.54						
普攻		普攻第四段傷害-1	常態攻擊	8	熱熔	Damage	攻擊	25.50%	27.60%	29.69%	32.61%	34.71%	37.11%	40.46%	43.80%	47.15%	50.70%	0.75	1.50	1.00	0.3000		Basic						1.50		0.75						
普攻		普攻第四段傷害-2	常態攻擊	9	熱熔	Damage	攻擊	14.88%	16.10%	17.32%	19.03%	20.25%	21.65%	23.60%	25.55%	27.50%	29.58%	0.44	0.88	1.00	0.1750		Basic						0.88		0.44						
普攻		空中攻擊第一段傷害-1	常態攻擊	10	熱熔	Damage	攻擊	30.86%	33.39%	35.92%	39.46%	41.99%	44.90%	48.95%	53.00%	57.05%	61.35%	0.91	1.82	1.00	0.3630		Basic						1.82		0.91						
普攻		空中攻擊第二段傷害-1	常態攻擊	11	熱熔	Damage	攻擊	25.59%	27.69%	29.79%	32.72%	34.82%	37.23%	40.59%	43.95%	47.30%	50.87%	0.76	1.51	1.00	0.3010		Basic						1.51		0.76						
普攻		空中攻擊第二段傷害-2	常態攻擊	12	熱熔	Damage	攻擊	25.59%	27.69%	29.79%	32.72%	34.82%	37.23%	40.59%	43.95%	47.30%	50.87%	0.76	1.51	1.00	0.3010		Basic						1.51		0.76						
普攻		空中攻擊第三段傷害-1	常態攻擊	13	熱熔	Damage	攻擊	22.13%	23.95%	25.76%	28.30%	30.12%	32.20%	35.11%	38.01%	40.91%	44.00%	0.66	1.31	1.00	0.2604		Basic						1.31		0.66						
普攻		空中攻擊第三段傷害-2	常態攻擊	14	熱熔	Damage	攻擊	22.13%	23.95%	25.76%	28.30%	30.12%	32.20%	35.11%	38.01%	40.91%	44.00%	0.66	1.31	1.00	0.2604		Basic						1.31		0.66						
普攻		空中攻擊第三段傷害-3	常態攻擊	15	熱熔	Damage	攻擊	22.13%	23.95%	25.76%	28.30%	30.12%	32.20%	35.11%	38.01%	40.91%	44.00%	0.66	1.31	1.00	0.2604		Basic						1.31		0.66						
普攻		空中攻擊第四段傷害-1	常態攻擊	16	熱熔	Damage	攻擊	19.13%	20.70%	22.27%	24.46%	26.03%	27.83%	30.34%	32.85%	35.36%	38.03%	0.57	1.13	1.00	0.2250		Basic						1.13		0.57						
普攻		空中攻擊第四段傷害-2	常態攻擊	17	熱熔	Damage	攻擊	11.16%	12.08%	12.99%	14.27%	15.19%	16.24%	17.70%	19.17%	20.63%	22.18%	0.33	0.66	1.00	0.1313		Basic						0.66		0.33						
重擊		空中重擊-1	常態攻擊	18	熱熔	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	1.55	1.00	1.00	0.6200		Heavy						1.00		1.55						
重擊		重擊-1	常態攻擊	19	熱熔	Damage	攻擊	14.58%	15.78%	16.97%	18.65%	19.84%	21.22%	23.13%	25.04%	26.95%	28.99%	0.43	0.86	1.00	0.1715		Heavy						0.86		0.43						
重擊		重擊-2	常態攻擊	20	熱熔	Damage	攻擊	18.75%	20.28%	21.82%	23.97%	25.51%	27.28%	29.74%	32.20%	34.65%	37.27%	0.56	1.11	1.00	0.2205		Heavy						1.11		0.56						
普攻		閃避反擊-1	常態攻擊	21	熱熔	Damage	攻擊	41.57%	44.98%	48.39%	53.16%	56.57%	60.49%	65.94%	71.40%	76.85%	82.64%	1.04	2.08	1.00	0.5000		Basic						2.08		1.04						
普攻		閃避反擊-2	常態攻擊	22	熱熔	Damage	攻擊	41.57%	44.98%	48.39%	53.16%	56.57%	60.49%	65.94%	71.40%	76.85%	82.64%	1.04	2.08	1.00	0.5000		Basic						2.08		1.04						
普攻		閃避反擊-3	常態攻擊	23	熱熔	Damage	攻擊	41.57%	44.98%	48.39%	53.16%	56.57%	60.49%	65.94%	71.40%	76.85%	82.64%	1.04	2.08	1.00	0.5000		Basic						2.08		1.04						
普攻		普攻第一段傷害	常態攻擊		熱熔	Damage	攻擊	29.68%	32.10%	34.54%	37.94%	40.38%	43.18%	47.06%	50.96%	54.86%	58.98%	0.88	1.76	2.00	0.3490		Basic						1.76		0.88						
普攻		普攻第二段傷害	常態攻擊		熱熔	Damage	攻擊	35.70%	38.64%	41.56%	45.66%	48.60%	51.96%	56.64%	61.32%	66.00%	70.98%	1.06	2.10	2.00	0.4200		Basic						2.10		1.06						
普攻		普攻第三段傷害	常態攻擊		熱熔	Damage	攻擊	55.02%	59.52%	64.02%	70.35%	74.85%	80.04%	87.24%	94.47%	101.67%	109.35%	1.62	3.24	3.00	0.6471		Basic						3.24		1.62						
普攻		普攻第四段傷害	常態攻擊		熱熔	Damage	攻擊	85.02%	92.00%	98.97%	108.73%	115.71%	123.71%	134.86%	146.00%	157.15%	169.02%	2.51	5.02	5.00	1.0000		Basic						5.02		2.51						
普攻		空中攻擊第一段傷害	常態攻擊		熱熔	Damage	攻擊	30.86%	33.39%	35.92%	39.46%	41.99%	44.90%	48.95%	53.00%	57.05%	61.35%	0.91	1.82	1.00	0.3630		Basic			5.00			1.82		0.91						
普攻		空中攻擊第二段傷害	常態攻擊		熱熔	Damage	攻擊	51.18%	55.38%	59.58%	65.44%	69.64%	74.46%	81.18%	87.90%	94.60%	101.74%	1.52	3.02	2.00	0.6020		Basic			5.00			3.02		1.52						
普攻		空中攻擊第三段傷害	常態攻擊		熱熔	Damage	攻擊	66.39%	71.85%	77.28%	84.90%	90.36%	96.60%	105.33%	114.03%	122.73%	132.00%	1.98	3.93	3.00	0.7812		Basic			5.00			3.93		1.98						
普攻		空中攻擊第四段傷害	常態攻擊		熱熔	Damage	攻擊	63.77%	69.02%	74.23%	81.54%	86.79%	92.79%	101.14%	109.53%	117.88%	126.75%	1.89	3.77	5.00	0.7502		Basic			5.00			3.77		1.89						
重擊		重擊	常態攻擊		熱熔	Damage	攻擊	62.49%	67.62%	72.73%	79.92%	85.03%	90.94%	99.13%	107.32%	115.50%	124.24%	1.85	3.69	4.00	0.7350		Heavy			25.00			3.69		1.85						
重擊		空中重擊	常態攻擊		熱熔	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	1.55	1.00	1.00	0.6200		Heavy			30.00			1.00		1.55						
普攻		閃避反擊	常態攻擊		熱熔	Damage	攻擊	124.71%	134.94%	145.17%	159.48%	169.71%	181.47%	197.82%	214.20%	230.55%	247.92%	3.12	6.24	3.00	1.5000		Basic						6.24		3.12						
共鳴技能		心眼·劫傷害-1	共鳴技能	1	熱熔	Damage	攻擊	41.19%	44.57%	47.94%	52.67%	56.05%	59.93%	65.34%	70.74%	76.14%	81.88%	1.60	0.00	1.00	0.4000		Skill						0.00		1.60						
共鳴技能		心眼·劫傷害-2	共鳴技能	2	熱熔	Damage	攻擊	41.19%	44.57%	47.94%	52.67%	56.05%	59.93%	65.34%	70.74%	76.14%	81.88%	1.60	0.00	1.00	0.4000		Skill						0.00		1.60						
共鳴技能		心眼·劫傷害-3	共鳴技能	3	熱熔	Damage	攻擊	41.19%	44.57%	47.94%	52.67%	56.05%	59.93%	65.34%	70.74%	76.14%	81.88%	1.60	0.00	1.00	0.4000		Skill						0.00		1.60						
