技能加成種類	技能加成種類2	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Coordinated	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻		第一段傷害-1	常態攻擊	1	熱熔	Damage	攻擊	11.33%	12.26%	13.19%	14.49%	15.42%	16.49%	17.97%	19.46%	20.94%	22.52%	0.34	0.67	1.00	0.1599		Basic						0.67		0.34						
普攻			常態攻擊	2	熱熔	Damage	攻擊	11.33%	12.26%	13.19%	14.49%	15.42%	16.49%	17.97%	19.46%	20.94%	22.52%	0.34	0.67	1.00	0.1599		Basic						0.67		0.34						
普攻		第一段傷害-2	常態攻擊	3	熱熔	Damage	攻擊	22.66%	24.52%	26.37%	28.97%	30.83%	32.97%	35.94%	38.91%	41.88%	45.04%	0.67	1.34	1.00	0.3198		Basic						1.34		0.67						
普攻		第二段傷害-1	常態攻擊	4	熱熔	Damage	攻擊	45.31%	49.03%	52.74%	57.94%	61.66%	65.93%	71.87%	77.82%	83.76%	90.08%	1.34	2.67	1.00	0.6396		Basic						2.67		1.34						
普攻		第三段傷害-1	常態攻擊	5	熱熔	Damage	攻擊	39.66%	42.91%	46.16%	50.71%	53.96%	57.70%	62.91%	68.11%	73.31%	78.84%	1.17	2.34	1.00	0.5598		Basic						2.34		1.17						
普攻		第三段傷害-2	常態攻擊	6	熱熔	Damage	攻擊	6.61%	7.16%	7.70%	8.46%	9.00%	9.62%	10.49%	11.36%	12.22%	13.14%	0.20	0.39	1.00	0.0933		Basic						0.39		0.20						
普攻		第四段傷害-1	常態攻擊	7	熱熔	Damage	攻擊	37.16%	40.21%	43.25%	47.52%	50.56%	54.07%	58.94%	63.82%	68.69%	73.87%	1.10	2.19	1.00	0.5246		Basic						2.19		1.10						
普攻			常態攻擊	8	熱熔	Damage	攻擊	37.16%	40.21%	43.25%	47.52%	50.56%	54.07%	58.94%	63.82%	68.69%	73.87%	1.10	2.19	1.00	0.5246		Basic						2.19		1.10						
普攻		第四段傷害-2	常態攻擊	9	熱熔	Damage	攻擊	24.77%	26.81%	28.84%	31.68%	33.71%	36.05%	39.30%	42.55%	45.80%	49.25%	0.73	1.46	1.00	0.3497		Basic						1.46		0.73						
普攻		空中下落攻擊傷害-1	常態攻擊	10	熱熔	Damage	攻擊	13.18%	14.26%	15.34%	16.85%	17.93%	19.18%	20.90%	22.63%	24.36%	26.20%	0.39	0.78	1.00	0.1860		Basic						0.78		0.39						
普攻		空中下落攻擊傷害-2	常態攻擊	11	熱熔	Damage	攻擊	26.35%	28.52%	30.68%	33.70%	35.86%	38.35%	41.80%	45.26%	48.72%	52.39%	0.78	1.55	1.00	0.3720		Basic						1.55		0.78						
普攻		空中下落攻擊傷害-3	常態攻擊	12	熱熔	Damage	攻擊	13.18%	14.26%	15.34%	16.85%	17.93%	19.18%	20.90%	22.63%	24.36%	26.20%	0.39	0.78	1.00	0.1860		Basic						0.78		0.39						
普攻		閃避反擊傷害-1	常態攻擊	13	熱熔	Damage	攻擊	17.20%	18.61%	20.02%	21.99%	23.40%	25.02%	27.28%	29.53%	31.79%	34.18%	0.51	1.02	1.00	0.1875		Basic						1.02		0.51						
普攻		閃避反擊傷害-2	常態攻擊	14	熱熔	Damage	攻擊	68.77%	74.41%	80.05%	87.94%	93.58%	100.06%	109.09%	118.11%	127.13%	136.72%	2.03	4.05	1.00	0.7500		Basic						4.05		2.03						
普攻		空中攻擊第一段傷害-1	常態攻擊	15	熱熔	Damage	攻擊	38.59%	41.76%	44.92%	49.35%	52.52%	56.16%	61.22%	66.28%	71.35%	76.73%	1.14	2.27	1.00	0.5448		Basic						2.27		1.14						
普攻		空中攻擊第二段傷害-1	常態攻擊	16	熱熔	Damage	攻擊	38.85%	42.04%	45.22%	49.68%	52.87%	56.53%	61.62%	66.72%	71.82%	77.23%	1.15	2.29	1.00	0.5484		Basic						2.29		1.15						
普攻		空中攻擊第二段傷害-2	常態攻擊	17	熱熔	Damage	攻擊	9.72%	10.51%	11.31%	12.42%	13.22%	14.14%	15.41%	16.68%	17.96%	19.31%	0.29	0.58	1.00	0.1371		Basic						0.58		0.29						
普攻		空中攻擊第三段傷害-1	常態攻擊	18	熱熔	Damage	攻擊	14.33%	15.50%	16.68%	18.32%	19.50%	20.85%	22.72%	24.60%	26.48%	28.48%	0.43	0.85	1.00	0.2022		Basic						0.85		0.43						
普攻			常態攻擊	19	熱熔	Damage	攻擊	14.33%	15.50%	16.68%	18.32%	19.50%	20.85%	22.72%	24.60%	26.48%	28.48%	0.43	0.85	1.00	0.2022		Basic						0.85		0.43						
重擊			常態攻擊	20	熱熔	Damage	攻擊	14.33%	15.50%	16.68%	18.32%	19.50%	20.85%	22.72%	24.60%	26.48%	28.48%	0.43	5.00	1.00	0.2022		Heavy						5.00		0.43						
重擊			常態攻擊	21	熱熔	Damage	攻擊	14.33%	15.50%	16.68%	18.32%	19.50%	20.85%	22.72%	24.60%	26.48%	28.48%	0.43	5.00	1.00	0.2022		Heavy						5.00		0.43						
重擊		重擊傷害-1	常態攻擊	22	熱熔	Damage	攻擊	28.35%	30.68%	33.00%	36.26%	38.58%	41.25%	44.97%	48.69%	52.41%	56.36%	0.84	1.67	1.00	0.4002		Heavy						1.67		0.84						
重擊			常態攻擊	23	熱熔	Damage	攻擊	28.35%	30.68%	33.00%	36.26%	38.58%	41.25%	44.97%	48.69%	52.41%	56.36%	0.84	1.67	1.00	0.4002		Heavy						1.67		0.84						
重擊		重擊·狼咬傷害-1	常態攻擊	24	熱熔	Damage	攻擊	28.22%	30.54%	32.85%	36.09%	38.41%	41.07%	44.77%	48.47%	52.18%	56.11%	0.83	5.00	1.00	0.3984		Heavy						5.00		0.83						
重擊			常態攻擊	25	熱熔	Damage	攻擊	28.22%	30.54%	32.85%	36.09%	38.41%	41.07%	44.77%	48.47%	52.18%	56.11%	0.83	5.00	1.00	0.3984		Heavy						5.00		0.83						
重擊		重擊·銳爪傷害-1	常態攻擊	26	熱熔	Damage	攻擊	36.29%	39.27%	42.24%	46.41%	49.38%	52.81%	57.57%	62.33%	67.09%	72.15%	1.07	3.00	1.00	0.5825		Heavy						3.00		1.07						
重擊		重擊·銳爪傷害-2	常態攻擊	27	熱熔	Damage	攻擊	9.08%	9.82%	10.56%	11.61%	12.35%	13.21%	14.40%	15.59%	16.78%	18.04%	0.27	0.75	1.00	0.1457		Heavy						0.75		0.27						
重擊		重擊·銳爪傷害-3	常態攻擊	28	熱熔	Damage	攻擊	48.39%	52.35%	56.32%	61.88%	65.84%	70.41%	76.75%	83.10%	89.45%	96.19%	1.43	4.00	1.00	0.7767		Heavy						4.00		1.43						
普攻		普攻·星滅傷害-1	常態攻擊	29	熱熔	Damage	攻擊	6.37%	6.89%	7.41%	8.14%	8.66%	9.26%	10.10%	10.93%	11.77%	12.65%	0.19	0.38	1.00	0.0558		Basic						0.38		0.19						
普攻		普攻·星滅傷害-2	常態攻擊	30	熱熔	Damage	攻擊	59.39%	64.26%	69.12%	75.94%	80.81%	86.41%	94.20%	101.99%	109.78%	118.06%	1.75	3.50	1.00	0.5208		Basic						3.50		1.75						
普攻			常態攻擊	31	熱熔	Damage	攻擊	6.37%	6.89%	7.41%	8.14%	8.66%	9.26%	10.10%	10.93%	11.77%	12.65%	0.19	0.38	1.00	0.0558		Basic						0.38		0.19						
普攻			常態攻擊	32	熱熔	Damage	攻擊	59.39%	64.26%	69.12%	75.94%	80.81%	86.41%	94.20%	101.99%	109.78%	118.06%	1.75	3.50	1.00	0.5208		Basic						3.50		1.75						
普攻		第一段傷害	常態攻擊		熱熔	Damage	攻擊	45.32%	49.04%	52.75%	57.95%	61.67%	65.95%	71.88%	77.83%	83.76%	90.08%	1.35	2.68	3.00	0.6396		Basic						2.68		1.35						
普攻		第二段傷害	常態攻擊		熱熔	Damage	攻擊	45.31%	49.03%	52.74%	57.94%	61.66%	65.93%	71.87%	77.82%	83.76%	90.08%	1.34	2.67	1.00	0.6396		Basic						2.67		1.34						
普攻		第三段傷害	常態攻擊		熱熔	Damage	攻擊	79.32%	85.87%	92.36%	101.47%	107.96%	115.42%	125.85%	136.27%	146.63%	157.68%	2.37	4.68	7.00	1.1196		Basic						4.68		2.37						
普攻		第四段傷害	常態攻擊		熱熔	Damage	攻擊	123.86%	134.04%	144.18%	158.40%	168.54%	180.24%	196.48%	212.74%	228.98%	246.24%	3.66	7.30	4.00	1.7486		Basic						7.30		3.66						
重擊		重擊傷害	常態攻擊		熱熔	Damage	攻擊	56.70%	61.36%	66.00%	72.52%	77.16%	82.50%	89.94%	97.38%	104.82%	112.72%	1.68	3.34	2.00	0.8004		Heavy			25.00			3.34		1.68						
重擊		重擊·狼咬傷害	常態攻擊		熱熔	Damage	攻擊	56.44%	61.08%	65.70%	72.18%	76.82%	82.14%	89.54%	96.94%	104.36%	112.22%	1.66	10.00	2.00	0.7968		Heavy			25.00			10.00		1.66						
重擊		重擊·銳爪傷害	常態攻擊		熱熔	Damage	攻擊	121.00%	130.90%	140.80%	154.73%	164.62%	176.06%	191.92%	207.79%	223.66%	240.50%	3.58	10.00	6.00	1.9420		Heavy			25.00			10.00		3.58						
普攻		空中攻擊第一段傷害	常態攻擊		熱熔	Damage	攻擊	38.59%	41.76%	44.92%	49.35%	52.52%	56.16%	61.22%	66.28%	71.35%	76.73%	1.14	2.27	1.00	0.5448		Basic			5.00			2.27		1.14						
普攻		空中攻擊第二段傷害	常態攻擊		熱熔	Damage	攻擊	77.73%	84.08%	90.46%	99.36%	105.75%	113.09%	123.26%	133.44%	143.66%	154.47%	2.31	4.61	5.00	1.0968		Basic			5.00			4.61		2.31						
普攻		空中攻擊第三段傷害	常態攻擊		熱熔	Damage	攻擊	28.66%	31.00%	33.36%	36.64%	39.00%	41.70%	45.44%	49.20%	52.96%	56.96%	0.86	1.70	2.00	0.4044		Basic			5.00			1.70		0.86						
普攻		空中攻擊·焰襲傷害	常態攻擊		熱熔	Damage	攻擊	28.66%	31.00%	33.36%	36.64%	39.00%	41.70%	45.44%	49.20%	52.96%	56.96%	0.86	1.70	2.00	0.4044		Basic			30.00			1.70		0.86						
普攻		空中下落攻擊傷害	常態攻擊		熱熔	Damage	攻擊	52.71%	57.04%	61.36%	67.40%	71.72%	76.71%	83.60%	90.52%	97.44%	104.79%	1.56	3.11	3.00	0.7440		Basic			30.00			3.11		1.56						
普攻		普攻·星滅傷害	常態攻擊		熱熔	Damage	攻擊	84.87%	91.82%	98.76%	108.50%	115.45%	123.45%	134.60%	145.71%	156.86%	168.66%	2.51	5.02	5.00	0.7440		Basic						5.02		2.51						
