種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	導電	Damage	攻擊	24.70%	26.73%	28.76%	31.59%	33.62%	35.95%	39.19%	42.43%	45.67%	49.11%	0.77	2.46	1.00	0.31	Basic						2.46		0.77						
普攻	第二段傷害-1	常態攻擊	2	導電	Damage	攻擊	26.06%	28.20%	30.34%	33.33%	35.46%	37.92%	41.34%	44.76%	48.18%	51.81%	0.81	2.60	1.00	0.33	Basic						2.60		0.81						
普攻	第二段傷害-2	常態攻擊	3	導電	Damage	攻擊	26.06%	28.20%	30.34%	33.33%	35.46%	37.92%	41.34%	44.76%	48.18%	51.81%	0.81	2.60	1.00	0.33	Basic						2.60		0.81						
普攻	第三段傷害-1	常態攻擊	4	導電	Damage	攻擊	10.99%	11.89%	12.79%	14.05%	14.95%	15.99%	17.43%	18.87%	20.31%	21.84%	0.34	1.09	1.00	0.14	Basic						1.09		0.34						
普攻	第三段傷害-2	常態攻擊	5	導電	Damage	攻擊	16.48%	17.83%	19.18%	21.07%	22.42%	23.98%	26.14%	28.30%	30.46%	32.76%	0.51	1.64	1.00	0.21	Basic						1.64		0.51						
普攻	第三段傷害-3	常態攻擊	6	導電	Damage	攻擊	16.48%	17.83%	19.18%	21.07%	22.42%	23.98%	26.14%	28.30%	30.46%	32.76%	0.51	1.64	1.00	0.21	Basic						1.64		0.51						
普攻	第四段傷害-1	常態攻擊	7	導電	Damage	攻擊	26.06%	28.20%	30.34%	33.33%	35.46%	37.92%	41.34%	44.76%	48.18%	51.81%	0.81	2.60	1.00	0.33	Basic						2.60		0.81						
普攻	第四段傷害-2	常態攻擊	8	導電	Damage	攻擊	26.06%	28.20%	30.34%	33.33%	35.46%	37.92%	41.34%	44.76%	48.18%	51.81%	0.81	2.60	1.00	0.33	Basic						2.60		0.81						
普攻	第五段傷害-1	常態攻擊	9	導電	Damage	攻擊	24.70%	26.73%	28.76%	31.59%	33.62%	35.95%	39.19%	42.43%	45.67%	49.11%	0.77	2.46	1.00	0.31	Basic						2.46		0.77						
普攻	第五段傷害-2	常態攻擊	10	導電	Damage	攻擊	32.94%	35.64%	38.34%	42.12%	44.82%	47.93%	52.25%	56.57%	60.89%	65.48%	1.02	3.29	1.00	0.41	Basic						3.29		1.02						
