種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	導電	Damage	攻擊	16.65%	18.02%	19.39%	21.30%	22.66%	24.23%	26.42%	28.60%	30.79%	33.11%	0.42	0.84	1.00	0.17	Basic						0.84		0.42						
普攻	第一段傷害-2	常態攻擊	2	導電	Damage	攻擊	16.65%	18.02%	19.39%	21.30%	22.66%	24.23%	26.42%	28.60%	30.79%	33.11%	0.42	0.84	1.00	0.17	Basic						0.84		0.42						
普攻	第二段傷害-1	常態攻擊	3	導電	Damage	攻擊	50.10%	54.21%	58.32%	64.07%	68.18%	72.91%	79.48%	86.05%	92.62%	99.61%	1.26	2.51	1.00	0.50	Basic						2.51		1.26						
普攻	第三段傷害-1	常態攻擊	4	導電	Damage	攻擊	20.00%	21.64%	23.28%	25.58%	27.22%	29.10%	31.73%	34.35%	36.98%	39.76%	0.50	1.00	1.00	0.20	Basic						1.00		0.50						
普攻		常態攻擊	5	導電	Damage	攻擊	20.00%	21.64%	23.28%	25.58%	27.22%	29.10%	31.73%	34.35%	36.98%	39.76%	0.50	1.00	1.00	0.20	Basic						1.00		0.50						
普攻		常態攻擊	6	導電	Damage	攻擊	20.00%	21.64%	23.28%	25.58%	27.22%	29.10%	31.73%	34.35%	36.98%	39.76%	0.50	1.00	1.00	0.20	Basic						1.00		0.50						
普攻	第四段傷害-1	常態攻擊	7	導電	Damage	攻擊	26.68%	28.87%	31.06%	34.12%	36.31%	38.83%	42.33%	45.83%	49.33%	53.05%	0.67	1.34	1.00	0.27	Basic						1.34		0.67						
普攻	第四段傷害-2	常態攻擊	8	導電	Damage	攻擊	26.68%	28.87%	31.06%	34.12%	36.31%	38.83%	42.33%	45.83%	49.33%	53.05%	0.67	1.34	1.00	0.27	Basic						1.34		0.67						
普攻	第四段傷害-3	常態攻擊	9	導電	Damage	攻擊	13.34%	14.44%	15.53%	17.06%	18.16%	19.42%	21.17%	22.92%	24.67%	26.53%	0.34	0.67	1.00	0.13	Basic						0.67		0.34						
普攻	第五段傷害-1	常態攻擊	10	導電	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	2.50	5.00	1.00	1.00	Basic						5.00		2.50						
重擊	重擊傷害-1	常態攻擊	11	導電	Damage	攻擊	41.65%	45.07%	48.49%	53.27%	56.68%	60.61%	66.07%	71.54%	77.00%	82.81%	1.05	2.09	1.00	0.42	Heavy						2.09		1.05						
重擊	重擊傷害-2	常態攻擊	12	導電	Damage	攻擊	41.65%	45.07%	48.49%	53.27%	56.68%	60.61%	66.07%	71.54%	77.00%	82.81%	1.05	2.09	1.00	0.42	Heavy						2.09		1.05						
普攻	空中攻擊傷害-1	常態攻擊	13	導電	Damage	攻擊	62.00%	67.09%	72.17%	79.29%	84.37%	90.22%	98.36%	106.49%	114.62%	123.27%	0.52	1.00	1.00	0.62	Basic						1.00		0.52						
普攻	閃避反擊傷害-1	常態攻擊	14	導電	Damage	攻擊	120.00%	129.84%	139.68%	153.46%	163.30%	174.62%	190.36%	206.10%	221.85%	238.58%	2.75	2.50	1.00	1.50	Basic						2.50		2.75						
重擊		常態攻擊	15	導電	Damage	攻擊	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00	0.00	1.00	1.00	Heavy						0.00		0.00						
普攻	第一段傷害	常態攻擊		導電	Damage	攻擊	33.30%	36.04%	38.78%	42.60%	45.32%	48.46%	52.84%	57.20%	61.58%	66.22%	0.84	1.68	2.00	0.33	Basic						1.68		0.84						
普攻	第二段傷害	常態攻擊		導電	Damage	攻擊	50.10%	54.21%	58.32%	64.07%	68.18%	72.91%	79.48%	86.05%	92.62%	99.61%	1.26	2.51	1.00	0.50	Basic						2.51		1.26						
普攻	第三段傷害	常態攻擊		導電	Damage	攻擊	60.00%	64.92%	69.84%	76.74%	81.66%	87.30%	95.19%	103.05%	110.94%	119.28%	1.50	3.00	3.00	0.60	Basic						3.00		1.50						
普攻	第四段傷害	常態攻擊		導電	Damage	攻擊	66.70%	72.18%	77.65%	85.30%	90.78%	97.08%	105.83%	114.58%	123.33%	132.63%	1.68	3.35	3.00	0.67	Basic						3.35		1.68						
普攻	第五段傷害	常態攻擊		導電	Damage	攻擊	100.00%	108.20%	116.40%	127.88%	136.08%	145.51%	158.63%	171.75%	184.87%	198.81%	2.50	5.00	1.00	1.00	Basic						5.00		2.50						
