種類加成	代稱	種類	Entry#	屬性	Type	Base Attribute	LV1	LV2	LV3	LV4	LV5	LV6	LV7	LV8	LV9	LV10	共鳴解放能量	協奏能量	共振度上限	韌性	Type	擊中	回復耐力值	耐力消耗	回復特殊能量	消耗特殊能量	回復協奏能量	消耗協奏能量	回復共鳴能量	消耗共鳴能量	冷卻時間	持續時間	治療量	減傷	傷害減免
普攻	第一段傷害-1	常態攻擊	1	熱熔	Damage	攻擊	28.00%	30.29%	32.59%	35.80%	38.10%	40.74%	44.41%	48.09%	51.76%	55.66%	0.70	1.40	1.00	0.22	Basic						1.40		0.70						
普攻	第二段傷害-1	常態攻擊	2	熱熔	Damage	攻擊	33.30%	36.03%	38.76%	42.58%	45.31%	48.45%	52.82%	57.19%	61.56%	66.20%	0.83	1.66	1.00	0.27	Basic						1.66		0.83						
普攻	第三段傷害-1	常態攻擊	3	熱熔	Damage	攻擊	33.35%	36.08%	38.81%	42.64%	45.38%	48.52%	52.90%	57.27%	61.65%	66.30%	0.83	1.66	1.00	0.27	Basic						1.66		0.83						
普攻	第三段傷害-2	常態攻擊	4	熱熔	Damage	攻擊	33.35%	36.08%	38.81%	42.64%	45.38%	48.52%	52.90%	57.27%	61.65%	66.30%	0.83	1.66	1.00	0.27	Basic						1.66		0.83						
普攻	第四段傷害-1	常態攻擊	5	熱熔	Damage	攻擊	19.25%	20.82%	22.40%	24.61%	26.19%	28.01%	30.53%	33.06%	35.58%	38.27%	0.48	0.96	1.00	0.15	Basic						0.96		0.48						
普攻	咩咩傷害-1	常態攻擊	6	熱熔	Damage	攻擊	120.00%	129.84%	139.67%	153.45%	163.29%	174.61%	190.35%	206.10%	221.84%	238.57%	3.00	6.00	1.00	0.96	Basic						6.00		3.00						
重擊	重擊傷害-1	常態攻擊	7	熱熔	Damage	攻擊	94.10%	101.81%	109.53%	120.33%	128.05%	136.92%	149.27%	161.61%	173.96%	187.08%	2.35	4.70	1.00	0.75	Heavy						4.70		2.35						
普攻	空中攻擊-1	常態攻擊	8	熱熔	Damage	攻擊	62.00%	67.08%	72.16%	79.28%	84.36%	90.21%	98.35%	106.48%	114.61%	123.26%	0.51	1.00	1.00	0.50	Basic						1.00		0.51						
普攻	閃避反擊傷害-1	常態攻擊	9	熱熔	Damage	攻擊	63.34%	68.54%	73.73%	81.01%	86.20%	92.18%	100.49%	108.80%	117.11%	125.94%	1.58	1.66	1.00	0.75	Basic						1.66		1.58						
普攻	閃避反擊傷害-2	常態攻擊	10	熱熔	Damage	攻擊	63.34%	68.54%	73.73%	81.01%	86.20%	92.18%	100.49%	108.80%	117.11%	125.94%	1.58	1.66	1.00	0.75	Basic						1.66		1.58						
普攻	第一段傷害	常態攻擊		熱熔	Damage	攻擊	28.00%	30.29%	32.59%	35.80%	38.10%	40.74%	44.41%	48.09%	51.76%	55.66%	70.00%	140.00%	100.00%	22.40%	Basic						1.40		0.70						
普攻	第二段傷害	常態攻擊		熱熔	Damage	攻擊	33.30%	36.03%	38.76%	42.58%	45.31%	48.45%	52.82%	57.19%	61.56%	66.20%	83.00%	166.00%	100.00%	26.64%	Basic						1.66		0.83						
普攻	第三段傷害	常態攻擊		熱熔	Damage	攻擊	66.70%	72.16%	77.62%	85.28%	90.76%	97.04%	105.80%	114.54%	123.30%	132.60%	166.00%	332.00%	200.00%	53.36%	Basic						3.32		1.66						
普攻	第四段傷害	常態攻擊		熱熔	Damage	攻擊	77.00%	83.28%	89.60%	98.44%	104.76%	112.04%	122.12%	132.24%	142.32%	153.08%	192.00%	384.00%	400.00%	61.60%	Basic						3.84		1.92						
